bin,binSize,median,timestamp,article
0,30,1256.9207159050638,20150701,Alan_Greenspan
1,30,1444.6760834958807,20150731,Alan_Greenspan
2,30,1453.3171838978403,20150830,Alan_Greenspan
3,30,1488.8803379248511,20150929,Alan_Greenspan
4,30,1423.3613582245289,20151029,Alan_Greenspan
5,30,1441.1162480839348,20151127,Alan_Greenspan
6,30,1985.1928408984418,20151227,Alan_Greenspan
7,30,2341.7345373295097,20160126,Alan_Greenspan
8,30,1950.697082094855,20160225,Alan_Greenspan
9,30,2005.511685814638,20160327,Alan_Greenspan
10,30,1753.4809659281545,20160426,Alan_Greenspan
11,30,1638.2618269888587,20160526,Alan_Greenspan
12,30,1754.4214761857463,20160625,Alan_Greenspan
13,30,1265.6253008552808,20160725,Alan_Greenspan
14,30,1515.8986453488724,20160824,Alan_Greenspan
15,30,1805.2761778493475,20160923,Alan_Greenspan
16,30,2047.409751530091,20161023,Alan_Greenspan
17,30,1919.23492692826,20161121,Alan_Greenspan
18,30,1357.606967358878,20161221,Alan_Greenspan
19,30,1657.7865863994987,20170120,Alan_Greenspan
20,30,1638.854403132144,20170219,Alan_Greenspan
21,30,1453.432997317545,20170322,Alan_Greenspan
22,30,1533.569502721526,20170421,Alan_Greenspan
23,30,1205.757927797657,20170521,Alan_Greenspan
24,30,1340.1178096357557,20170620,Alan_Greenspan
25,30,1465.6178517995,20170720,Alan_Greenspan
26,30,1158.5690241320303,20170819,Alan_Greenspan
27,30,1208.2080375649607,20170918,Alan_Greenspan
28,30,1430.9223624301144,20171018,Alan_Greenspan
29,30,1506.340847682376,20171116,Alan_Greenspan
30,30,1075.5491215489396,20171216,Alan_Greenspan
31,30,1221.0445191709505,20180115,Alan_Greenspan
32,30,1243.5243418167117,20180214,Alan_Greenspan
33,30,1106.530522946872,20180317,Alan_Greenspan
34,30,1327.9810264956434,20180416,Alan_Greenspan
35,30,1140.491445690949,20180516,Alan_Greenspan
36,30,927.077894239538,20180615,Alan_Greenspan
37,30,1253.0879103628386,20180715,Alan_Greenspan
38,30,1353.292841166728,20180814,Alan_Greenspan
39,30,1863.3519375495603,20180913,Alan_Greenspan
