bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,143.07706468235182,4482.1506131169845,20150701,Barbara_Dickson
1,30,157.4396952038013,4907.26281303625,20150731,Barbara_Dickson
2,30,207.3173081489486,6969.394984061171,20150830,Barbara_Dickson
3,30,157.6660506722087,5051.9179456443435,20150929,Barbara_Dickson
4,30,174.71200142623536,5429.8430125840605,20151029,Barbara_Dickson
5,30,143.4667751723523,5394.118908444751,20151127,Barbara_Dickson
6,30,161.0439704437152,5324.258125030938,20151227,Barbara_Dickson
7,30,163.3590893569397,5744.494320124161,20160126,Barbara_Dickson
8,30,153.4669234552948,5014.53531550018,20160225,Barbara_Dickson
9,30,167.89882663534246,5273.383729887388,20160327,Barbara_Dickson
10,30,147.68222283042144,4718.38499603168,20160426,Barbara_Dickson
11,30,149.02774609822725,6054.524841010209,20160526,Barbara_Dickson
12,30,137.85221844354612,4404.293265334454,20160625,Barbara_Dickson
13,30,127.45017457192625,3980.881328261992,20160725,Barbara_Dickson
14,30,171.7537355007701,17889.915936534664,20160824,Barbara_Dickson
15,30,159.64752631965294,5605.249978085523,20160923,Barbara_Dickson
16,30,138.01209197224898,4923.936350779993,20161023,Barbara_Dickson
17,30,184.91692040086951,7203.993963277026,20161121,Barbara_Dickson
18,30,147.1067435976263,5183.803699157732,20161221,Barbara_Dickson
19,30,271.8764001710681,12355.058478336454,20170120,Barbara_Dickson
20,30,218.56876946372347,6852.822664422587,20170219,Barbara_Dickson
21,30,160.05805795006685,5041.407808573689,20170322,Barbara_Dickson
22,30,149.9761468920542,5578.441786860672,20170421,Barbara_Dickson
23,30,133.84413213798973,4080.920424913199,20170521,Barbara_Dickson
24,30,153.41998702720088,5697.5083037271725,20170620,Barbara_Dickson
25,30,183.4552289349299,6213.486675738868,20170720,Barbara_Dickson
26,30,155.79258412462994,4820.8326855097075,20170819,Barbara_Dickson
27,30,184.37096331290348,5700.752564431562,20170918,Barbara_Dickson
28,30,161.74043723435022,5164.610960613478,20171018,Barbara_Dickson
29,30,174.57142159202152,31661.53274886204,20171116,Barbara_Dickson
30,30,185.15705160834858,6088.541513949243,20171216,Barbara_Dickson
31,30,271.6156926426268,19175.54939551111,20180115,Barbara_Dickson
32,30,160.6485250550428,4993.017129831721,20180214,Barbara_Dickson
33,30,165.0834077966702,5793.036524884038,20180317,Barbara_Dickson
34,30,163.93103190281036,5493.637737487259,20180416,Barbara_Dickson
35,30,145.5105095071321,9661.864360855692,20180516,Barbara_Dickson
36,30,138.92476206046913,5326.817992567057,20180615,Barbara_Dickson
37,30,140.65841348046746,4575.912981073668,20180715,Barbara_Dickson
38,30,140.78347971547788,4501.91048168029,20180814,Barbara_Dickson
39,30,104.20738964147597,104.20738964147597,20180913,Barbara_Dickson
