bin,binSize,median,timestamp,article
0,30,2008.4684640894773,20150701,Bill_Russell
1,30,1722.5070510250353,20150731,Bill_Russell
2,30,1444.337590908482,20150830,Bill_Russell
3,30,1436.6585773537909,20150929,Bill_Russell
4,30,2073.9027512858306,20151029,Bill_Russell
5,30,2642.9592062505835,20151127,Bill_Russell
6,30,2331.033458842175,20151227,Bill_Russell
7,30,2986.1361779539243,20160126,Bill_Russell
8,30,2409.37056557628,20160225,Bill_Russell
9,30,3007.038835469267,20160327,Bill_Russell
10,30,2993.2173272597606,20160426,Bill_Russell
11,30,5202.22795503162,20160526,Bill_Russell
12,30,3679.9195502095267,20160625,Bill_Russell
13,30,1687.5309761126332,20160725,Bill_Russell
14,30,1525.412707978469,20160824,Bill_Russell
15,30,1639.6231207106143,20160923,Bill_Russell
16,30,1990.0859205355473,20161023,Bill_Russell
17,30,2004.9225274995154,20161121,Bill_Russell
18,30,2353.1729058175506,20161221,Bill_Russell
19,30,3146.403551359701,20170120,Bill_Russell
20,30,3026.903948366489,20170219,Bill_Russell
21,30,3569.8051453619532,20170322,Bill_Russell
22,30,3403.974554888051,20170421,Bill_Russell
23,30,5225.811576734894,20170521,Bill_Russell
24,30,4320.991725907489,20170620,Bill_Russell
25,30,2010.5189852974322,20170720,Bill_Russell
26,30,1616.40110205066,20170819,Bill_Russell
27,30,1546.0866644967223,20170918,Bill_Russell
28,30,2124.575430305399,20171018,Bill_Russell
29,30,1968.8996043682769,20171116,Bill_Russell
30,30,2438.3474078050076,20171216,Bill_Russell
31,30,2788.990279815541,20180115,Bill_Russell
32,30,3057.438492031585,20180214,Bill_Russell
33,30,2758.7229626306016,20180317,Bill_Russell
34,30,3712.7822699817534,20180416,Bill_Russell
35,30,6222.766582317781,20180516,Bill_Russell
36,30,3231.419966225346,20180615,Bill_Russell
37,30,2033.1859006174855,20180715,Bill_Russell
38,30,1547.9215449337216,20180814,Bill_Russell
39,30,1270.0920460263062,20180913,Bill_Russell
