bin,binSize,median,timestamp,article
0,30,191.7138477356363,20150701,Cathy_McGowan_(presenter)
1,30,259.80503208090556,20150731,Cathy_McGowan_(presenter)
2,30,171.6994531199855,20150830,Cathy_McGowan_(presenter)
3,30,168.17138975380553,20150929,Cathy_McGowan_(presenter)
4,30,171.09693053481175,20151029,Cathy_McGowan_(presenter)
5,30,183.67483062548655,20151127,Cathy_McGowan_(presenter)
6,30,204.8452798547833,20151227,Cathy_McGowan_(presenter)
7,30,250.17464493038972,20160126,Cathy_McGowan_(presenter)
8,30,174.83891719733955,20160225,Cathy_McGowan_(presenter)
9,30,647.07334599813,20160327,Cathy_McGowan_(presenter)
10,30,251.15861677940165,20160426,Cathy_McGowan_(presenter)
11,30,187.68392155061355,20160526,Cathy_McGowan_(presenter)
12,30,168.78237154161909,20160625,Cathy_McGowan_(presenter)
13,30,179.47299358904382,20160725,Cathy_McGowan_(presenter)
14,30,196.90837768258405,20160824,Cathy_McGowan_(presenter)
15,30,286.96802917818474,20160923,Cathy_McGowan_(presenter)
16,30,446.15199568439186,20161023,Cathy_McGowan_(presenter)
17,30,461.3509915070922,20161121,Cathy_McGowan_(presenter)
18,30,351.374628651985,20161221,Cathy_McGowan_(presenter)
19,30,218.2271632684161,20170120,Cathy_McGowan_(presenter)
20,30,225.29974031647438,20170219,Cathy_McGowan_(presenter)
21,30,344.3576769934251,20170322,Cathy_McGowan_(presenter)
22,30,414.7701176635369,20170421,Cathy_McGowan_(presenter)
23,30,224.12673944574203,20170521,Cathy_McGowan_(presenter)
24,30,216.249675336492,20170620,Cathy_McGowan_(presenter)
25,30,359.88330311661224,20170720,Cathy_McGowan_(presenter)
26,30,237.10229026235356,20170819,Cathy_McGowan_(presenter)
27,30,190.20900175393604,20170918,Cathy_McGowan_(presenter)
28,30,790.7449204195194,20171018,Cathy_McGowan_(presenter)
29,30,503.48854710589353,20171116,Cathy_McGowan_(presenter)
30,30,462.16120640369223,20171216,Cathy_McGowan_(presenter)
31,30,298.410779010817,20180115,Cathy_McGowan_(presenter)
32,30,294.66152475161476,20180214,Cathy_McGowan_(presenter)
33,30,272.69299899616817,20180317,Cathy_McGowan_(presenter)
34,30,222.63200841220737,20180416,Cathy_McGowan_(presenter)
35,30,203.66241770658988,20180516,Cathy_McGowan_(presenter)
36,30,176.98280893455097,20180615,Cathy_McGowan_(presenter)
37,30,175.69147946800865,20180715,Cathy_McGowan_(presenter)
38,30,167.63828887311718,20180814,Cathy_McGowan_(presenter)
39,30,145.47764296483277,20180913,Cathy_McGowan_(presenter)
