bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,2968.0396846536655,96489.12957947928,20150701,Charles_Barkley
1,30,2425.0709722430606,76564.31246554853,20150731,Charles_Barkley
2,30,1904.8908987899554,62970.53773389034,20150830,Charles_Barkley
3,30,1807.5513535930263,59529.489543421216,20150929,Charles_Barkley
4,30,2546.6511136244817,82696.55775636483,20151029,Charles_Barkley
5,30,2972.0141213917786,100938.06397235204,20151127,Charles_Barkley
6,30,2988.9698877787405,99693.29070012398,20151227,Charles_Barkley
7,30,3811.2169455664025,131836.481125891,20160126,Charles_Barkley
8,30,3551.939406469325,194894.27459143638,20160225,Charles_Barkley
9,30,5940.527473910477,254489.83853323516,20160327,Charles_Barkley
10,30,5942.952241602258,202959.07169968926,20160426,Charles_Barkley
11,30,4662.90937790641,170365.7428607816,20160526,Charles_Barkley
12,30,4504.595934805564,160301.50876057392,20160625,Charles_Barkley
13,30,2749.696040729026,84699.8324519162,20160725,Charles_Barkley
14,30,1982.706329770294,62471.15004865265,20160824,Charles_Barkley
15,30,1608.8200536644028,54802.942583029086,20160923,Charles_Barkley
16,30,2362.3818002604535,76424.05535005924,20161023,Charles_Barkley
17,30,2753.7866099605153,88520.55821474841,20161121,Charles_Barkley
18,30,3042.6510539435794,101966.59985896108,20161221,Charles_Barkley
19,30,4420.363048669877,201595.4895310632,20170120,Charles_Barkley
20,30,4032.730016687664,205833.37257372163,20170219,Charles_Barkley
21,30,3897.2211655788797,229492.98518641692,20170322,Charles_Barkley
22,30,5951.150613637973,186210.19827567448,20170421,Charles_Barkley
23,30,5590.102715936055,211556.98584615302,20170521,Charles_Barkley
24,30,3010.3486898990686,102389.23449599741,20170620,Charles_Barkley
25,30,2353.5599738376363,72966.36509688741,20170720,Charles_Barkley
26,30,1894.0243520743252,64047.446752985874,20170819,Charles_Barkley
27,30,2067.906439392966,64592.18053662708,20170918,Charles_Barkley
28,30,2825.186579648538,95185.50097288772,20171018,Charles_Barkley
29,30,2788.353114740821,163278.30795407074,20171116,Charles_Barkley
30,30,3269.7270776536234,113833.60926183076,20171216,Charles_Barkley
31,30,3217.245360778822,122889.70874767443,20180115,Charles_Barkley
32,30,5856.70745864544,231370.5288278837,20180214,Charles_Barkley
33,30,3846.4851619417987,240427.39652041259,20180317,Charles_Barkley
34,30,6519.192281197503,244486.25588853608,20180416,Charles_Barkley
35,30,5855.824313778117,224064.4109417238,20180516,Charles_Barkley
36,30,3701.32992787465,133739.36821862648,20180615,Charles_Barkley
37,30,2703.1867359042017,81354.16335059247,20180715,Charles_Barkley
38,30,1977.391173883341,59824.77882811046,20180814,Charles_Barkley
39,30,1670.4135032628672,1670.4135032628672,20180913,Charles_Barkley
