bin,binSize,median,timestamp,article
0,30,229.68926155971752,20150701,Chase_Elliott
1,30,169.1890875586764,20150731,Chase_Elliott
2,30,159.44505301949363,20150830,Chase_Elliott
3,30,159.31731483304299,20150929,Chase_Elliott
4,30,247.07971330773645,20151029,Chase_Elliott
5,30,192.20400137927248,20151127,Chase_Elliott
6,30,168.62958093965378,20151227,Chase_Elliott
7,30,333.06002505345356,20160126,Chase_Elliott
8,30,429.4825094520141,20160225,Chase_Elliott
9,30,263.61872760663346,20160327,Chase_Elliott
10,30,369.7889098376419,20160426,Chase_Elliott
11,30,569.141691290742,20160526,Chase_Elliott
12,30,342.16282731734225,20160625,Chase_Elliott
13,30,234.40420835395076,20160725,Chase_Elliott
14,30,369.66154141304173,20160824,Chase_Elliott
15,30,272.614293136206,20160923,Chase_Elliott
16,30,265.76879806688146,20161023,Chase_Elliott
17,30,210.80866412797434,20161121,Chase_Elliott
18,30,153.4759485602645,20161221,Chase_Elliott
19,30,181.15554663728796,20170120,Chase_Elliott
20,30,1046.1770134978299,20170219,Chase_Elliott
21,30,425.79216770458675,20170322,Chase_Elliott
22,30,748.7153910997758,20170421,Chase_Elliott
23,30,380.1273580092409,20170521,Chase_Elliott
24,30,431.59937187339324,20170620,Chase_Elliott
25,30,409.16745539301917,20170720,Chase_Elliott
26,30,298.6193184318413,20170819,Chase_Elliott
27,30,375.31793223761485,20170918,Chase_Elliott
28,30,658.918298782246,20171018,Chase_Elliott
29,30,418.7582122867956,20171116,Chase_Elliott
30,30,253.1550517075592,20171216,Chase_Elliott
31,30,334.0714159776756,20180115,Chase_Elliott
32,30,785.2895929744552,20180214,Chase_Elliott
33,30,323.4526075819832,20180317,Chase_Elliott
34,30,375.96653574209614,20180416,Chase_Elliott
35,30,347.8174464140966,20180516,Chase_Elliott
36,30,402.5856889930717,20180615,Chase_Elliott
37,30,549.497515656016,20180715,Chase_Elliott
38,30,530.5850299101776,20180814,Chase_Elliott
39,30,388.972137572638,20180913,Chase_Elliott
