bin,binSize,median,timestamp,article
0,30,31.8976575654071,20150701,Craig_Shakespeare
1,30,24.032575997129697,20150731,Craig_Shakespeare
2,30,17.066991975124203,20150830,Craig_Shakespeare
3,30,17.317139714952738,20150929,Craig_Shakespeare
4,30,23.348291145907503,20151029,Craig_Shakespeare
5,30,46.1433856489363,20151127,Craig_Shakespeare
6,30,34.6362337403741,20151227,Craig_Shakespeare
7,30,50.157111168996856,20160126,Craig_Shakespeare
8,30,71.03613745976335,20160225,Craig_Shakespeare
9,30,72.74574939375108,20160327,Craig_Shakespeare
10,30,135.69452876617376,20160426,Craig_Shakespeare
11,30,28.85395283893311,20160526,Craig_Shakespeare
12,30,30.53193683614252,20160625,Craig_Shakespeare
13,30,60.29421462551808,20160725,Craig_Shakespeare
14,30,68.86336613344,20160824,Craig_Shakespeare
15,30,35.54239211305412,20160923,Craig_Shakespeare
16,30,19.674247983095942,20161023,Craig_Shakespeare
17,30,18.89725690195716,20161121,Craig_Shakespeare
18,30,20.886782991365145,20161221,Craig_Shakespeare
19,30,19.450314669862898,20170120,Craig_Shakespeare
20,30,3583.388730202805,20170219,Craig_Shakespeare
21,30,1250.1594175021264,20170322,Craig_Shakespeare
22,30,513.8178756616094,20170421,Craig_Shakespeare
23,30,350.9303368363577,20170521,Craig_Shakespeare
24,30,282.15715268245583,20170620,Craig_Shakespeare
25,30,362.43207348710365,20170720,Craig_Shakespeare
26,30,414.73742415300194,20170819,Craig_Shakespeare
27,30,286.3720854810102,20170918,Craig_Shakespeare
28,30,447.2903400093031,20171018,Craig_Shakespeare
29,30,480.4844468179684,20171116,Craig_Shakespeare
30,30,299.52004206477295,20171216,Craig_Shakespeare
31,30,161.24369589502692,20180115,Craig_Shakespeare
32,30,110.9864490974831,20180214,Craig_Shakespeare
33,30,108.39246005101084,20180317,Craig_Shakespeare
34,30,156.9006805998004,20180416,Craig_Shakespeare
35,30,96.94744889390216,20180516,Craig_Shakespeare
36,30,72.52474617655136,20180615,Craig_Shakespeare
37,30,82.50627378419604,20180715,Craig_Shakespeare
38,30,122.31354419018083,20180814,Craig_Shakespeare
39,30,74.28645598204227,20180913,Craig_Shakespeare
