bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,9.141039728039612,310.75715969870623,20150701,David_J._Thouless
1,30,12.151449845226612,355.9170063127977,20150731,David_J._Thouless
2,30,10.254774016691057,325.35741381029555,20150830,David_J._Thouless
3,30,13.24613631127309,409.61460910729255,20150929,David_J._Thouless
4,30,10.981373152805258,331.4908515066998,20151029,David_J._Thouless
5,30,11.82508844097535,339.3923807755311,20151127,David_J._Thouless
6,30,9.096597532603955,298.84050311615334,20151227,David_J._Thouless
7,30,10.108042352892873,304.776682038874,20160126,David_J._Thouless
8,30,9.619554888175376,302.30887063847194,20160225,David_J._Thouless
9,30,11.598540674936826,356.36469650814547,20160327,David_J._Thouless
10,30,11.605801624518651,346.52094373303146,20160426,David_J._Thouless
11,30,10.888874528177515,317.5650150030839,20160526,David_J._Thouless
12,30,9.448906148707103,290.9114054001582,20160625,David_J._Thouless
13,30,9.653858103300863,284.57429045551925,20160725,David_J._Thouless
14,30,11.160183617176624,341.20894279526647,20160824,David_J._Thouless
15,30,843.2175478132363,91944.1343220703,20160923,David_J._Thouless
16,30,339.1921856297374,11066.924768809524,20161023,David_J._Thouless
17,30,309.82219299072165,11330.015210767737,20161121,David_J._Thouless
18,30,228.63479617481704,6888.661643578103,20161221,David_J._Thouless
19,30,182.82403069347606,5638.336588383275,20170120,David_J._Thouless
20,30,202.2412870653818,6933.471202992646,20170219,David_J._Thouless
21,30,166.07339033589483,5526.209669216234,20170322,David_J._Thouless
22,30,184.268808905727,6113.02148592431,20170421,David_J._Thouless
23,30,177.65219465684282,5351.57067144273,20170521,David_J._Thouless
24,30,166.08730759810112,4989.802364652449,20170620,David_J._Thouless
25,30,159.00628384642073,4631.9289868123615,20170720,David_J._Thouless
26,30,165.09739201073384,4927.630855815185,20170819,David_J._Thouless
27,30,172.13231116599917,6464.202480147053,20170918,David_J._Thouless
28,30,90.1132162176873,3092.6377209865127,20171018,David_J._Thouless
29,30,75.21538959926174,2329.39366341337,20171116,David_J._Thouless
30,30,61.29834535703225,1938.2449284468516,20171216,David_J._Thouless
31,30,76.49662853364958,2376.9898140549694,20180115,David_J._Thouless
32,30,70.79406279935935,2158.9539766103535,20180214,David_J._Thouless
33,30,70.47391110777917,2102.6833878064417,20180317,David_J._Thouless
34,30,69.62539983361124,2069.3298791210927,20180416,David_J._Thouless
35,30,64.25740983282222,1981.0815409567547,20180516,David_J._Thouless
36,30,61.50469835086781,1863.5153033140798,20180615,David_J._Thouless
37,30,54.67948631247751,1665.9336787090976,20180715,David_J._Thouless
38,30,54.015910242281606,1582.9359395166591,20180814,David_J._Thouless
39,30,67.06416165045484,67.06416165045484,20180913,David_J._Thouless
