bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,986.9584985423776,32307.773236964185,20150701,Francia_Raisa
1,30,860.613736604397,26938.015293980778,20150731,Francia_Raisa
2,30,609.5629889252918,18758.118395716727,20150830,Francia_Raisa
3,30,580.8388625203924,19511.752529886387,20150929,Francia_Raisa
4,30,680.4756527247105,21080.940178880825,20151029,Francia_Raisa
5,30,690.5506178967842,22354.21046590713,20151127,Francia_Raisa
6,30,805.0520368453849,27340.273836017106,20151227,Francia_Raisa
7,30,607.384303308022,19096.19495603788,20160126,Francia_Raisa
8,30,610.2714683766271,18651.988403343603,20160225,Francia_Raisa
9,30,520.391005308169,16291.188824989731,20160327,Francia_Raisa
10,30,661.9923091653646,20575.006775753132,20160426,Francia_Raisa
11,30,744.9163082282289,22824.013896825814,20160526,Francia_Raisa
12,30,821.5318402762396,24793.685800590214,20160625,Francia_Raisa
13,30,638.8805288966206,19683.01345312506,20160725,Francia_Raisa
14,30,611.6495587231327,18424.886356176637,20160824,Francia_Raisa
15,30,523.667817721784,16827.56113287482,20160923,Francia_Raisa
16,30,513.9507778015684,15719.55041288593,20161023,Francia_Raisa
17,30,565.3814529932133,17783.367842594358,20161121,Francia_Raisa
18,30,595.3415306186682,19579.957443864103,20161221,Francia_Raisa
19,30,472.64155327443507,14103.394214211447,20170120,Francia_Raisa
20,30,475.6162243098702,14099.686992556692,20170219,Francia_Raisa
21,30,449.91521061989243,14087.448536445794,20170322,Francia_Raisa
22,30,638.278058123157,21108.414431387373,20170421,Francia_Raisa
23,30,538.8726886853696,16850.924653990274,20170521,Francia_Raisa
24,30,554.8870862677104,23059.180215213313,20170620,Francia_Raisa
25,30,559.0494770512046,19040.48937723007,20170720,Francia_Raisa
26,30,479.1407528195598,248231.4579428103,20170819,Francia_Raisa
27,30,2371.0790513418956,92065.05188632463,20170918,Francia_Raisa
28,30,3363.868082555352,144931.92866150214,20171018,Francia_Raisa
29,30,3031.8931867526217,129844.44335247156,20171116,Francia_Raisa
30,30,3323.158343182562,118110.47523308058,20171216,Francia_Raisa
31,30,2685.498336010626,80266.86813995031,20180115,Francia_Raisa
32,30,2413.37844019994,82118.51723524235,20180214,Francia_Raisa
33,30,2449.6439862511006,89654.61840860819,20180317,Francia_Raisa
34,30,1335.1249742870505,39673.67020212786,20180416,Francia_Raisa
35,30,1178.5560938829722,37828.46318076006,20180516,Francia_Raisa
36,30,1301.6894860911298,55402.48045399666,20180615,Francia_Raisa
37,30,1365.2056041043868,43644.159143674624,20180715,Francia_Raisa
38,30,1020.0312379679782,32644.139905567157,20180814,Francia_Raisa
39,30,998.7401304252348,998.7401304252348,20180913,Francia_Raisa
