bin,binSize,median,timestamp,article
0,30,826.0182542956375,20150701,Gary_Cahill
1,30,1200.707744527105,20150731,Gary_Cahill
2,30,747.4478610217047,20150830,Gary_Cahill
3,30,705.7427582828454,20150929,Gary_Cahill
4,30,631.3071425974227,20151029,Gary_Cahill
5,30,653.4377636816469,20151127,Gary_Cahill
6,30,513.0742500785756,20151227,Gary_Cahill
7,30,1000.162791076111,20160126,Gary_Cahill
8,30,548.4065102365109,20160225,Gary_Cahill
9,30,500.5308834551679,20160327,Gary_Cahill
10,30,675.8431663308752,20160426,Gary_Cahill
11,30,1207.899857399089,20160526,Gary_Cahill
12,30,566.1688305256914,20160625,Gary_Cahill
13,30,530.0471884884473,20160725,Gary_Cahill
14,30,844.1247287879464,20160824,Gary_Cahill
15,30,682.3888963726697,20160923,Gary_Cahill
16,30,1011.5444763245109,20161023,Gary_Cahill
17,30,752.7828185856102,20161121,Gary_Cahill
18,30,867.1960368974434,20161221,Gary_Cahill
19,30,753.8799983620968,20170120,Gary_Cahill
20,30,601.1610594755371,20170219,Gary_Cahill
21,30,836.2770475497462,20170322,Gary_Cahill
22,30,1271.5255435342124,20170421,Gary_Cahill
23,30,1030.5006437049728,20170521,Gary_Cahill
24,30,890.0646167763032,20170620,Gary_Cahill
25,30,1426.5784523598616,20170720,Gary_Cahill
26,30,1209.1067691652374,20170819,Gary_Cahill
27,30,907.985005028763,20170918,Gary_Cahill
28,30,988.817689368499,20171018,Gary_Cahill
29,30,800.8957146427323,20171116,Gary_Cahill
30,30,886.8357488343186,20171216,Gary_Cahill
31,30,866.110329980752,20180115,Gary_Cahill
32,30,772.7508410420885,20180214,Gary_Cahill
33,30,611.9922644862132,20180317,Gary_Cahill
34,30,751.9424515826904,20180416,Gary_Cahill
35,30,1798.707055481565,20180516,Gary_Cahill
36,30,3011.8369153392705,20180615,Gary_Cahill
37,30,1111.3386491399278,20180715,Gary_Cahill
38,30,1124.3294911038233,20180814,Gary_Cahill
39,30,586.0375971916668,20180913,Gary_Cahill
