bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,184.80703046294076,5683.3394234000325,20150701,J._Geils
1,30,209.04473338488776,7010.511073150405,20150731,J._Geils
2,30,195.5339956989011,7425.025560232978,20150830,J._Geils
3,30,162.57642576652256,4874.1070046141,20150929,J._Geils
4,30,140.80321459977495,4333.30780449241,20151029,J._Geils
5,30,140.10045246196626,4268.24102828761,20151127,J._Geils
6,30,165.08157722218954,5645.468517799065,20151227,J._Geils
7,30,252.9353874789134,8767.048550553443,20160126,J._Geils
8,30,229.07655040756788,6884.300428413679,20160225,J._Geils
9,30,213.0079983886775,6437.808827565894,20160327,J._Geils
10,30,194.83134670192726,6115.359754956441,20160426,J._Geils
11,30,187.21936974323677,5720.735386676077,20160526,J._Geils
12,30,185.49418665504476,5856.339634272783,20160625,J._Geils
13,30,177.14104555534584,5364.321789665061,20160725,J._Geils
14,30,212.41653295630442,7809.986186988022,20160824,J._Geils
15,30,188.22021621608053,7271.176029956835,20160923,J._Geils
16,30,179.14921955637521,5417.488529529891,20161023,J._Geils
17,30,155.9644917860624,4802.430800887286,20161121,J._Geils
18,30,170.83691206750638,5188.9806920659685,20161221,J._Geils
19,30,177.2479017229478,5411.956998021681,20170120,J._Geils
20,30,201.64506244700027,7546.466848642459,20170219,J._Geils
21,30,218.00647377741103,357366.8764461566,20170322,J._Geils
22,30,939.7357122440375,32693.310687481284,20170421,J._Geils
23,30,464.42896679174066,14955.84987021029,20170521,J._Geils
24,30,453.6913196575788,13370.844780872123,20170620,J._Geils
25,30,414.20520650599667,14389.877737504383,20170720,J._Geils
26,30,326.1149948777306,10752.845335617934,20170819,J._Geils
27,30,312.2761113892175,10639.891376572763,20170918,J._Geils
28,30,288.1768449845759,8833.217309717233,20171018,J._Geils
29,30,304.9528656101626,9499.416288650504,20171116,J._Geils
30,30,397.8870929650958,17491.37878932091,20171216,J._Geils
31,30,297.48803219324896,9682.356360780588,20180115,J._Geils
32,30,306.1288365278531,10861.748649868156,20180214,J._Geils
33,30,284.39425062361806,9664.788409682224,20180317,J._Geils
34,30,250.70089182249893,7742.127876065223,20180416,J._Geils
35,30,295.63902906893816,9953.297990412013,20180516,J._Geils
36,30,305.11816416315776,9446.7766150552,20180615,J._Geils
37,30,314.19671599101173,9978.143578271352,20180715,J._Geils
38,30,272.075231869528,8467.14262925177,20180814,J._Geils
39,30,246.589763607057,246.589763607057,20180913,J._Geils
