bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,3450.6275171994907,107758.73644255292,20150701,Keri_Russell
1,30,3608.8928409041173,111243.40949763889,20150731,Keri_Russell
2,30,2735.512031598947,86088.87110033858,20150830,Keri_Russell
3,30,2649.8300086197282,86406.52666805447,20150929,Keri_Russell
4,30,2475.316851073253,78017.06996505437,20151029,Keri_Russell
5,30,3682.498253899982,116114.63471529764,20151127,Keri_Russell
6,30,5031.772583032696,215079.82642344577,20151227,Keri_Russell
7,30,3774.843232836335,112755.28563913857,20160126,Keri_Russell
8,30,6323.960000970512,229876.20394229324,20160225,Keri_Russell
9,30,6296.512651185818,187291.398851827,20160327,Keri_Russell
10,30,5981.110038859344,176787.62394702912,20160426,Keri_Russell
11,30,7501.148231535078,266556.0424521411,20160526,Keri_Russell
12,30,4717.9806481975775,187724.4394218411,20160625,Keri_Russell
13,30,3746.679601736778,131017.10734596476,20160725,Keri_Russell
14,30,4030.701242547858,143670.54636915296,20160824,Keri_Russell
15,30,3628.1176200767422,112191.04337556032,20160923,Keri_Russell
16,30,3293.9587537201605,100465.09634777937,20161023,Keri_Russell
17,30,3162.765888144024,95661.46563544964,20161121,Keri_Russell
18,30,4459.496081854793,155459.95369879896,20161221,Keri_Russell
19,30,3661.9826909342783,115364.92505135312,20170120,Keri_Russell
20,30,7440.446744203877,254047.17819848433,20170219,Keri_Russell
21,30,6143.763683952541,219120.8408289673,20170322,Keri_Russell
22,30,5040.3593178654755,149578.32438952467,20170421,Keri_Russell
23,30,4966.940591171215,196319.43186375365,20170521,Keri_Russell
24,30,4533.137376265547,154047.9753439215,20170620,Keri_Russell
25,30,4122.688175401431,127709.42615264845,20170720,Keri_Russell
26,30,3306.3402327431004,104493.16610412847,20170819,Keri_Russell
27,30,3390.553374893224,106584.80123341159,20170918,Keri_Russell
28,30,2894.0584553657327,90310.93913084513,20171018,Keri_Russell
29,30,3010.239516635761,93222.34053915058,20171116,Keri_Russell
30,30,3859.013916435845,122491.49959522413,20171216,Keri_Russell
31,30,3286.1795460852636,99712.80084036595,20180115,Keri_Russell
32,30,3184.2497089035005,96171.62865244444,20180214,Keri_Russell
33,30,6696.2484578276,273115.2264587177,20180317,Keri_Russell
34,30,5768.21441873576,211411.80991090575,20180416,Keri_Russell
35,30,7403.402330141173,288486.9170331679,20180516,Keri_Russell
36,30,6762.824587566287,234873.1017912281,20180615,Keri_Russell
37,30,6648.9493730244685,214256.38226129513,20180715,Keri_Russell
38,30,4940.307321326853,158416.28555990223,20180814,Keri_Russell
39,30,4461.314384254872,4461.314384254872,20180913,Keri_Russell
