bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,199.4630814501591,9072.757513600094,20150701,Lisa_Bloom
1,30,106.64834157453866,4743.85236233604,20150731,Lisa_Bloom
2,30,94.17063849200613,3902.1393279246936,20150830,Lisa_Bloom
3,30,119.50870747622442,5813.694263916518,20150929,Lisa_Bloom
4,30,121.70396222045188,4884.812191339831,20151029,Lisa_Bloom
5,30,101.39725651315268,4103.259533147274,20151127,Lisa_Bloom
6,30,143.55543814168067,10752.104612715624,20151227,Lisa_Bloom
7,30,100.49341658218793,3813.032182080129,20160126,Lisa_Bloom
8,30,92.27393645576652,3445.250433297762,20160225,Lisa_Bloom
9,30,105.74389333788795,4598.047550413,20160327,Lisa_Bloom
10,30,91.6310471578453,3680.2543842844243,20160426,Lisa_Bloom
11,30,100.91242131315889,3857.4586236442683,20160526,Lisa_Bloom
12,30,146.9302691164094,5426.542472840173,20160625,Lisa_Bloom
13,30,117.92044123481125,6715.177614118093,20160725,Lisa_Bloom
14,30,99.5922595849676,3356.3299394457786,20160824,Lisa_Bloom
15,30,221.19201246942143,31285.80951485975,20160923,Lisa_Bloom
16,30,352.25570981957134,25030.8268903282,20161023,Lisa_Bloom
17,30,123.54258105224173,3916.632929886511,20161121,Lisa_Bloom
18,30,124.22912653918988,6530.485588606993,20161221,Lisa_Bloom
19,30,107.3414229418071,5298.428709773543,20170120,Lisa_Bloom
20,30,119.15836980914706,7212.616434952303,20170219,Lisa_Bloom
21,30,367.9423407657299,44450.51390884616,20170322,Lisa_Bloom
22,30,269.1001180922864,21085.274291670263,20170421,Lisa_Bloom
23,30,403.0742572797748,59737.262960246844,20170521,Lisa_Bloom
24,30,318.02404142080127,29824.26019656144,20170620,Lisa_Bloom
25,30,565.101168831053,26144.16276556304,20170720,Lisa_Bloom
26,30,259.5577285328013,8944.11566578405,20170819,Lisa_Bloom
27,30,3435.9364397113327,164411.3448257241,20170918,Lisa_Bloom
28,30,1603.9414068764113,68068.80659228202,20171018,Lisa_Bloom
29,30,800.8146785276945,37295.182967370034,20171116,Lisa_Bloom
30,30,581.2303158395788,53655.692484896506,20171216,Lisa_Bloom
31,30,579.4775041644785,34179.33067629943,20180115,Lisa_Bloom
32,30,1009.7008661335001,39654.71536733985,20180214,Lisa_Bloom
33,30,578.874477710324,21281.632391346568,20180317,Lisa_Bloom
34,30,408.0487777062028,23413.53336901484,20180416,Lisa_Bloom
35,30,461.70738802808785,17795.75302140982,20180516,Lisa_Bloom
36,30,324.4645174041326,11871.221309200253,20180615,Lisa_Bloom
37,30,270.76148198552187,9349.23418889768,20180715,Lisa_Bloom
38,30,270.69565569945587,9687.285396944266,20180814,Lisa_Bloom
39,30,488.0207455486943,488.0207455486943,20180913,Lisa_Bloom
