bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,52.40341645595221,1593.6376263247948,20150701,Lys_Assia
1,30,48.24394805724134,1549.584365392337,20150731,Lys_Assia
2,30,44.8434567834456,1435.986419857946,20150830,Lys_Assia
3,30,45.084143954169676,1410.0158734146983,20150929,Lys_Assia
4,30,45.11693210214416,1491.7290045085256,20151029,Lys_Assia
5,30,47.632848003911946,1475.996341852499,20151127,Lys_Assia
6,30,48.60283258655252,1519.3327947115342,20151227,Lys_Assia
7,30,57.08870108959022,1808.0215263957,20160126,Lys_Assia
8,30,81.96874712217642,2707.609842687403,20160225,Lys_Assia
9,30,72.17216498563735,2256.3774972802703,20160327,Lys_Assia
10,30,158.6012193976616,7250.531526250002,20160426,Lys_Assia
11,30,84.96432657359712,2879.9868318674116,20160526,Lys_Assia
12,30,49.37761006847006,1519.7402081333992,20160625,Lys_Assia
13,30,39.85043548883722,1191.5459704237462,20160725,Lys_Assia
14,30,40.94250818919028,1257.9889930325587,20160824,Lys_Assia
15,30,42.56539337549925,1319.6351935607076,20160923,Lys_Assia
16,30,40.0253362996954,1317.0077201982167,20161023,Lys_Assia
17,30,42.30264816380213,1266.098746559578,20161121,Lys_Assia
18,30,41.20538435582634,1268.937413004884,20161221,Lys_Assia
19,30,48.64215049515136,1508.7728118930447,20170120,Lys_Assia
20,30,64.90950739736371,2178.502380445162,20170219,Lys_Assia
21,30,60.081372458866085,1799.5322119092689,20170322,Lys_Assia
22,30,85.96659026499665,5273.054018825432,20170421,Lys_Assia
23,30,53.33132065997605,1938.7610747789079,20170521,Lys_Assia
24,30,41.5434802844278,1260.8550342978865,20170620,Lys_Assia
25,30,37.40587299836062,1148.680418365685,20170720,Lys_Assia
26,30,40.548538104689975,1269.8733221432237,20170819,Lys_Assia
27,30,37.660422786680186,1194.1776372666727,20170918,Lys_Assia
28,30,35.89781437028107,1179.1909083315506,20171018,Lys_Assia
29,30,37.20988827773634,1164.8870364925888,20171116,Lys_Assia
30,30,42.41190169573479,1408.3454919051062,20171216,Lys_Assia
31,30,39.15799951393681,1295.867926201981,20180115,Lys_Assia
32,30,58.58468127432313,1872.937866152613,20180214,Lys_Assia
33,30,182.1564198715471,51605.071938176414,20180317,Lys_Assia
34,30,95.67775044230899,9597.838162019103,20180416,Lys_Assia
35,30,73.09613012884418,3022.090216199339,20180516,Lys_Assia
36,30,52.29185020137989,1504.6707332213132,20180615,Lys_Assia
37,30,49.954414418711735,1562.2017826808,20180715,Lys_Assia
38,30,45.71017005297751,1421.3073745442198,20180814,Lys_Assia
39,30,54.68308565344778,54.68308565344778,20180913,Lys_Assia
