bin,binSize,median,timestamp,article
0,30,166.68490033933267,20150701,Martin_Crowe
1,30,200.3433853655739,20150731,Martin_Crowe
2,30,176.6099504633678,20150830,Martin_Crowe
3,30,193.9717474291537,20150929,Martin_Crowe
4,30,294.26506223031583,20151029,Martin_Crowe
5,30,275.7363566898419,20151127,Martin_Crowe
6,30,417.31290823327896,20151227,Martin_Crowe
7,30,357.9960819462235,20160126,Martin_Crowe
8,30,1277.7433054429218,20160225,Martin_Crowe
9,30,397.5638835241467,20160327,Martin_Crowe
10,30,238.57160772761972,20160426,Martin_Crowe
11,30,253.6225496534695,20160526,Martin_Crowe
12,30,173.49819015984843,20160625,Martin_Crowe
13,30,176.58390483294204,20160725,Martin_Crowe
14,30,174.88070736622734,20160824,Martin_Crowe
15,30,314.29151826780185,20160923,Martin_Crowe
16,30,295.08382275609847,20161023,Martin_Crowe
17,30,374.5421448527252,20161121,Martin_Crowe
18,30,399.3248035664542,20161221,Martin_Crowe
19,30,296.50239883213527,20170120,Martin_Crowe
20,30,370.2873589475108,20170219,Martin_Crowe
21,30,294.9237553597597,20170322,Martin_Crowe
22,30,233.22054524991495,20170421,Martin_Crowe
23,30,383.9260041141308,20170521,Martin_Crowe
24,30,287.58287466186255,20170620,Martin_Crowe
25,30,237.69542220417452,20170720,Martin_Crowe
26,30,224.3918822991231,20170819,Martin_Crowe
27,30,219.87359742086988,20170918,Martin_Crowe
28,30,240.22649006411353,20171018,Martin_Crowe
29,30,384.9176504875402,20171116,Martin_Crowe
30,30,383.93030418779574,20171216,Martin_Crowe
31,30,270.89825089562885,20180115,Martin_Crowe
32,30,328.5340915252756,20180214,Martin_Crowe
33,30,641.0306888362168,20180317,Martin_Crowe
34,30,303.45690030938965,20180416,Martin_Crowe
35,30,231.8315613553171,20180516,Martin_Crowe
36,30,189.42095054674638,20180615,Martin_Crowe
37,30,277.3619920985817,20180715,Martin_Crowe
38,30,273.77480144587616,20180814,Martin_Crowe
39,30,256.9073269378962,20180913,Martin_Crowe
