bin,binSize,median,timestamp,article
0,30,68.61218847313893,20150701,Niklas_Süle
1,30,78.78961738603849,20150731,Niklas_Süle
2,30,106.41067199329103,20150830,Niklas_Süle
3,30,158.47138747658477,20150929,Niklas_Süle
4,30,124.05818715284282,20151029,Niklas_Süle
5,30,107.78247440203435,20151127,Niklas_Süle
6,30,119.85209690893917,20151227,Niklas_Süle
7,30,134.57324592379342,20160126,Niklas_Süle
8,30,150.7852968660319,20160225,Niklas_Süle
9,30,138.57496402094782,20160327,Niklas_Süle
10,30,206.99430244829676,20160426,Niklas_Süle
11,30,175.85324255291727,20160526,Niklas_Süle
12,30,178.9091922840011,20160625,Niklas_Süle
13,30,345.0428025030095,20160725,Niklas_Süle
14,30,379.93857124125253,20160824,Niklas_Süle
15,30,278.5763352014652,20160923,Niklas_Süle
16,30,271.15066427679017,20161023,Niklas_Süle
17,30,358.6990438860199,20161121,Niklas_Süle
18,30,342.73590912621364,20161221,Niklas_Süle
19,30,339.67623100711324,20170120,Niklas_Süle
20,30,276.1799126958174,20170219,Niklas_Süle
21,30,496.3194442767239,20170322,Niklas_Süle
22,30,394.51314002732653,20170421,Niklas_Süle
23,30,838.7750843627189,20170521,Niklas_Süle
24,30,1344.2017598827215,20170620,Niklas_Süle
25,30,877.5372211752006,20170720,Niklas_Süle
26,30,959.657733193598,20170819,Niklas_Süle
27,30,636.2088837075556,20170918,Niklas_Süle
28,30,495.68882854327535,20171018,Niklas_Süle
29,30,468.11534497095175,20171116,Niklas_Süle
30,30,450.3152370293926,20171216,Niklas_Süle
31,30,455.29564511168934,20180115,Niklas_Süle
32,30,414.5355579290109,20180214,Niklas_Süle
33,30,615.5446201976752,20180317,Niklas_Süle
34,30,666.9675644122176,20180416,Niklas_Süle
35,30,958.5897100407035,20180516,Niklas_Süle
36,30,902.7688242054747,20180615,Niklas_Süle
37,30,503.92699739182075,20180715,Niklas_Süle
38,30,455.8454890879732,20180814,Niklas_Süle
39,30,312.6221689244279,20180913,Niklas_Süle
