bin,binSize,median,timestamp,article
0,30,395.81814557012046,20150701,Ramona_Marquez
1,30,470.2601698666763,20150731,Ramona_Marquez
2,30,339.92703046123745,20150830,Ramona_Marquez
3,30,319.6907688208611,20150929,Ramona_Marquez
4,30,431.8229446057958,20151029,Ramona_Marquez
5,30,477.537811955864,20151127,Ramona_Marquez
6,30,368.6126118106661,20151227,Ramona_Marquez
7,30,337.9386954857697,20160126,Ramona_Marquez
8,30,317.87490606237844,20160225,Ramona_Marquez
9,30,644.2535837931349,20160327,Ramona_Marquez
10,30,500.6228951686402,20160426,Ramona_Marquez
11,30,465.5056708600873,20160526,Ramona_Marquez
12,30,453.32018452480156,20160625,Ramona_Marquez
13,30,556.085448961642,20160725,Ramona_Marquez
14,30,674.9399855132167,20160824,Ramona_Marquez
15,30,268.29660659314334,20160923,Ramona_Marquez
16,30,301.9516535733295,20161023,Ramona_Marquez
17,30,599.7400133661532,20161121,Ramona_Marquez
18,30,1344.1500183562302,20161221,Ramona_Marquez
19,30,308.1357254849902,20170120,Ramona_Marquez
20,30,261.7383768652044,20170219,Ramona_Marquez
21,30,241.07812270846992,20170322,Ramona_Marquez
22,30,257.6983891413259,20170421,Ramona_Marquez
23,30,241.95446714044215,20170521,Ramona_Marquez
24,30,254.45550678859905,20170620,Ramona_Marquez
25,30,316.6926743402041,20170720,Ramona_Marquez
26,30,401.1727572303911,20170819,Ramona_Marquez
27,30,329.63407365728847,20170918,Ramona_Marquez
28,30,387.0290386575425,20171018,Ramona_Marquez
29,30,435.52442635887667,20171116,Ramona_Marquez
30,30,519.5073959236186,20171216,Ramona_Marquez
31,30,266.98168893955574,20180115,Ramona_Marquez
32,30,254.14993297836372,20180214,Ramona_Marquez
33,30,310.5218852772209,20180317,Ramona_Marquez
34,30,299.1835555707387,20180416,Ramona_Marquez
35,30,283.8273921166376,20180516,Ramona_Marquez
36,30,324.75338162367024,20180615,Ramona_Marquez
37,30,378.5014413249288,20180715,Ramona_Marquez
38,30,437.58075668740526,20180814,Ramona_Marquez
39,30,339.44783358460984,20180913,Ramona_Marquez
