bin,binSize,median,timestamp,article
0,30,2417.423761611937,20150701,Richard_Dawson
1,30,2391.931904111306,20150731,Richard_Dawson
2,30,2419.160984107717,20150830,Richard_Dawson
3,30,2539.5569046478845,20150929,Richard_Dawson
4,30,2645.852544950538,20151029,Richard_Dawson
5,30,2572.6225092861523,20151127,Richard_Dawson
6,30,2834.601052547534,20151227,Richard_Dawson
7,30,2523.498693153656,20160126,Richard_Dawson
8,30,2025.1685855565197,20160225,Richard_Dawson
9,30,2267.100993665801,20160327,Richard_Dawson
10,30,2621.2655345695157,20160426,Richard_Dawson
11,30,2524.0028482133384,20160526,Richard_Dawson
12,30,3024.2961524222087,20160625,Richard_Dawson
13,30,2400.3340775114248,20160725,Richard_Dawson
14,30,2745.0690403530625,20160824,Richard_Dawson
15,30,2531.736704497442,20160923,Richard_Dawson
16,30,2723.082886711025,20161023,Richard_Dawson
17,30,2598.373374773472,20161121,Richard_Dawson
18,30,3416.5615981149613,20161221,Richard_Dawson
19,30,2935.454670998877,20170120,Richard_Dawson
20,30,2920.9092127094523,20170219,Richard_Dawson
21,30,2825.9034811023776,20170322,Richard_Dawson
22,30,2766.3688412369156,20170421,Richard_Dawson
23,30,3338.91846830696,20170521,Richard_Dawson
24,30,3966.127163230467,20170620,Richard_Dawson
25,30,3416.744026865168,20170720,Richard_Dawson
26,30,2940.3615699760094,20170819,Richard_Dawson
27,30,2846.199457207933,20170918,Richard_Dawson
28,30,2610.51706842141,20171018,Richard_Dawson
29,30,2659.8900737003296,20171116,Richard_Dawson
30,30,3256.759732048921,20171216,Richard_Dawson
31,30,3121.386301161684,20180115,Richard_Dawson
32,30,2587.2009434247693,20180214,Richard_Dawson
33,30,2470.8620938568074,20180317,Richard_Dawson
34,30,2324.4107874414253,20180416,Richard_Dawson
35,30,2542.155637602412,20180516,Richard_Dawson
36,30,3033.5747976230173,20180615,Richard_Dawson
37,30,2942.5783235448826,20180715,Richard_Dawson
38,30,2453.1965414250153,20180814,Richard_Dawson
39,30,2147.0849291476384,20180913,Richard_Dawson
