bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,6.5775796559978605,249.23284013144172,20150701,Roger_B._Porter
1,30,10.025535723521852,297.20258681009165,20150731,Roger_B._Porter
2,30,11.389364871385943,414.28805136743796,20150830,Roger_B._Porter
3,30,12.484838440559528,571.5681627682951,20150929,Roger_B._Porter
4,30,9.239616418418748,273.72839223417486,20151029,Roger_B._Porter
5,30,8.58948717323547,295.8264932112085,20151127,Roger_B._Porter
6,30,7.229127776414279,220.38181275176277,20151227,Roger_B._Porter
7,30,8.189761190137688,336.30186604873956,20160126,Roger_B._Porter
8,30,9.201574252620919,339.1351438439534,20160225,Roger_B._Porter
9,30,10.128010828025557,324.8077590631918,20160327,Roger_B._Porter
10,30,8.414365425906112,290.85069172862217,20160426,Roger_B._Porter
11,30,6.728124097951898,226.03009583596582,20160526,Roger_B._Porter
12,30,8.362798334305953,298.0124151086997,20160625,Roger_B._Porter
13,30,10.054218965426383,329.32195426006484,20160725,Roger_B._Porter
14,30,16.57604755710532,622.9783967965388,20160824,Roger_B._Porter
15,30,16.083118678453435,543.8332195719449,20160923,Roger_B._Porter
16,30,15.997688360814669,587.5710016622661,20161023,Roger_B._Porter
17,30,12.203879246815863,399.43609145977507,20161121,Roger_B._Porter
18,30,11.071348967960763,369.4461426773859,20161221,Roger_B._Porter
19,30,19.093065551778402,691.1576489735895,20170120,Roger_B._Porter
20,30,16.887751162221925,578.5971239414094,20170219,Roger_B._Porter
21,30,15.605570803369428,486.42725733014646,20170322,Roger_B._Porter
22,30,17.449171017966563,824.1837362739348,20170421,Roger_B._Porter
23,30,15.373479130219408,473.57399776117614,20170521,Roger_B._Porter
24,30,11.715648312020345,363.2123421889494,20170620,Roger_B._Porter
25,30,18.797466427843275,610.0220053158932,20170720,Roger_B._Porter
26,30,19.95037009643672,1535.6010166981935,20170819,Roger_B._Porter
27,30,13.591672811805783,433.86377706132396,20170918,Roger_B._Porter
28,30,13.607904663326337,537.1853584757126,20171018,Roger_B._Porter
29,30,13.003047640456845,451.1824535835161,20171116,Roger_B._Porter
30,30,14.890930060298242,557.73475064667,20171216,Roger_B._Porter
31,30,25.692288128050066,54399.90983548749,20180115,Roger_B._Porter
32,30,120.44005387649644,10509.602447441346,20180214,Roger_B._Porter
33,30,39.13319234768029,1546.9439829276664,20180317,Roger_B._Porter
34,30,26.016463683668693,839.6699183353907,20180416,Roger_B._Porter
35,30,23.95528849263014,736.648832723362,20180516,Roger_B._Porter
36,30,26.84748479364062,891.1046647548828,20180615,Roger_B._Porter
37,30,30.333956123588138,1080.9731465508805,20180715,Roger_B._Porter
38,30,31.39872537420861,1411.2498624088028,20180814,Roger_B._Porter
39,30,90.794557311385,90.794557311385,20180913,Roger_B._Porter
