bin,binSize,median,timestamp,article
0,30,1335.3323107775436,20150701,Shelley_Long
1,30,1593.3715929695863,20150731,Shelley_Long
2,30,1401.2189494048857,20150830,Shelley_Long
3,30,1336.8006149342104,20150929,Shelley_Long
4,30,1370.840372065119,20151029,Shelley_Long
5,30,1509.6053756245892,20151127,Shelley_Long
6,30,1653.1648877043442,20151227,Shelley_Long
7,30,1356.1711559025453,20160126,Shelley_Long
8,30,1549.56163450933,20160225,Shelley_Long
9,30,1710.7384896291385,20160327,Shelley_Long
10,30,1472.4795249352383,20160426,Shelley_Long
11,30,1351.5556138853985,20160526,Shelley_Long
12,30,1338.6326415544845,20160625,Shelley_Long
13,30,1370.7749261155031,20160725,Shelley_Long
14,30,1616.952248372133,20160824,Shelley_Long
15,30,1308.0920964994477,20160923,Shelley_Long
16,30,1164.8658522817088,20161023,Shelley_Long
17,30,1622.8557892843342,20161121,Shelley_Long
18,30,2020.0598988120269,20161221,Shelley_Long
19,30,1945.286150538514,20170120,Shelley_Long
20,30,1705.4810909629082,20170219,Shelley_Long
21,30,1491.2655358734569,20170322,Shelley_Long
22,30,1633.8512743087965,20170421,Shelley_Long
23,30,1482.203133467088,20170521,Shelley_Long
24,30,1700.0273098273728,20170620,Shelley_Long
25,30,1599.043218590618,20170720,Shelley_Long
26,30,1648.5738813399553,20170819,Shelley_Long
27,30,1573.0302386387707,20170918,Shelley_Long
28,30,1618.9873558691252,20171018,Shelley_Long
29,30,1718.7225629372929,20171116,Shelley_Long
30,30,1726.4969116029602,20171216,Shelley_Long
31,30,1627.559852459996,20180115,Shelley_Long
32,30,1439.6340935604778,20180214,Shelley_Long
33,30,1457.7009157262223,20180317,Shelley_Long
34,30,1652.874290368892,20180416,Shelley_Long
35,30,1685.935524063539,20180516,Shelley_Long
36,30,1690.6436591477604,20180615,Shelley_Long
37,30,1667.802959046268,20180715,Shelley_Long
38,30,1737.4970449742395,20180814,Shelley_Long
39,30,3033.363619266726,20180913,Shelley_Long
