bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,30,610.1898758388336,18901.075189005514,20150701,Zach_Randolph
1,30,374.05314647221087,11109.700599558466,20150731,Zach_Randolph
2,30,279.25147071078453,8492.032013997614,20150830,Zach_Randolph
3,30,413.81759430199213,12655.262175289334,20150929,Zach_Randolph
4,30,630.4949253389777,22011.277037397944,20151029,Zach_Randolph
5,30,577.6079061868332,20153.097278804948,20151127,Zach_Randolph
6,30,559.1131844603638,20676.59865134524,20151227,Zach_Randolph
7,30,525.0547756911249,17923.64841405777,20160126,Zach_Randolph
8,30,673.9057881612468,25387.04188438723,20160225,Zach_Randolph
9,30,936.5857426544848,50789.06321985113,20160327,Zach_Randolph
10,30,492.03832836545837,15899.24785755443,20160426,Zach_Randolph
11,30,413.33106402160155,13698.440339805125,20160526,Zach_Randolph
12,30,624.7699787150474,22652.378282079157,20160625,Zach_Randolph
13,30,349.662515088472,10601.143868417184,20160725,Zach_Randolph
14,30,286.4305923539699,9017.985711809113,20160824,Zach_Randolph
15,30,384.2516482773359,12930.729902146079,20160923,Zach_Randolph
16,30,603.4235650085519,22662.13977595829,20161023,Zach_Randolph
17,30,731.3417337970943,33499.40446996168,20161121,Zach_Randolph
18,30,775.4473780739711,35577.71866747791,20161221,Zach_Randolph
19,30,699.9284519777957,25470.41286414616,20170120,Zach_Randolph
20,30,705.0401479507448,22015.97462354846,20170219,Zach_Randolph
21,30,778.6737721766739,36415.64730068335,20170322,Zach_Randolph
22,30,680.0312397419057,54947.13889816039,20170421,Zach_Randolph
23,30,511.392524471526,17369.26682920225,20170521,Zach_Randolph
24,30,1645.8929710275966,141220.71526059645,20170620,Zach_Randolph
25,30,813.3416155508354,71037.80263575322,20170720,Zach_Randolph
26,30,591.7668954123726,19570.09092477412,20170819,Zach_Randolph
27,30,623.9776958521536,24235.202214597743,20170918,Zach_Randolph
28,30,1051.7154777638991,38138.52563111229,20171018,Zach_Randolph
29,30,1038.8910235278329,92464.79833962274,20171116,Zach_Randolph
30,30,994.5264488612493,34624.2738557724,20171216,Zach_Randolph
31,30,818.8714161181467,35366.342435046114,20180115,Zach_Randolph
32,30,761.8991054136463,24939.642879954044,20180214,Zach_Randolph
33,30,588.5974889343505,18504.890267528634,20180317,Zach_Randolph
34,30,520.2016169105042,15718.397982246022,20180416,Zach_Randolph
35,30,533.4043231303699,16212.959788940545,20180516,Zach_Randolph
36,30,748.6672060663404,41136.218972906514,20180615,Zach_Randolph
37,30,522.1383991387808,17748.808312385507,20180715,Zach_Randolph
38,30,376.06358308367044,11398.907838126814,20180814,Zach_Randolph
39,30,460.1633245554285,460.1633245554285,20180913,Zach_Randolph
