bin,binSize,median,timestamp,article
0,7,32,20150701,Anna_Sloan
1,7,15,20150708,Anna_Sloan
2,7,9,20150715,Anna_Sloan
3,7,16,20150722,Anna_Sloan
4,7,14,20150729,Anna_Sloan
5,7,21,20150805,Anna_Sloan
6,7,58,20150812,Anna_Sloan
7,7,19,20150819,Anna_Sloan
8,7,17,20150826,Anna_Sloan
9,7,23,20150902,Anna_Sloan
10,7,70,20150909,Anna_Sloan
11,7,21,20150916,Anna_Sloan
12,7,17,20150923,Anna_Sloan
13,7,9,20150930,Anna_Sloan
14,7,16,20151007,Anna_Sloan
15,7,20,20151014,Anna_Sloan
16,7,19,20151021,Anna_Sloan
17,7,30,20151028,Anna_Sloan
18,7,96,20151103,Anna_Sloan
19,7,26,20151110,Anna_Sloan
20,7,48,20151117,Anna_Sloan
21,7,111,20151124,Anna_Sloan
22,7,30,20151201,Anna_Sloan
23,7,39,20151208,Anna_Sloan
24,7,32,20151215,Anna_Sloan
25,7,36,20151222,Anna_Sloan
26,7,36,20151229,Anna_Sloan
27,7,46,20160105,Anna_Sloan
28,7,169,20160112,Anna_Sloan
29,7,30,20160119,Anna_Sloan
30,7,26,20160126,Anna_Sloan
31,7,23,20160202,Anna_Sloan
32,7,23,20160209,Anna_Sloan
33,7,25,20160216,Anna_Sloan
34,7,42,20160223,Anna_Sloan
35,7,23,20160301,Anna_Sloan
36,7,34,20160308,Anna_Sloan
37,7,49,20160316,Anna_Sloan
38,7,194,20160323,Anna_Sloan
39,7,106,20160330,Anna_Sloan
40,7,57,20160406,Anna_Sloan
41,7,53,20160413,Anna_Sloan
42,7,22,20160420,Anna_Sloan
43,7,29,20160427,Anna_Sloan
44,7,16,20160504,Anna_Sloan
45,7,22,20160511,Anna_Sloan
46,7,17,20160518,Anna_Sloan
47,7,23,20160525,Anna_Sloan
48,7,23,20160601,Anna_Sloan
49,7,13,20160608,Anna_Sloan
50,7,16,20160615,Anna_Sloan
51,7,14,20160622,Anna_Sloan
52,7,15,20160629,Anna_Sloan
53,7,11,20160706,Anna_Sloan
54,7,12,20160713,Anna_Sloan
55,7,14,20160720,Anna_Sloan
56,7,14,20160727,Anna_Sloan
57,7,29,20160803,Anna_Sloan
58,7,41,20160810,Anna_Sloan
59,7,39,20160817,Anna_Sloan
60,7,23,20160824,Anna_Sloan
61,7,16,20160831,Anna_Sloan
62,7,18,20160907,Anna_Sloan
63,7,18,20160914,Anna_Sloan
64,7,21,20160921,Anna_Sloan
65,7,18,20160928,Anna_Sloan
66,7,11,20161005,Anna_Sloan
67,7,24,20161012,Anna_Sloan
68,7,11,20161019,Anna_Sloan
69,7,30,20161026,Anna_Sloan
70,7,19,20161102,Anna_Sloan
71,7,20,20161108,Anna_Sloan
72,7,52,20161115,Anna_Sloan
73,7,131,20161122,Anna_Sloan
74,7,31,20161129,Anna_Sloan
75,7,25,20161206,Anna_Sloan
76,7,26,20161213,Anna_Sloan
77,7,11,20161220,Anna_Sloan
78,7,11,20161227,Anna_Sloan
79,7,16,20170103,Anna_Sloan
80,7,26,20170110,Anna_Sloan
81,7,15,20170117,Anna_Sloan
82,7,22,20170124,Anna_Sloan
83,7,19,20170131,Anna_Sloan
84,7,29,20170207,Anna_Sloan
85,7,25,20170214,Anna_Sloan
86,7,45,20170221,Anna_Sloan
87,7,38,20170228,Anna_Sloan
88,7,31,20170307,Anna_Sloan
89,7,101,20170315,Anna_Sloan
90,7,312,20170322,Anna_Sloan
91,7,32,20170329,Anna_Sloan
92,7,23,20170405,Anna_Sloan
93,7,25,20170412,Anna_Sloan
94,7,97,20170419,Anna_Sloan
95,7,47,20170426,Anna_Sloan
96,7,34,20170503,Anna_Sloan
97,7,24,20170510,Anna_Sloan
98,7,23,20170517,Anna_Sloan
99,7,10,20170524,Anna_Sloan
100,7,13,20170531,Anna_Sloan
101,7,11,20170607,Anna_Sloan
102,7,9,20170614,Anna_Sloan
103,7,17,20170621,Anna_Sloan
104,7,12,20170628,Anna_Sloan
105,7,28,20170705,Anna_Sloan
106,7,37,20170712,Anna_Sloan
107,7,24,20170719,Anna_Sloan
108,7,30,20170726,Anna_Sloan
109,7,25,20170802,Anna_Sloan
110,7,20,20170809,Anna_Sloan
111,7,21,20170816,Anna_Sloan
112,7,18,20170823,Anna_Sloan
113,7,20,20170830,Anna_Sloan
114,7,37,20170906,Anna_Sloan
115,7,18,20170913,Anna_Sloan
116,7,20,20170920,Anna_Sloan
117,7,15,20170927,Anna_Sloan
118,7,14,20171004,Anna_Sloan
119,7,16,20171011,Anna_Sloan
120,7,12,20171018,Anna_Sloan
121,7,36,20171025,Anna_Sloan
122,7,17,20171101,Anna_Sloan
123,7,19,20171107,Anna_Sloan
124,7,28,20171114,Anna_Sloan
125,7,107,20171121,Anna_Sloan
126,7,55,20171128,Anna_Sloan
127,7,41,20171205,Anna_Sloan
128,7,29,20171212,Anna_Sloan
129,7,31,20171219,Anna_Sloan
130,7,23,20171226,Anna_Sloan
131,7,31,20180102,Anna_Sloan
132,7,57,20180109,Anna_Sloan
133,7,43,20180116,Anna_Sloan
134,7,78,20180123,Anna_Sloan
135,7,69,20180130,Anna_Sloan
136,7,575,20180206,Anna_Sloan
137,7,5545,20180213,Anna_Sloan
138,7,6705,20180220,Anna_Sloan
139,7,190,20180227,Anna_Sloan
140,7,86,20180306,Anna_Sloan
141,7,51,20180314,Anna_Sloan
142,7,74,20180321,Anna_Sloan
143,7,29,20180328,Anna_Sloan
144,7,31,20180404,Anna_Sloan
145,7,26,20180411,Anna_Sloan
146,7,16,20180418,Anna_Sloan
147,7,39,20180425,Anna_Sloan
148,7,12,20180502,Anna_Sloan
149,7,9,20180509,Anna_Sloan
150,7,23,20180516,Anna_Sloan
151,7,15,20180523,Anna_Sloan
152,7,10,20180530,Anna_Sloan
153,7,16,20180606,Anna_Sloan
154,7,18,20180613,Anna_Sloan
155,7,19,20180620,Anna_Sloan
156,7,16,20180627,Anna_Sloan
157,7,20,20180704,Anna_Sloan
158,7,34,20180711,Anna_Sloan
159,7,29,20180718,Anna_Sloan
160,7,24,20180725,Anna_Sloan
161,7,18,20180801,Anna_Sloan
162,7,12,20180808,Anna_Sloan
163,7,25,20180815,Anna_Sloan
164,7,19,20180822,Anna_Sloan
165,7,17,20180829,Anna_Sloan
166,7,18,20180905,Anna_Sloan
167,7,23,20180912,Anna_Sloan
