bin,binSize,median,article
0,7,5,Barry_Barish
1,7,5,Barry_Barish
2,7,4,Barry_Barish
3,7,8,Barry_Barish
4,7,4,Barry_Barish
5,7,5,Barry_Barish
6,7,3,Barry_Barish
7,7,4,Barry_Barish
8,7,4,Barry_Barish
9,7,2,Barry_Barish
10,7,3,Barry_Barish
11,7,6,Barry_Barish
12,7,4,Barry_Barish
13,7,4,Barry_Barish
14,7,2,Barry_Barish
15,7,3,Barry_Barish
16,7,8,Barry_Barish
17,7,6,Barry_Barish
18,7,7,Barry_Barish
19,7,3,Barry_Barish
20,7,1,Barry_Barish
21,7,5,Barry_Barish
22,7,3,Barry_Barish
23,7,4,Barry_Barish
24,7,3,Barry_Barish
25,7,3,Barry_Barish
26,7,2,Barry_Barish
27,7,3,Barry_Barish
28,7,7,Barry_Barish
29,7,4,Barry_Barish
30,7,4,Barry_Barish
31,7,8,Barry_Barish
32,7,79,Barry_Barish
33,7,31,Barry_Barish
34,7,33,Barry_Barish
35,7,36,Barry_Barish
36,7,21,Barry_Barish
37,7,20,Barry_Barish
38,7,16,Barry_Barish
39,7,14,Barry_Barish
40,7,19,Barry_Barish
41,7,16,Barry_Barish
42,7,17,Barry_Barish
43,7,12,Barry_Barish
44,7,13,Barry_Barish
45,7,52,Barry_Barish
46,7,24,Barry_Barish
47,7,18,Barry_Barish
48,7,20,Barry_Barish
49,7,21,Barry_Barish
50,7,36,Barry_Barish
51,7,25,Barry_Barish
52,7,18,Barry_Barish
53,7,18,Barry_Barish
54,7,19,Barry_Barish
55,7,15,Barry_Barish
56,7,19,Barry_Barish
57,7,18,Barry_Barish
58,7,15,Barry_Barish
59,7,18,Barry_Barish
60,7,29,Barry_Barish
61,7,18,Barry_Barish
62,7,21,Barry_Barish
63,7,19,Barry_Barish
64,7,17,Barry_Barish
65,7,101,Barry_Barish
66,7,34,Barry_Barish
67,7,26,Barry_Barish
68,7,18,Barry_Barish
69,7,20,Barry_Barish
70,7,37,Barry_Barish
71,7,16,Barry_Barish
72,7,18,Barry_Barish
73,7,13,Barry_Barish
74,7,19,Barry_Barish
75,7,17,Barry_Barish
76,7,10,Barry_Barish
77,7,11,Barry_Barish
78,7,12,Barry_Barish
79,7,20,Barry_Barish
80,7,14,Barry_Barish
81,7,11,Barry_Barish
82,7,13,Barry_Barish
83,7,12,Barry_Barish
84,7,14,Barry_Barish
85,7,11,Barry_Barish
86,7,19,Barry_Barish
87,7,17,Barry_Barish
88,7,27,Barry_Barish
89,7,77,Barry_Barish
90,7,15,Barry_Barish
91,7,13,Barry_Barish
92,7,35,Barry_Barish
93,7,18,Barry_Barish
94,7,49,Barry_Barish
95,7,19,Barry_Barish
96,7,41,Barry_Barish
97,7,15,Barry_Barish
98,7,12,Barry_Barish
99,7,11,Barry_Barish
100,7,18,Barry_Barish
101,7,15,Barry_Barish
102,7,31,Barry_Barish
103,7,13,Barry_Barish
104,7,32,Barry_Barish
105,7,24,Barry_Barish
106,7,25,Barry_Barish
107,7,15,Barry_Barish
108,7,10,Barry_Barish
109,7,12,Barry_Barish
110,7,11,Barry_Barish
111,7,15,Barry_Barish
112,7,21,Barry_Barish
113,7,19,Barry_Barish
114,7,17,Barry_Barish
115,7,15,Barry_Barish
116,7,28,Barry_Barish
117,7,51,Barry_Barish
118,7,1804,Barry_Barish
119,7,762,Barry_Barish
120,7,563,Barry_Barish
121,7,339,Barry_Barish
122,7,298,Barry_Barish
123,7,292,Barry_Barish
124,7,319,Barry_Barish
125,7,241,Barry_Barish
126,7,253,Barry_Barish
127,7,276,Barry_Barish
128,7,282,Barry_Barish
129,7,183,Barry_Barish
130,7,192,Barry_Barish
131,7,176,Barry_Barish
132,7,227,Barry_Barish
133,7,286,Barry_Barish
134,7,256,Barry_Barish
135,7,171,Barry_Barish
136,7,165,Barry_Barish
137,7,153,Barry_Barish
138,7,186,Barry_Barish
139,7,168,Barry_Barish
140,7,165,Barry_Barish
141,7,186,Barry_Barish
142,7,137,Barry_Barish
143,7,158,Barry_Barish
144,7,127,Barry_Barish
145,7,153,Barry_Barish
146,7,131,Barry_Barish
147,7,130,Barry_Barish
148,7,149,Barry_Barish
149,7,166,Barry_Barish
150,7,157,Barry_Barish
151,7,135,Barry_Barish
152,7,150,Barry_Barish
153,7,147,Barry_Barish
154,7,145,Barry_Barish
155,7,135,Barry_Barish
156,7,156,Barry_Barish
157,7,136,Barry_Barish
158,7,112,Barry_Barish
159,7,112,Barry_Barish
160,7,143,Barry_Barish
161,7,147,Barry_Barish
162,7,113,Barry_Barish
163,7,120,Barry_Barish
164,7,117,Barry_Barish
165,7,146,Barry_Barish
166,7,147,Barry_Barish
167,7,125.5,Barry_Barish
