bin,binSize,median,timestamp,article
0,7,349.0465083771937,20150701,Bong_Joon-ho
1,7,371.3301361354012,20150708,Bong_Joon-ho
2,7,414.3348035630216,20150715,Bong_Joon-ho
3,7,407.68738149575495,20150722,Bong_Joon-ho
4,7,355.4834915053727,20150729,Bong_Joon-ho
5,7,331.7666934710956,20150805,Bong_Joon-ho
6,7,397.2523154577415,20150812,Bong_Joon-ho
7,7,393.2740898567631,20150819,Bong_Joon-ho
8,7,344.6380135954869,20150826,Bong_Joon-ho
9,7,362.28915885722586,20150902,Bong_Joon-ho
10,7,336.4219335625898,20150909,Bong_Joon-ho
11,7,323.1967117976313,20150916,Bong_Joon-ho
12,7,317.297169011431,20150923,Bong_Joon-ho
13,7,381.4483419369087,20150930,Bong_Joon-ho
14,7,385.144940744533,20151007,Bong_Joon-ho
15,7,319.3137479206228,20151014,Bong_Joon-ho
16,7,319.1998859146825,20151021,Bong_Joon-ho
17,7,319.10662881213847,20151028,Bong_Joon-ho
18,7,324.00014250554875,20151103,Bong_Joon-ho
19,7,459.90750174674196,20151110,Bong_Joon-ho
20,7,322.280046165567,20151117,Bong_Joon-ho
21,7,359.5981049229145,20151124,Bong_Joon-ho
22,7,331.66786398946493,20151201,Bong_Joon-ho
23,7,309.9801972780719,20151208,Bong_Joon-ho
24,7,320.94610258099686,20151215,Bong_Joon-ho
25,7,362.78072121472206,20151222,Bong_Joon-ho
26,7,803.9683733069633,20151229,Bong_Joon-ho
27,7,502.71258770843815,20160105,Bong_Joon-ho
28,7,552.1023444836416,20160112,Bong_Joon-ho
29,7,442.46090423454297,20160119,Bong_Joon-ho
30,7,359.06289850976464,20160126,Bong_Joon-ho
31,7,352.147890347834,20160202,Bong_Joon-ho
32,7,372.94928996243146,20160209,Bong_Joon-ho
33,7,332.89398110984723,20160216,Bong_Joon-ho
34,7,353.69659822830874,20160223,Bong_Joon-ho
35,7,355.91776383375816,20160301,Bong_Joon-ho
36,7,348.2196946985167,20160308,Bong_Joon-ho
37,7,359.4428485078696,20160316,Bong_Joon-ho
38,7,414.82061084455825,20160323,Bong_Joon-ho
39,7,355.76948022733586,20160330,Bong_Joon-ho
40,7,368.74851228702846,20160406,Bong_Joon-ho
41,7,407.8786366302927,20160413,Bong_Joon-ho
42,7,519.2921125369944,20160420,Bong_Joon-ho
43,7,594.0916506359279,20160427,Bong_Joon-ho
44,7,482.3855015740257,20160504,Bong_Joon-ho
45,7,508.08699700085117,20160511,Bong_Joon-ho
46,7,464.9500506020162,20160518,Bong_Joon-ho
47,7,409.34359784693316,20160525,Bong_Joon-ho
48,7,407.1206998412531,20160601,Bong_Joon-ho
49,7,398.3993016278788,20160608,Bong_Joon-ho
50,7,373.0980174864363,20160615,Bong_Joon-ho
51,7,365.9094773885326,20160622,Bong_Joon-ho
52,7,406.9482602313369,20160629,Bong_Joon-ho
53,7,408.8465589546829,20160706,Bong_Joon-ho
54,7,571.6468931469466,20160713,Bong_Joon-ho
55,7,433.26699914511926,20160720,Bong_Joon-ho
56,7,376.8282659797546,20160727,Bong_Joon-ho
57,7,344.2906813790926,20160803,Bong_Joon-ho
58,7,346.0757158652581,20160810,Bong_Joon-ho
59,7,481.34082193039535,20160817,Bong_Joon-ho
60,7,462.7251920957975,20160824,Bong_Joon-ho
61,7,437.639626275286,20160831,Bong_Joon-ho
62,7,488.0513098586797,20160907,Bong_Joon-ho
63,7,506.79531461259035,20160914,Bong_Joon-ho
64,7,468.1281233251431,20160921,Bong_Joon-ho
65,7,393.5221462045572,20160928,Bong_Joon-ho
66,7,415.4272738754694,20161005,Bong_Joon-ho
67,7,367.7124243881907,20161012,Bong_Joon-ho
68,7,503.1799122660407,20161019,Bong_Joon-ho
69,7,592.8769289957756,20161026,Bong_Joon-ho
70,7,482.39822115241384,20161102,Bong_Joon-ho
71,7,411.5093305814843,20161108,Bong_Joon-ho
72,7,417.34911412913516,20161115,Bong_Joon-ho
73,7,434.8576543807833,20161122,Bong_Joon-ho
74,7,423.0023443837168,20161129,Bong_Joon-ho
75,7,403.14366509169315,20161206,Bong_Joon-ho
76,7,491.9340172310083,20161213,Bong_Joon-ho
77,7,471.23954975744994,20161220,Bong_Joon-ho
78,7,533.9375487056379,20161227,Bong_Joon-ho
79,7,527.6965784160654,20170103,Bong_Joon-ho
80,7,425.2056964370628,20170110,Bong_Joon-ho
81,7,419.0060161647152,20170117,Bong_Joon-ho
82,7,378.59918588574743,20170124,Bong_Joon-ho
83,7,396.19246685195805,20170131,Bong_Joon-ho
84,7,405.4775397587508,20170207,Bong_Joon-ho
85,7,413.694732749313,20170214,Bong_Joon-ho
86,7,408.53478696972286,20170221,Bong_Joon-ho
87,7,604.9336263206051,20170228,Bong_Joon-ho
88,7,437.96022686686325,20170307,Bong_Joon-ho
89,7,423.9822291323987,20170315,Bong_Joon-ho
90,7,487.3961980918808,20170322,Bong_Joon-ho
91,7,431.4851317655516,20170329,Bong_Joon-ho
92,7,410.2655648952815,20170405,Bong_Joon-ho
93,7,540.346487834296,20170412,Bong_Joon-ho
94,7,443.14288874321346,20170419,Bong_Joon-ho
95,7,462.8441651037023,20170426,Bong_Joon-ho
