bin,binSize,median,article
0,7,376,Chaim_Topol
1,7,464,Chaim_Topol
2,7,398,Chaim_Topol
3,7,934,Chaim_Topol
4,7,510,Chaim_Topol
5,7,638,Chaim_Topol
6,7,468,Chaim_Topol
7,7,461,Chaim_Topol
8,7,461,Chaim_Topol
9,7,471,Chaim_Topol
10,7,514,Chaim_Topol
11,7,427,Chaim_Topol
12,7,401,Chaim_Topol
13,7,374,Chaim_Topol
14,7,365,Chaim_Topol
15,7,396,Chaim_Topol
16,7,493,Chaim_Topol
17,7,621,Chaim_Topol
18,7,534,Chaim_Topol
19,7,458,Chaim_Topol
20,7,530,Chaim_Topol
21,7,818,Chaim_Topol
22,7,780,Chaim_Topol
23,7,848,Chaim_Topol
24,7,593,Chaim_Topol
25,7,816,Chaim_Topol
26,7,694,Chaim_Topol
27,7,683,Chaim_Topol
28,7,792,Chaim_Topol
29,7,836,Chaim_Topol
30,7,588,Chaim_Topol
31,7,504,Chaim_Topol
32,7,588,Chaim_Topol
33,7,739,Chaim_Topol
34,7,491,Chaim_Topol
35,7,564,Chaim_Topol
36,7,620,Chaim_Topol
37,7,805,Chaim_Topol
38,7,772,Chaim_Topol
39,7,607,Chaim_Topol
40,7,501,Chaim_Topol
41,7,598,Chaim_Topol
42,7,577,Chaim_Topol
43,7,792,Chaim_Topol
44,7,535,Chaim_Topol
45,7,464,Chaim_Topol
46,7,451,Chaim_Topol
47,7,1046,Chaim_Topol
48,7,489,Chaim_Topol
49,7,506,Chaim_Topol
50,7,533,Chaim_Topol
51,7,531,Chaim_Topol
52,7,580,Chaim_Topol
53,7,570,Chaim_Topol
54,7,502,Chaim_Topol
55,7,440,Chaim_Topol
56,7,722,Chaim_Topol
57,7,455,Chaim_Topol
58,7,505,Chaim_Topol
59,7,493,Chaim_Topol
60,7,889,Chaim_Topol
61,7,584,Chaim_Topol
62,7,525,Chaim_Topol
63,7,483,Chaim_Topol
64,7,477,Chaim_Topol
65,7,442,Chaim_Topol
66,7,442,Chaim_Topol
67,7,397,Chaim_Topol
68,7,472,Chaim_Topol
69,7,414,Chaim_Topol
70,7,614,Chaim_Topol
71,7,444,Chaim_Topol
72,7,446,Chaim_Topol
73,7,596,Chaim_Topol
74,7,522,Chaim_Topol
75,7,667,Chaim_Topol
76,7,564,Chaim_Topol
77,7,934,Chaim_Topol
78,7,1095,Chaim_Topol
79,7,671,Chaim_Topol
80,7,686,Chaim_Topol
81,7,690,Chaim_Topol
82,7,578,Chaim_Topol
83,7,505,Chaim_Topol
84,7,530,Chaim_Topol
85,7,602,Chaim_Topol
86,7,609,Chaim_Topol
87,7,558,Chaim_Topol
88,7,589,Chaim_Topol
89,7,519,Chaim_Topol
90,7,537,Chaim_Topol
91,7,590,Chaim_Topol
92,7,493,Chaim_Topol
93,7,505,Chaim_Topol
94,7,455,Chaim_Topol
95,7,626,Chaim_Topol
96,7,473,Chaim_Topol
97,7,440,Chaim_Topol
98,7,477,Chaim_Topol
99,7,700,Chaim_Topol
100,7,560,Chaim_Topol
101,7,508,Chaim_Topol
102,7,442,Chaim_Topol
103,7,456,Chaim_Topol
104,7,478,Chaim_Topol
105,7,446,Chaim_Topol
106,7,512,Chaim_Topol
107,7,584,Chaim_Topol
108,7,521,Chaim_Topol
109,7,589,Chaim_Topol
110,7,505,Chaim_Topol
111,7,461,Chaim_Topol
112,7,467,Chaim_Topol
113,7,434,Chaim_Topol
114,7,514,Chaim_Topol
115,7,445,Chaim_Topol
116,7,456,Chaim_Topol
117,7,507,Chaim_Topol
118,7,513,Chaim_Topol
119,7,490,Chaim_Topol
120,7,715,Chaim_Topol
121,7,485,Chaim_Topol
122,7,522,Chaim_Topol
123,7,730,Chaim_Topol
124,7,488,Chaim_Topol
125,7,672,Chaim_Topol
126,7,568,Chaim_Topol
127,7,500,Chaim_Topol
128,7,868,Chaim_Topol
129,7,622,Chaim_Topol
130,7,1295,Chaim_Topol
131,7,691,Chaim_Topol
132,7,555,Chaim_Topol
133,7,833,Chaim_Topol
134,7,1116,Chaim_Topol
135,7,772,Chaim_Topol
136,7,632,Chaim_Topol
137,7,531,Chaim_Topol
138,7,549,Chaim_Topol
139,7,588,Chaim_Topol
140,7,559,Chaim_Topol
141,7,501,Chaim_Topol
142,7,561,Chaim_Topol
143,7,608,Chaim_Topol
144,7,536,Chaim_Topol
145,7,468,Chaim_Topol
146,7,466,Chaim_Topol
147,7,565,Chaim_Topol
148,7,674,Chaim_Topol
149,7,508,Chaim_Topol
150,7,449,Chaim_Topol
151,7,471,Chaim_Topol
152,7,454,Chaim_Topol
153,7,441,Chaim_Topol
154,7,522,Chaim_Topol
155,7,507,Chaim_Topol
156,7,729,Chaim_Topol
157,7,569,Chaim_Topol
158,7,570,Chaim_Topol
159,7,555,Chaim_Topol
160,7,596,Chaim_Topol
161,7,568,Chaim_Topol
162,7,582,Chaim_Topol
163,7,593,Chaim_Topol
164,7,604,Chaim_Topol
165,7,923,Chaim_Topol
166,7,887,Chaim_Topol
167,7,831,Chaim_Topol
