bin,binSize,median,article
0,7,569,Charlamagne_tha_God
1,7,823,Charlamagne_tha_God
2,7,714,Charlamagne_tha_God
3,7,733,Charlamagne_tha_God
4,7,855,Charlamagne_tha_God
5,7,1199,Charlamagne_tha_God
6,7,5910,Charlamagne_tha_God
7,7,4253,Charlamagne_tha_God
8,7,1813,Charlamagne_tha_God
9,7,1955,Charlamagne_tha_God
10,7,1623,Charlamagne_tha_God
11,7,1433,Charlamagne_tha_God
12,7,1415,Charlamagne_tha_God
13,7,1544,Charlamagne_tha_God
14,7,1536,Charlamagne_tha_God
15,7,2472,Charlamagne_tha_God
16,7,1896,Charlamagne_tha_God
17,7,1375,Charlamagne_tha_God
18,7,1261,Charlamagne_tha_God
19,7,1500,Charlamagne_tha_God
20,7,1525,Charlamagne_tha_God
21,7,1966,Charlamagne_tha_God
22,7,1283,Charlamagne_tha_God
23,7,1130,Charlamagne_tha_God
24,7,1125,Charlamagne_tha_God
25,7,1056,Charlamagne_tha_God
26,7,840,Charlamagne_tha_God
27,7,854,Charlamagne_tha_God
28,7,1094,Charlamagne_tha_God
29,7,1230,Charlamagne_tha_God
30,7,1064,Charlamagne_tha_God
31,7,985,Charlamagne_tha_God
32,7,953,Charlamagne_tha_God
33,7,1138,Charlamagne_tha_God
34,7,1322,Charlamagne_tha_God
35,7,1152,Charlamagne_tha_God
36,7,1117,Charlamagne_tha_God
37,7,929,Charlamagne_tha_God
38,7,1020,Charlamagne_tha_God
39,7,916,Charlamagne_tha_God
40,7,1325,Charlamagne_tha_God
41,7,1263,Charlamagne_tha_God
42,7,1586,Charlamagne_tha_God
43,7,1257,Charlamagne_tha_God
44,7,1180,Charlamagne_tha_God
45,7,986,Charlamagne_tha_God
46,7,1319,Charlamagne_tha_God
47,7,1733,Charlamagne_tha_God
48,7,1088,Charlamagne_tha_God
49,7,1155,Charlamagne_tha_God
50,7,2365,Charlamagne_tha_God
51,7,2448,Charlamagne_tha_God
52,7,1593,Charlamagne_tha_God
53,7,2433,Charlamagne_tha_God
54,7,3487,Charlamagne_tha_God
55,7,2524,Charlamagne_tha_God
56,7,1546,Charlamagne_tha_God
57,7,1296,Charlamagne_tha_God
58,7,2177,Charlamagne_tha_God
59,7,1868,Charlamagne_tha_God
60,7,4451,Charlamagne_tha_God
61,7,2226,Charlamagne_tha_God
62,7,1608,Charlamagne_tha_God
63,7,1493,Charlamagne_tha_God
64,7,2506,Charlamagne_tha_God
65,7,1767,Charlamagne_tha_God
66,7,1349,Charlamagne_tha_God
67,7,1380,Charlamagne_tha_God
68,7,1684,Charlamagne_tha_God
69,7,1034,Charlamagne_tha_God
70,7,3069,Charlamagne_tha_God
71,7,2276,Charlamagne_tha_God
72,7,2609,Charlamagne_tha_God
73,7,1623,Charlamagne_tha_God
74,7,1265,Charlamagne_tha_God
75,7,1022,Charlamagne_tha_God
76,7,1038,Charlamagne_tha_God
77,7,1822,Charlamagne_tha_God
78,7,2691,Charlamagne_tha_God
79,7,2167,Charlamagne_tha_God
