bin,binSize,median,article
0,7,65,Dacre_Montgomery
1,7,49,Dacre_Montgomery
2,7,43,Dacre_Montgomery
3,7,208,Dacre_Montgomery
4,7,197,Dacre_Montgomery
5,7,184,Dacre_Montgomery
6,7,219,Dacre_Montgomery
7,7,235,Dacre_Montgomery
8,7,241,Dacre_Montgomery
9,7,220,Dacre_Montgomery
10,7,222,Dacre_Montgomery
11,7,321,Dacre_Montgomery
12,7,330,Dacre_Montgomery
13,7,310,Dacre_Montgomery
14,7,278,Dacre_Montgomery
15,7,983,Dacre_Montgomery
16,7,783,Dacre_Montgomery
17,7,880,Dacre_Montgomery
18,7,938,Dacre_Montgomery
19,7,778,Dacre_Montgomery
20,7,675,Dacre_Montgomery
21,7,681,Dacre_Montgomery
22,7,1201,Dacre_Montgomery
23,7,1251,Dacre_Montgomery
24,7,925,Dacre_Montgomery
25,7,1852,Dacre_Montgomery
26,7,815,Dacre_Montgomery
27,7,857,Dacre_Montgomery
28,7,814,Dacre_Montgomery
29,7,861,Dacre_Montgomery
30,7,715,Dacre_Montgomery
31,7,847,Dacre_Montgomery
32,7,1344,Dacre_Montgomery
33,7,1284,Dacre_Montgomery
34,7,1026,Dacre_Montgomery
35,7,1830,Dacre_Montgomery
36,7,1365,Dacre_Montgomery
37,7,948,Dacre_Montgomery
38,7,730,Dacre_Montgomery
39,7,713,Dacre_Montgomery
40,7,733,Dacre_Montgomery
41,7,665,Dacre_Montgomery
42,7,633,Dacre_Montgomery
43,7,571,Dacre_Montgomery
44,7,717,Dacre_Montgomery
45,7,726,Dacre_Montgomery
46,7,659,Dacre_Montgomery
47,7,5652,Dacre_Montgomery
48,7,1904,Dacre_Montgomery
49,7,1209,Dacre_Montgomery
50,7,1356,Dacre_Montgomery
51,7,1422,Dacre_Montgomery
52,7,1206,Dacre_Montgomery
53,7,1073,Dacre_Montgomery
54,7,1120,Dacre_Montgomery
55,7,963,Dacre_Montgomery
56,7,1036,Dacre_Montgomery
57,7,1256,Dacre_Montgomery
58,7,1358,Dacre_Montgomery
59,7,1548,Dacre_Montgomery
60,7,1570,Dacre_Montgomery
61,7,1604,Dacre_Montgomery
62,7,2070,Dacre_Montgomery
63,7,1481,Dacre_Montgomery
64,7,1763,Dacre_Montgomery
65,7,1526,Dacre_Montgomery
66,7,1772,Dacre_Montgomery
67,7,1951,Dacre_Montgomery
68,7,2752,Dacre_Montgomery
69,7,4116,Dacre_Montgomery
70,7,10298,Dacre_Montgomery
71,7,11886,Dacre_Montgomery
72,7,5051,Dacre_Montgomery
73,7,2947,Dacre_Montgomery
74,7,1832,Dacre_Montgomery
75,7,1217,Dacre_Montgomery
76,7,909,Dacre_Montgomery
77,7,807,Dacre_Montgomery
78,7,844,Dacre_Montgomery
79,7,627,Dacre_Montgomery
80,7,693,Dacre_Montgomery
81,7,613,Dacre_Montgomery
82,7,3282,Dacre_Montgomery
83,7,3402,Dacre_Montgomery
84,7,3129,Dacre_Montgomery
85,7,2868,Dacre_Montgomery
86,7,1962,Dacre_Montgomery
87,7,1715,Dacre_Montgomery
88,7,1867,Dacre_Montgomery
89,7,1719,Dacre_Montgomery
90,7,1354,Dacre_Montgomery
91,7,1143,Dacre_Montgomery
92,7,1154,Dacre_Montgomery
93,7,1032,Dacre_Montgomery
94,7,945,Dacre_Montgomery
95,7,1096,Dacre_Montgomery
96,7,1177,Dacre_Montgomery
97,7,941,Dacre_Montgomery
98,7,1045,Dacre_Montgomery
99,7,1312,Dacre_Montgomery
100,7,1682,Dacre_Montgomery
101,7,2392,Dacre_Montgomery
102,7,61369,Dacre_Montgomery
103,7,40326,Dacre_Montgomery
104,7,21270,Dacre_Montgomery
105,7,15643,Dacre_Montgomery
106,7,10113,Dacre_Montgomery
107,7,7387,Dacre_Montgomery
108,7,6049,Dacre_Montgomery
109,7,4832,Dacre_Montgomery
110,7,5499,Dacre_Montgomery
111,7,6519,Dacre_Montgomery
112,7,6421,Dacre_Montgomery
113,7,4358,Dacre_Montgomery
114,7,4142,Dacre_Montgomery
115,7,2777,Dacre_Montgomery
116,7,2337,Dacre_Montgomery
117,7,1979,Dacre_Montgomery
118,7,2292,Dacre_Montgomery
119,7,1800,Dacre_Montgomery
120,7,2105,Dacre_Montgomery
121,7,2087,Dacre_Montgomery
122,7,2218,Dacre_Montgomery
123,7,2106,Dacre_Montgomery
124,7,2009,Dacre_Montgomery
125,7,1767,Dacre_Montgomery
126,7,1605,Dacre_Montgomery
127,7,1474,Dacre_Montgomery
128,7,1443,Dacre_Montgomery
129,7,1211,Dacre_Montgomery
130,7,1460,Dacre_Montgomery
131,7,1304,Dacre_Montgomery
132,7,1504,Dacre_Montgomery
133,7,1295,Dacre_Montgomery
134,7,1268,Dacre_Montgomery
135,7,1641,Dacre_Montgomery
136,7,1341,Dacre_Montgomery
137,7,1309,Dacre_Montgomery
138,7,1325,Dacre_Montgomery
139,7,1674,Dacre_Montgomery
140,7,1467,Dacre_Montgomery
141,7,1429,Dacre_Montgomery
142,7,1386,Dacre_Montgomery
143,7,1442,Dacre_Montgomery
144,7,1314,Dacre_Montgomery
145,7,1317,Dacre_Montgomery
146,7,1075,Dacre_Montgomery
147,7,1154,Dacre_Montgomery
