bin,binSize,median,timestamp,article
0,7,79,20150701,Daliah_Lavi
1,7,87,20150708,Daliah_Lavi
2,7,103,20150715,Daliah_Lavi
3,7,115,20150722,Daliah_Lavi
4,7,99,20150729,Daliah_Lavi
5,7,90,20150805,Daliah_Lavi
6,7,106,20150812,Daliah_Lavi
7,7,105,20150819,Daliah_Lavi
8,7,92,20150826,Daliah_Lavi
9,7,156,20150902,Daliah_Lavi
10,7,125,20150909,Daliah_Lavi
11,7,292,20150916,Daliah_Lavi
12,7,93,20150923,Daliah_Lavi
13,7,83,20150930,Daliah_Lavi
14,7,126,20151007,Daliah_Lavi
15,7,96,20151014,Daliah_Lavi
16,7,101,20151021,Daliah_Lavi
17,7,185,20151028,Daliah_Lavi
18,7,157,20151103,Daliah_Lavi
19,7,103,20151110,Daliah_Lavi
20,7,89,20151117,Daliah_Lavi
21,7,99,20151124,Daliah_Lavi
22,7,119,20151201,Daliah_Lavi
23,7,132,20151208,Daliah_Lavi
24,7,91,20151215,Daliah_Lavi
25,7,95,20151222,Daliah_Lavi
26,7,133,20151229,Daliah_Lavi
27,7,101,20160105,Daliah_Lavi
28,7,123,20160112,Daliah_Lavi
29,7,112,20160119,Daliah_Lavi
30,7,97,20160126,Daliah_Lavi
31,7,82,20160202,Daliah_Lavi
32,7,85,20160209,Daliah_Lavi
33,7,81,20160216,Daliah_Lavi
34,7,92,20160223,Daliah_Lavi
35,7,84,20160301,Daliah_Lavi
36,7,96,20160308,Daliah_Lavi
37,7,104,20160316,Daliah_Lavi
38,7,104,20160323,Daliah_Lavi
39,7,176,20160330,Daliah_Lavi
40,7,109,20160406,Daliah_Lavi
41,7,125,20160413,Daliah_Lavi
42,7,149,20160420,Daliah_Lavi
43,7,108,20160427,Daliah_Lavi
44,7,82,20160504,Daliah_Lavi
45,7,82,20160511,Daliah_Lavi
46,7,167,20160518,Daliah_Lavi
47,7,109,20160525,Daliah_Lavi
48,7,85,20160601,Daliah_Lavi
49,7,86,20160608,Daliah_Lavi
50,7,111,20160615,Daliah_Lavi
51,7,80,20160622,Daliah_Lavi
52,7,99,20160629,Daliah_Lavi
53,7,100,20160706,Daliah_Lavi
54,7,83,20160713,Daliah_Lavi
55,7,85,20160720,Daliah_Lavi
56,7,98,20160727,Daliah_Lavi
57,7,79,20160803,Daliah_Lavi
58,7,122,20160810,Daliah_Lavi
59,7,107,20160817,Daliah_Lavi
60,7,108,20160824,Daliah_Lavi
61,7,223,20160831,Daliah_Lavi
62,7,127,20160907,Daliah_Lavi
63,7,104,20160914,Daliah_Lavi
64,7,128,20160921,Daliah_Lavi
65,7,91,20160928,Daliah_Lavi
66,7,87,20161005,Daliah_Lavi
67,7,112,20161012,Daliah_Lavi
68,7,79,20161019,Daliah_Lavi
69,7,90,20161026,Daliah_Lavi
70,7,98,20161102,Daliah_Lavi
71,7,85,20161108,Daliah_Lavi
72,7,100,20161115,Daliah_Lavi
73,7,124,20161122,Daliah_Lavi
74,7,83,20161129,Daliah_Lavi
75,7,104,20161206,Daliah_Lavi
76,7,96,20161213,Daliah_Lavi
77,7,96,20161220,Daliah_Lavi
78,7,129,20161227,Daliah_Lavi
79,7,113,20170103,Daliah_Lavi
80,7,108,20170110,Daliah_Lavi
81,7,85,20170117,Daliah_Lavi
82,7,101,20170124,Daliah_Lavi
83,7,100,20170131,Daliah_Lavi
84,7,88,20170207,Daliah_Lavi
85,7,99,20170214,Daliah_Lavi
86,7,92,20170221,Daliah_Lavi
87,7,132,20170228,Daliah_Lavi
88,7,100,20170307,Daliah_Lavi
89,7,95,20170315,Daliah_Lavi
90,7,131,20170322,Daliah_Lavi
91,7,85,20170329,Daliah_Lavi
92,7,96,20170405,Daliah_Lavi
93,7,91,20170412,Daliah_Lavi
94,7,90,20170419,Daliah_Lavi
95,7,93,20170426,Daliah_Lavi
96,7,2629,20170503,Daliah_Lavi
97,7,931,20170510,Daliah_Lavi
98,7,503,20170517,Daliah_Lavi
99,7,345,20170524,Daliah_Lavi
100,7,270,20170531,Daliah_Lavi
101,7,167,20170607,Daliah_Lavi
102,7,139,20170614,Daliah_Lavi
103,7,140,20170621,Daliah_Lavi
104,7,157,20170628,Daliah_Lavi
105,7,129,20170705,Daliah_Lavi
106,7,161,20170712,Daliah_Lavi
107,7,133,20170719,Daliah_Lavi
108,7,130,20170726,Daliah_Lavi
109,7,142,20170802,Daliah_Lavi
110,7,198,20170809,Daliah_Lavi
111,7,131,20170816,Daliah_Lavi
112,7,132,20170823,Daliah_Lavi
113,7,129,20170830,Daliah_Lavi
114,7,107,20170906,Daliah_Lavi
115,7,109,20170913,Daliah_Lavi
116,7,113,20170920,Daliah_Lavi
117,7,104,20170927,Daliah_Lavi
118,7,137,20171004,Daliah_Lavi
119,7,153,20171011,Daliah_Lavi
120,7,109,20171018,Daliah_Lavi
121,7,123,20171025,Daliah_Lavi
122,7,154,20171101,Daliah_Lavi
123,7,109,20171107,Daliah_Lavi
124,7,108,20171114,Daliah_Lavi
125,7,115,20171121,Daliah_Lavi
126,7,115,20171128,Daliah_Lavi
127,7,123,20171205,Daliah_Lavi
128,7,192,20171212,Daliah_Lavi
129,7,270,20171219,Daliah_Lavi
130,7,377,20171226,Daliah_Lavi
131,7,183,20180102,Daliah_Lavi
132,7,222,20180109,Daliah_Lavi
133,7,167,20180116,Daliah_Lavi
134,7,139,20180123,Daliah_Lavi
135,7,114,20180130,Daliah_Lavi
136,7,141,20180206,Daliah_Lavi
137,7,169,20180213,Daliah_Lavi
138,7,149,20180220,Daliah_Lavi
139,7,134,20180227,Daliah_Lavi
140,7,148,20180306,Daliah_Lavi
141,7,127,20180314,Daliah_Lavi
142,7,135,20180321,Daliah_Lavi
143,7,128,20180328,Daliah_Lavi
144,7,168,20180404,Daliah_Lavi
145,7,126,20180411,Daliah_Lavi
146,7,146,20180418,Daliah_Lavi
147,7,139,20180425,Daliah_Lavi
148,7,157,20180502,Daliah_Lavi
149,7,149,20180509,Daliah_Lavi
150,7,135,20180516,Daliah_Lavi
151,7,123,20180523,Daliah_Lavi
152,7,119,20180530,Daliah_Lavi
153,7,118,20180606,Daliah_Lavi
154,7,107,20180613,Daliah_Lavi
155,7,118,20180620,Daliah_Lavi
156,7,113,20180627,Daliah_Lavi
157,7,112,20180704,Daliah_Lavi
158,7,116,20180711,Daliah_Lavi
159,7,108,20180718,Daliah_Lavi
160,7,134,20180725,Daliah_Lavi
161,7,167,20180801,Daliah_Lavi
162,7,112,20180808,Daliah_Lavi
163,7,105,20180815,Daliah_Lavi
164,7,140,20180822,Daliah_Lavi
165,7,122,20180829,Daliah_Lavi
166,7,101,20180905,Daliah_Lavi
167,7,125.5,20180912,Daliah_Lavi
