bin,binSize,median,timestamp,article
0,7,11,20160215,DeAndre_Ayton
1,7,10,20160222,DeAndre_Ayton
2,7,4,20160229,DeAndre_Ayton
3,7,5,20160307,DeAndre_Ayton
4,7,15,20160314,DeAndre_Ayton
5,7,21,20160321,DeAndre_Ayton
6,7,26,20160328,DeAndre_Ayton
7,7,37,20160404,DeAndre_Ayton
8,7,34,20160411,DeAndre_Ayton
9,7,25,20160418,DeAndre_Ayton
10,7,19,20160425,DeAndre_Ayton
11,7,11,20160502,DeAndre_Ayton
12,7,16,20160509,DeAndre_Ayton
13,7,18,20160516,DeAndre_Ayton
14,7,16,20160523,DeAndre_Ayton
15,7,17,20160530,DeAndre_Ayton
16,7,25,20160606,DeAndre_Ayton
17,7,17,20160613,DeAndre_Ayton
18,7,59,20160620,DeAndre_Ayton
19,7,38,20160627,DeAndre_Ayton
20,7,44,20160704,DeAndre_Ayton
21,7,38,20160711,DeAndre_Ayton
22,7,22,20160718,DeAndre_Ayton
23,7,22,20160725,DeAndre_Ayton
24,7,27,20160801,DeAndre_Ayton
25,7,20,20160808,DeAndre_Ayton
26,7,21,20160815,DeAndre_Ayton
27,7,21,20160822,DeAndre_Ayton
28,7,13,20160829,DeAndre_Ayton
29,7,119,20160905,DeAndre_Ayton
30,7,45,20160912,DeAndre_Ayton
31,7,34,20160919,DeAndre_Ayton
32,7,29,20160926,DeAndre_Ayton
33,7,34,20161003,DeAndre_Ayton
34,7,31,20161010,DeAndre_Ayton
35,7,31,20161017,DeAndre_Ayton
36,7,37,20161024,DeAndre_Ayton
37,7,45,20161031,DeAndre_Ayton
38,7,51,20161107,DeAndre_Ayton
39,7,62,20161114,DeAndre_Ayton
40,7,56,20161121,DeAndre_Ayton
41,7,53,20161128,DeAndre_Ayton
42,7,49,20161205,DeAndre_Ayton
43,7,48,20161212,DeAndre_Ayton
44,7,58,20161219,DeAndre_Ayton
45,7,60,20161226,DeAndre_Ayton
46,7,81,20170102,DeAndre_Ayton
47,7,64,20170109,DeAndre_Ayton
48,7,106,20170116,DeAndre_Ayton
49,7,79,20170123,DeAndre_Ayton
50,7,98,20170130,DeAndre_Ayton
51,7,69,20170206,DeAndre_Ayton
52,7,78,20170213,DeAndre_Ayton
53,7,131,20170220,DeAndre_Ayton
54,7,97,20170227,DeAndre_Ayton
55,7,83,20170306,DeAndre_Ayton
56,7,116,20170313,DeAndre_Ayton
57,7,149,20170320,DeAndre_Ayton
58,7,231,20170327,DeAndre_Ayton
59,7,109,20170403,DeAndre_Ayton
60,7,118,20170410,DeAndre_Ayton
61,7,95,20170417,DeAndre_Ayton
62,7,63,20170424,DeAndre_Ayton
63,7,77,20170501,DeAndre_Ayton
64,7,67,20170508,DeAndre_Ayton
65,7,107,20170515,DeAndre_Ayton
66,7,105,20170522,DeAndre_Ayton
67,7,85,20170529,DeAndre_Ayton
68,7,83,20170605,DeAndre_Ayton
69,7,92,20170612,DeAndre_Ayton
70,7,186,20170619,DeAndre_Ayton
71,7,167,20170626,DeAndre_Ayton
72,7,155,20170703,DeAndre_Ayton
73,7,155,20170710,DeAndre_Ayton
74,7,135,20170717,DeAndre_Ayton
75,7,137,20170724,DeAndre_Ayton
76,7,142,20170731,DeAndre_Ayton
77,7,107,20170807,DeAndre_Ayton
78,7,167,20170814,DeAndre_Ayton
79,7,119,20170821,DeAndre_Ayton
80,7,92,20170828,DeAndre_Ayton
81,7,76,20170904,DeAndre_Ayton
82,7,83,20170911,DeAndre_Ayton
83,7,97,20170918,DeAndre_Ayton
84,7,138,20170925,DeAndre_Ayton
85,7,97,20171002,DeAndre_Ayton
86,7,89,20171009,DeAndre_Ayton
87,7,128,20171016,DeAndre_Ayton
88,7,171,20171023,DeAndre_Ayton
89,7,345,20171030,DeAndre_Ayton
90,7,509,20171106,DeAndre_Ayton
91,7,595,20171113,DeAndre_Ayton
92,7,800,20171120,DeAndre_Ayton
93,7,390,20171127,DeAndre_Ayton
94,7,455,20171204,DeAndre_Ayton
95,7,525,20171211,DeAndre_Ayton
96,7,453,20171218,DeAndre_Ayton
97,7,426,20171225,DeAndre_Ayton
98,7,738,20180101,DeAndre_Ayton
99,7,822,20180108,DeAndre_Ayton
100,7,852,20180115,DeAndre_Ayton
101,7,663,20180122,DeAndre_Ayton
102,7,1176,20180129,DeAndre_Ayton
103,7,800,20180205,DeAndre_Ayton
104,7,973,20180212,DeAndre_Ayton
105,7,1260,20180219,DeAndre_Ayton
106,7,3061,20180226,DeAndre_Ayton
107,7,2147,20180305,DeAndre_Ayton
108,7,1876,20180312,DeAndre_Ayton
109,7,46,20180319,DeAndre_Ayton
110,7,47,20180326,DeAndre_Ayton
111,7,32,20180402,DeAndre_Ayton
112,7,23,20180409,DeAndre_Ayton
113,7,20,20180416,DeAndre_Ayton
114,7,23,20180423,DeAndre_Ayton
115,7,21,20180430,DeAndre_Ayton
116,7,73,20180507,DeAndre_Ayton
117,7,249,20180514,DeAndre_Ayton
118,7,35,20180521,DeAndre_Ayton
119,7,36,20180528,DeAndre_Ayton
120,7,83,20180604,DeAndre_Ayton
121,7,79,20180611,DeAndre_Ayton
122,7,311,20180618,DeAndre_Ayton
123,7,121,20180625,DeAndre_Ayton
124,7,177,20180702,DeAndre_Ayton
125,7,126,20180709,DeAndre_Ayton
126,7,76,20180716,DeAndre_Ayton
127,7,47,20180723,DeAndre_Ayton
128,7,38,20180730,DeAndre_Ayton
129,7,36,20180806,DeAndre_Ayton
130,7,36,20180813,DeAndre_Ayton
131,7,46,20180820,DeAndre_Ayton
132,7,43,20180827,DeAndre_Ayton
133,7,30,20180903,DeAndre_Ayton
134,7,31,20180910,DeAndre_Ayton
