bin,binSize,median,timestamp,article
0,7,303.7239491310757,20150701,Franchot_Tone
1,7,249.921395894264,20150708,Franchot_Tone
2,7,275.79291364464433,20150715,Franchot_Tone
3,7,409.81492733769403,20150722,Franchot_Tone
4,7,393.8113405872095,20150729,Franchot_Tone
5,7,633.451637838495,20150805,Franchot_Tone
6,7,439.66556950459943,20150812,Franchot_Tone
7,7,319.1719896733054,20150819,Franchot_Tone
8,7,395.2621573039713,20150826,Franchot_Tone
9,7,330.8222979567553,20150902,Franchot_Tone
10,7,256.13013672615523,20150909,Franchot_Tone
11,7,261.1460383424397,20150916,Franchot_Tone
12,7,241.03977300439414,20150923,Franchot_Tone
13,7,260.43046695692504,20150930,Franchot_Tone
14,7,274.74436907148555,20151007,Franchot_Tone
15,7,279.7527526030235,20151014,Franchot_Tone
16,7,228.86856048143213,20151021,Franchot_Tone
17,7,226.8839142745048,20151028,Franchot_Tone
18,7,240.82398651904973,20151103,Franchot_Tone
19,7,418.89400848321355,20151110,Franchot_Tone
20,7,254.6165803576052,20151117,Franchot_Tone
21,7,261.1785262506293,20151124,Franchot_Tone
22,7,255.43070847480914,20151201,Franchot_Tone
23,7,241.51876187001022,20151208,Franchot_Tone
24,7,319.910792572671,20151215,Franchot_Tone
25,7,335.34964745019823,20151222,Franchot_Tone
26,7,450.53300146670404,20151229,Franchot_Tone
27,7,255.4097300909627,20160105,Franchot_Tone
28,7,241.88148261134958,20160112,Franchot_Tone
29,7,448.7179271227082,20160119,Franchot_Tone
30,7,464.7654742933029,20160126,Franchot_Tone
31,7,335.423188431578,20160202,Franchot_Tone
32,7,270.8889983358837,20160209,Franchot_Tone
33,7,313.94929826154186,20160216,Franchot_Tone
34,7,466.3186393368983,20160223,Franchot_Tone
35,7,356.7492893953765,20160301,Franchot_Tone
36,7,336.06186564962263,20160308,Franchot_Tone
37,7,281.6951171530479,20160316,Franchot_Tone
38,7,315.50778548808233,20160323,Franchot_Tone
39,7,284.7031615528577,20160330,Franchot_Tone
40,7,491.7265144957799,20160406,Franchot_Tone
41,7,348.5498786039477,20160413,Franchot_Tone
42,7,418.80023369836573,20160420,Franchot_Tone
43,7,341.90173853711957,20160427,Franchot_Tone
44,7,432.43893107546876,20160504,Franchot_Tone
45,7,301.4998806816559,20160511,Franchot_Tone
46,7,407.98668936562365,20160518,Franchot_Tone
47,7,398.212841480749,20160525,Franchot_Tone
48,7,355.6046796829329,20160601,Franchot_Tone
49,7,361.86918418291265,20160608,Franchot_Tone
50,7,285.5619811267929,20160615,Franchot_Tone
51,7,265.66276380856544,20160622,Franchot_Tone
52,7,300.1946314261809,20160629,Franchot_Tone
53,7,307.16698304291504,20160706,Franchot_Tone
54,7,337.89654412734495,20160713,Franchot_Tone
55,7,315.9600787940637,20160720,Franchot_Tone
56,7,269.1528220280455,20160727,Franchot_Tone
57,7,411.8882662019019,20160803,Franchot_Tone
58,7,526.4471773581021,20160810,Franchot_Tone
59,7,497.57083406937505,20160817,Franchot_Tone
60,7,693.8794714359426,20160824,Franchot_Tone
61,7,465.0719798860575,20160831,Franchot_Tone
62,7,347.6914648578321,20160907,Franchot_Tone
63,7,537.8819477444061,20160914,Franchot_Tone
64,7,375.11576694394654,20160921,Franchot_Tone
65,7,317.9766202419809,20160928,Franchot_Tone
66,7,310.60881819855695,20161005,Franchot_Tone
67,7,266.1248867335323,20161012,Franchot_Tone
68,7,428.5200877989426,20161019,Franchot_Tone
69,7,371.26701353471196,20161026,Franchot_Tone
70,7,268.03535993817735,20161102,Franchot_Tone
71,7,271.86690646197655,20161108,Franchot_Tone
72,7,387.45537704334635,20161115,Franchot_Tone
73,7,379.55017558579175,20161122,Franchot_Tone
74,7,307.4553857040792,20161129,Franchot_Tone
75,7,351.94386872164193,20161206,Franchot_Tone
76,7,424.0994468067954,20161213,Franchot_Tone
77,7,382.29039754347247,20161220,Franchot_Tone
78,7,475.1294510178866,20161227,Franchot_Tone
79,7,417.93942281318795,20170103,Franchot_Tone
80,7,413.7356112129729,20170110,Franchot_Tone
81,7,429.1412420622141,20170117,Franchot_Tone
82,7,327.91605471034757,20170124,Franchot_Tone
83,7,340.3782352719919,20170131,Franchot_Tone
84,7,502.98993526555597,20170207,Franchot_Tone
85,7,629.5728573232789,20170214,Franchot_Tone
86,7,633.851158065622,20170221,Franchot_Tone
87,7,2320.5331710626424,20170228,Franchot_Tone
88,7,2128.394554517969,20170307,Franchot_Tone
89,7,1228.134284605468,20170315,Franchot_Tone
90,7,1153.1173650867622,20170322,Franchot_Tone
91,7,1388.937277311838,20170329,Franchot_Tone
92,7,1253.0080659387602,20170405,Franchot_Tone
93,7,968.1139827993857,20170412,Franchot_Tone
94,7,995.1783117511886,20170419,Franchot_Tone
95,7,1071.0929620763009,20170426,Franchot_Tone
96,7,768.0317311358248,20170503,Franchot_Tone
97,7,1542.5124018343586,20170510,Franchot_Tone
98,7,549.6402085722221,20170517,Franchot_Tone
99,7,467.83834018651436,20170524,Franchot_Tone
100,7,455.2077705153074,20170531,Franchot_Tone
101,7,505.0852208016325,20170607,Franchot_Tone
102,7,437.98436774067267,20170614,Franchot_Tone
103,7,418.66363685156347,20170621,Franchot_Tone
104,7,386.2216717292939,20170628,Franchot_Tone
105,7,363.73695392675677,20170705,Franchot_Tone
106,7,343.3787005283595,20170712,Franchot_Tone
107,7,320.76332292070214,20170719,Franchot_Tone
108,7,346.68889640910385,20170726,Franchot_Tone
109,7,724.6756452970518,20170802,Franchot_Tone
110,7,1202.5747682948902,20170809,Franchot_Tone
111,7,506.34195732446074,20170816,Franchot_Tone
112,7,405.57228013009643,20170823,Franchot_Tone
113,7,446.09045408143203,20170830,Franchot_Tone
114,7,427.1919076140037,20170906,Franchot_Tone
115,7,629.1499014499526,20170913,Franchot_Tone
116,7,396.32973156497866,20170920,Franchot_Tone
117,7,305.0544743460964,20170927,Franchot_Tone
118,7,321.8988938149548,20171004,Franchot_Tone
119,7,333.7425788705998,20171011,Franchot_Tone
120,7,316.33278856695733,20171018,Franchot_Tone
121,7,341.44665750898065,20171025,Franchot_Tone
122,7,294.92082530742505,20171101,Franchot_Tone
123,7,283.1069816841538,20171107,Franchot_Tone
124,7,330.20370582609047,20171114,Franchot_Tone
125,7,267.99629508629846,20171121,Franchot_Tone
126,7,427.93457692078005,20171128,Franchot_Tone
127,7,314.03608642676784,20171205,Franchot_Tone
128,7,336.5740235102527,20171212,Franchot_Tone
129,7,589.7122733439668,20171219,Franchot_Tone
130,7,887.1056468932666,20171226,Franchot_Tone
131,7,590.730047499117,20180102,Franchot_Tone
132,7,444.9978996585227,20180109,Franchot_Tone
133,7,472.0785197257442,20180116,Franchot_Tone
134,7,378.0227084314293,20180123,Franchot_Tone
135,7,345.2163699534011,20180130,Franchot_Tone
136,7,358.3436700189182,20180206,Franchot_Tone
137,7,299.4324731576297,20180213,Franchot_Tone
138,7,329.5523555759795,20180220,Franchot_Tone
139,7,390.78641209776146,20180227,Franchot_Tone
140,7,386.3213817737354,20180306,Franchot_Tone
141,7,344.01475832534203,20180314,Franchot_Tone
142,7,481.7893795929073,20180321,Franchot_Tone
143,7,315.22866481662345,20180328,Franchot_Tone
144,7,342.1734126036754,20180404,Franchot_Tone
145,7,272.62661549393334,20180411,Franchot_Tone
146,7,317.55018836786076,20180418,Franchot_Tone
147,7,293.3887180686296,20180425,Franchot_Tone
148,7,316.7739377945738,20180502,Franchot_Tone
149,7,296.1405258638144,20180509,Franchot_Tone
150,7,259.4930807586885,20180516,Franchot_Tone
151,7,315.86001899376424,20180523,Franchot_Tone
152,7,317.70236155821294,20180530,Franchot_Tone
153,7,322.00712386546115,20180606,Franchot_Tone
154,7,397.90960142107707,20180613,Franchot_Tone
155,7,293.1130200385222,20180620,Franchot_Tone
156,7,326.39957831753304,20180627,Franchot_Tone
157,7,553.5283699069391,20180704,Franchot_Tone
158,7,279.40529089053985,20180711,Franchot_Tone
159,7,417.34568454891064,20180718,Franchot_Tone
160,7,345.16048061297903,20180725,Franchot_Tone
161,7,456.79191214741104,20180801,Franchot_Tone
162,7,401.3712921505925,20180808,Franchot_Tone
163,7,511.7993546651289,20180815,Franchot_Tone
164,7,380.0032469385601,20180822,Franchot_Tone
165,7,538.3477768134719,20180829,Franchot_Tone
166,7,292.4540778231739,20180905,Franchot_Tone
167,7,275.63572743372487,20180912,Franchot_Tone
