bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,421.0401913360822,3267.131497525934,20150701,Gary_Gygax
1,7,469.327473936276,3190.8291080671615,20150708,Gary_Gygax
2,7,446.91149573505277,3259.15921658606,20150715,Gary_Gygax
3,7,478.1913519310122,6032.975903759768,20150722,Gary_Gygax
4,7,631.5179505253041,4385.7436991968825,20150729,Gary_Gygax
5,7,493.62437364371806,3440.1079627517674,20150805,Gary_Gygax
6,7,472.87141103979894,3486.2739443796986,20150812,Gary_Gygax
7,7,481.9773682656526,3397.8270985050817,20150819,Gary_Gygax
8,7,489.8276558091757,3389.647533154466,20150826,Gary_Gygax
9,7,507.180775112493,4372.355749547598,20150902,Gary_Gygax
10,7,443.9987817474175,3181.751007822468,20150909,Gary_Gygax
11,7,426.7041554452387,3057.6115366331323,20150916,Gary_Gygax
12,7,473.1106242225783,3404.099408614008,20150923,Gary_Gygax
13,7,717.1050591844033,4737.775700706518,20150930,Gary_Gygax
14,7,482.22373743926255,3433.942238362988,20151007,Gary_Gygax
15,7,483.209299950677,3494.0204785724986,20151014,Gary_Gygax
16,7,500.99607579388,3757.430430108968,20151021,Gary_Gygax
17,7,658.0394091185223,5045.025218673476,20151028,Gary_Gygax
18,7,562.8897998156101,4249.01045476131,20151103,Gary_Gygax
19,7,438.2586170476725,3380.255601564898,20151110,Gary_Gygax
20,7,504.3536674131835,3583.720783145654,20151117,Gary_Gygax
21,7,455.56605983415204,3228.4285992071605,20151124,Gary_Gygax
22,7,452.2864110355559,3228.50853906336,20151201,Gary_Gygax
23,7,464.5726239938471,3401.782310666837,20151208,Gary_Gygax
24,7,457.5080329845852,3046.996478540198,20151215,Gary_Gygax
25,7,448.99712718241835,3085.7743299428334,20151222,Gary_Gygax
26,7,519.4594319702162,3467.206586539578,20151229,Gary_Gygax
27,7,461.5608262620533,3278.6099157684175,20160105,Gary_Gygax
28,7,463.4300055031762,3264.339153108585,20160112,Gary_Gygax
29,7,595.7636590540959,4550.988408546724,20160119,Gary_Gygax
30,7,511.2884279487521,3807.3160384263683,20160126,Gary_Gygax
31,7,450.4550734108885,3190.2050662548872,20160202,Gary_Gygax
32,7,496.947775116181,3310.163672986889,20160209,Gary_Gygax
33,7,440.76834710123563,3115.578351977737,20160216,Gary_Gygax
34,7,463.9622936234253,3301.064956959509,20160223,Gary_Gygax
35,7,556.3360540030601,4582.613854360984,20160301,Gary_Gygax
36,7,466.55565198054717,3238.5605693722064,20160308,Gary_Gygax
37,7,454.40250058938557,3186.154973777708,20160316,Gary_Gygax
38,7,475.5518216606914,3543.426269934445,20160323,Gary_Gygax
39,7,614.5109203926711,4348.174232439651,20160330,Gary_Gygax
40,7,477.1961534367988,3407.105418879909,20160406,Gary_Gygax
41,7,524.7386266678992,3980.7311102988783,20160413,Gary_Gygax
42,7,443.17717645748473,3132.7947538330723,20160420,Gary_Gygax
43,7,503.9256596034237,3536.964373483904,20160427,Gary_Gygax
44,7,420.532543255298,2975.729728254729,20160504,Gary_Gygax
45,7,532.7400350394403,3733.4727801316426,20160511,Gary_Gygax
46,7,600.0064147144952,4220.453747386067,20160518,Gary_Gygax
47,7,519.5075575639656,3974.59300950634,20160525,Gary_Gygax
48,7,599.306775783648,4328.0346230891855,20160601,Gary_Gygax
49,7,581.9064693980556,4442.516912881357,20160608,Gary_Gygax
50,7,625.3743911173069,4276.410139003388,20160615,Gary_Gygax
51,7,478.0097454283731,3678.675847480938,20160622,Gary_Gygax
52,7,504.47076034360896,3662.7903508324885,20160629,Gary_Gygax
53,7,514.3053608613593,3638.5039075704276,20160706,Gary_Gygax
54,7,542.6528703763056,3796.176396971193,20160713,Gary_Gygax
55,7,563.4952865127613,11334.515382582256,20160720,Gary_Gygax
56,7,670.5078040899558,8639.271002672232,20160727,Gary_Gygax
57,7,642.9300832223661,4436.686042098282,20160803,Gary_Gygax
58,7,537.1727565232925,3737.087849245563,20160810,Gary_Gygax
59,7,657.9618493322743,4493.274741184161,20160817,Gary_Gygax
60,7,748.9527628003318,13350.314759880996,20160824,Gary_Gygax
61,7,640.2854883339213,4463.662855170597,20160831,Gary_Gygax
62,7,572.1017455001448,4071.630069258782,20160907,Gary_Gygax
63,7,753.2912336950022,5200.412679314431,20160914,Gary_Gygax
64,7,792.1889732789838,42869.533783302155,20160921,Gary_Gygax
65,7,727.195829916781,5424.226373445829,20160928,Gary_Gygax
66,7,566.7937546381179,3964.4874331660103,20161005,Gary_Gygax
67,7,528.8837102341814,3630.0710417242285,20161012,Gary_Gygax
68,7,529.6080368319182,3817.721422741406,20161019,Gary_Gygax
69,7,494.2596514036179,3596.024453872648,20161026,Gary_Gygax
70,7,494.73194896184725,3444.7316830341606,20161102,Gary_Gygax
71,7,461.2218671617978,3177.2291345227786,20161108,Gary_Gygax
72,7,541.9511039138058,3736.307698447791,20161115,Gary_Gygax
73,7,503.4478471303588,3467.1097350374207,20161122,Gary_Gygax
74,7,518.5308240440962,3812.7840746104994,20161129,Gary_Gygax
75,7,505.31680178777134,3414.86436161801,20161206,Gary_Gygax
76,7,474.446080759724,3352.233477825778,20161213,Gary_Gygax
77,7,548.4919349635892,4169.087703404748,20161220,Gary_Gygax
78,7,548.2978028758897,3715.766072891571,20161227,Gary_Gygax
79,7,528.5408929415312,3711.56202022548,20170103,Gary_Gygax
80,7,557.0998829376643,3898.6530260637774,20170110,Gary_Gygax
81,7,551.9228722145307,4004.9648464419984,20170117,Gary_Gygax
82,7,506.6025378019273,3632.225951282761,20170124,Gary_Gygax
83,7,508.86258563037035,3591.4671331665536,20170131,Gary_Gygax
84,7,539.9011226445737,3683.857678088444,20170207,Gary_Gygax
85,7,568.5077304517587,4095.3791393517786,20170214,Gary_Gygax
86,7,547.6566489182785,3847.548798319995,20170221,Gary_Gygax
87,7,646.8565995675784,5179.596504745508,20170228,Gary_Gygax
88,7,587.9849273201303,4453.840098165372,20170307,Gary_Gygax
89,7,519.9152561105831,3663.958532881895,20170315,Gary_Gygax
90,7,559.465504452295,3971.8448291860127,20170322,Gary_Gygax
91,7,562.5328636731718,3831.2444091106117,20170329,Gary_Gygax
92,7,570.1834649008669,4148.987131588146,20170405,Gary_Gygax
93,7,571.8121371485565,3898.678920403292,20170412,Gary_Gygax
94,7,537.5512424523074,3734.857148144062,20170419,Gary_Gygax
95,7,563.066326838756,3946.7632635402574,20170426,Gary_Gygax
96,7,723.3780972799375,4723.568156947628,20170503,Gary_Gygax
97,7,738.0753066195579,5523.404256024349,20170510,Gary_Gygax
98,7,614.5422835893927,4413.051580316809,20170517,Gary_Gygax
99,7,628.8634277460126,4642.490322591257,20170524,Gary_Gygax
100,7,647.0474408418623,4423.497969948438,20170531,Gary_Gygax
101,7,640.000269004461,4434.160629751192,20170607,Gary_Gygax
102,7,734.826064343916,6816.183132093375,20170614,Gary_Gygax
103,7,722.5500364461709,5035.206327396345,20170621,Gary_Gygax
104,7,617.4054241737368,4763.634262751336,20170628,Gary_Gygax
105,7,625.0442753134272,4498.154223608411,20170705,Gary_Gygax
106,7,688.3448771863417,4741.920376728429,20170712,Gary_Gygax
107,7,607.2210817635467,4424.356976442456,20170719,Gary_Gygax
108,7,763.7683283373129,7566.520051538305,20170726,Gary_Gygax
109,7,628.8872642707221,4561.0586701986185,20170802,Gary_Gygax
110,7,633.3923214005666,4381.767869529788,20170809,Gary_Gygax
111,7,722.1425836269857,5029.332266315521,20170816,Gary_Gygax
112,7,608.3584201951446,4396.701682838389,20170823,Gary_Gygax
113,7,587.349564818786,3991.9117238092836,20170830,Gary_Gygax
