bin,binSize,median,timestamp,article
0,7,1219,20150701,Geddy_Lee
1,7,1496,20150708,Geddy_Lee
2,7,1452,20150715,Geddy_Lee
3,7,1549,20150722,Geddy_Lee
4,7,1646,20150729,Geddy_Lee
5,7,1055,20150805,Geddy_Lee
6,7,1158,20150812,Geddy_Lee
7,7,1087,20150819,Geddy_Lee
8,7,1007,20150826,Geddy_Lee
9,7,991,20150902,Geddy_Lee
10,7,910,20150909,Geddy_Lee
11,7,939,20150916,Geddy_Lee
12,7,930,20150923,Geddy_Lee
13,7,870,20150930,Geddy_Lee
14,7,961,20151007,Geddy_Lee
15,7,1110,20151014,Geddy_Lee
16,7,981,20151021,Geddy_Lee
17,7,931,20151028,Geddy_Lee
18,7,1000,20151103,Geddy_Lee
19,7,956,20151110,Geddy_Lee
20,7,1215,20151117,Geddy_Lee
21,7,1496,20151124,Geddy_Lee
22,7,1125,20151201,Geddy_Lee
23,7,1419,20151208,Geddy_Lee
24,7,1127,20151215,Geddy_Lee
25,7,978,20151222,Geddy_Lee
26,7,1009,20151229,Geddy_Lee
27,7,1042,20160105,Geddy_Lee
28,7,979,20160112,Geddy_Lee
29,7,1007,20160119,Geddy_Lee
30,7,1152,20160126,Geddy_Lee
31,7,1011,20160202,Geddy_Lee
32,7,988,20160209,Geddy_Lee
33,7,1107,20160216,Geddy_Lee
34,7,1237,20160223,Geddy_Lee
35,7,1001,20160301,Geddy_Lee
36,7,1211,20160308,Geddy_Lee
37,7,930,20160316,Geddy_Lee
38,7,984,20160323,Geddy_Lee
39,7,1158,20160330,Geddy_Lee
40,7,984,20160406,Geddy_Lee
41,7,1102,20160413,Geddy_Lee
42,7,940,20160420,Geddy_Lee
43,7,927,20160427,Geddy_Lee
44,7,966,20160504,Geddy_Lee
45,7,954,20160511,Geddy_Lee
46,7,898,20160518,Geddy_Lee
47,7,949,20160525,Geddy_Lee
48,7,886,20160601,Geddy_Lee
49,7,844,20160608,Geddy_Lee
50,7,837,20160615,Geddy_Lee
51,7,791,20160622,Geddy_Lee
52,7,892,20160629,Geddy_Lee
53,7,885,20160706,Geddy_Lee
54,7,891,20160713,Geddy_Lee
55,7,984,20160720,Geddy_Lee
56,7,1147,20160727,Geddy_Lee
57,7,879,20160803,Geddy_Lee
58,7,839,20160810,Geddy_Lee
59,7,929,20160817,Geddy_Lee
60,7,947,20160824,Geddy_Lee
61,7,895,20160831,Geddy_Lee
62,7,984,20160907,Geddy_Lee
63,7,1261,20160914,Geddy_Lee
64,7,925,20160921,Geddy_Lee
65,7,964,20160928,Geddy_Lee
66,7,973,20161005,Geddy_Lee
67,7,851,20161012,Geddy_Lee
68,7,908,20161019,Geddy_Lee
69,7,856,20161026,Geddy_Lee
70,7,949,20161102,Geddy_Lee
71,7,945,20161108,Geddy_Lee
72,7,1009,20161115,Geddy_Lee
73,7,1023,20161122,Geddy_Lee
74,7,1015,20161129,Geddy_Lee
75,7,1021,20161206,Geddy_Lee
76,7,1075,20161213,Geddy_Lee
77,7,1023,20161220,Geddy_Lee
78,7,1019,20161227,Geddy_Lee
79,7,966,20170103,Geddy_Lee
80,7,1081,20170110,Geddy_Lee
81,7,964,20170117,Geddy_Lee
82,7,1266,20170124,Geddy_Lee
83,7,1181,20170131,Geddy_Lee
84,7,1124,20170207,Geddy_Lee
85,7,1266,20170214,Geddy_Lee
86,7,1320,20170221,Geddy_Lee
87,7,1228,20170228,Geddy_Lee
88,7,1230,20170307,Geddy_Lee
89,7,1110,20170315,Geddy_Lee
90,7,1082,20170322,Geddy_Lee
91,7,1154,20170329,Geddy_Lee
92,7,1272,20170405,Geddy_Lee
93,7,1272,20170412,Geddy_Lee
94,7,1200,20170419,Geddy_Lee
95,7,1231,20170426,Geddy_Lee
96,7,1554,20170503,Geddy_Lee
97,7,1214,20170510,Geddy_Lee
98,7,1112,20170517,Geddy_Lee
99,7,1303,20170524,Geddy_Lee
100,7,1089,20170531,Geddy_Lee
101,7,1005,20170607,Geddy_Lee
102,7,1014,20170614,Geddy_Lee
103,7,1071,20170621,Geddy_Lee
104,7,1180,20170628,Geddy_Lee
105,7,1150,20170705,Geddy_Lee
106,7,1075,20170712,Geddy_Lee
107,7,1205,20170719,Geddy_Lee
108,7,1753,20170726,Geddy_Lee
109,7,1162,20170802,Geddy_Lee
110,7,1104,20170809,Geddy_Lee
111,7,1002,20170816,Geddy_Lee
112,7,1174,20170823,Geddy_Lee
113,7,1112,20170830,Geddy_Lee
114,7,985,20170906,Geddy_Lee
115,7,1040,20170913,Geddy_Lee
116,7,923,20170920,Geddy_Lee
117,7,997,20170927,Geddy_Lee
118,7,1039,20171004,Geddy_Lee
119,7,1063,20171011,Geddy_Lee
120,7,1603,20171018,Geddy_Lee
121,7,2216,20171025,Geddy_Lee
122,7,1265,20171101,Geddy_Lee
123,7,1260,20171107,Geddy_Lee
124,7,1101,20171114,Geddy_Lee
125,7,1180,20171121,Geddy_Lee
126,7,1192,20171128,Geddy_Lee
127,7,1112,20171205,Geddy_Lee
128,7,1198,20171212,Geddy_Lee
129,7,1433,20171219,Geddy_Lee
130,7,1495,20171226,Geddy_Lee
131,7,1104,20180102,Geddy_Lee
132,7,1182,20180109,Geddy_Lee
133,7,1546,20180116,Geddy_Lee
134,7,1612,20180123,Geddy_Lee
135,7,1262,20180130,Geddy_Lee
136,7,1151,20180206,Geddy_Lee
137,7,1075,20180213,Geddy_Lee
138,7,1218,20180220,Geddy_Lee
139,7,1083,20180227,Geddy_Lee
140,7,1115,20180306,Geddy_Lee
141,7,1021,20180314,Geddy_Lee
142,7,1349,20180321,Geddy_Lee
143,7,1267,20180328,Geddy_Lee
144,7,1172,20180404,Geddy_Lee
145,7,1199,20180411,Geddy_Lee
146,7,1145,20180418,Geddy_Lee
147,7,1005,20180425,Geddy_Lee
148,7,1002,20180502,Geddy_Lee
149,7,1034,20180509,Geddy_Lee
150,7,1042,20180516,Geddy_Lee
151,7,1038,20180523,Geddy_Lee
152,7,925,20180530,Geddy_Lee
153,7,925,20180606,Geddy_Lee
154,7,1007,20180613,Geddy_Lee
155,7,969,20180620,Geddy_Lee
156,7,1045,20180627,Geddy_Lee
157,7,1136,20180704,Geddy_Lee
158,7,1063,20180711,Geddy_Lee
159,7,1177,20180718,Geddy_Lee
160,7,1464,20180725,Geddy_Lee
161,7,1215,20180801,Geddy_Lee
162,7,1124,20180808,Geddy_Lee
163,7,1065,20180815,Geddy_Lee
164,7,1188,20180822,Geddy_Lee
165,7,1024,20180829,Geddy_Lee
166,7,1125,20180905,Geddy_Lee
167,7,2539,20180912,Geddy_Lee
