bin,binSize,median,article
0,7,714,Gong_Yoo
1,7,716,Gong_Yoo
2,7,670,Gong_Yoo
3,7,699,Gong_Yoo
4,7,678,Gong_Yoo
5,7,666,Gong_Yoo
6,7,668,Gong_Yoo
7,7,665,Gong_Yoo
8,7,625,Gong_Yoo
9,7,662,Gong_Yoo
10,7,624,Gong_Yoo
11,7,597,Gong_Yoo
12,7,561,Gong_Yoo
13,7,569,Gong_Yoo
14,7,615,Gong_Yoo
15,7,603,Gong_Yoo
16,7,553,Gong_Yoo
17,7,530,Gong_Yoo
18,7,522,Gong_Yoo
19,7,526,Gong_Yoo
20,7,502,Gong_Yoo
21,7,546,Gong_Yoo
22,7,489,Gong_Yoo
23,7,484,Gong_Yoo
24,7,483,Gong_Yoo
25,7,490,Gong_Yoo
26,7,594,Gong_Yoo
27,7,555,Gong_Yoo
28,7,518,Gong_Yoo
29,7,526,Gong_Yoo
30,7,526,Gong_Yoo
31,7,461,Gong_Yoo
32,7,463,Gong_Yoo
33,7,477,Gong_Yoo
34,7,563,Gong_Yoo
35,7,501,Gong_Yoo
36,7,476,Gong_Yoo
37,7,444,Gong_Yoo
38,7,486,Gong_Yoo
39,7,492,Gong_Yoo
40,7,495,Gong_Yoo
41,7,745,Gong_Yoo
42,7,599,Gong_Yoo
43,7,505,Gong_Yoo
44,7,547,Gong_Yoo
45,7,553,Gong_Yoo
46,7,559,Gong_Yoo
47,7,546,Gong_Yoo
48,7,516,Gong_Yoo
49,7,569,Gong_Yoo
50,7,594,Gong_Yoo
51,7,806,Gong_Yoo
52,7,621,Gong_Yoo
53,7,634,Gong_Yoo
54,7,738,Gong_Yoo
55,7,972,Gong_Yoo
56,7,1221,Gong_Yoo
57,7,1875,Gong_Yoo
58,7,2200,Gong_Yoo
59,7,2380,Gong_Yoo
60,7,3022,Gong_Yoo
61,7,6862,Gong_Yoo
62,7,8269,Gong_Yoo
63,7,17321,Gong_Yoo
64,7,6958,Gong_Yoo
65,7,3958,Gong_Yoo
66,7,2956,Gong_Yoo
67,7,2328,Gong_Yoo
68,7,2534,Gong_Yoo
69,7,2442,Gong_Yoo
70,7,2403,Gong_Yoo
71,7,1968,Gong_Yoo
72,7,1893,Gong_Yoo
73,7,2188,Gong_Yoo
74,7,3613,Gong_Yoo
75,7,10957,Gong_Yoo
76,7,13903,Gong_Yoo
77,7,12580,Gong_Yoo
78,7,12886,Gong_Yoo
79,7,13553,Gong_Yoo
80,7,12140,Gong_Yoo
81,7,12772,Gong_Yoo
82,7,13385,Gong_Yoo
83,7,11348,Gong_Yoo
84,7,9707,Gong_Yoo
85,7,7944,Gong_Yoo
86,7,7012,Gong_Yoo
87,7,5499,Gong_Yoo
88,7,4773,Gong_Yoo
89,7,4818,Gong_Yoo
90,7,5708,Gong_Yoo
91,7,4661,Gong_Yoo
92,7,4527,Gong_Yoo
93,7,5587,Gong_Yoo
94,7,5375,Gong_Yoo
95,7,5913,Gong_Yoo
96,7,8384,Gong_Yoo
97,7,9038,Gong_Yoo
98,7,8412,Gong_Yoo
99,7,7281,Gong_Yoo
100,7,5550,Gong_Yoo
101,7,5107,Gong_Yoo
102,7,4303,Gong_Yoo
103,7,4386,Gong_Yoo
104,7,4088,Gong_Yoo
105,7,4972,Gong_Yoo
106,7,3673,Gong_Yoo
107,7,3300,Gong_Yoo
108,7,3090,Gong_Yoo
109,7,2987,Gong_Yoo
110,7,3108,Gong_Yoo
111,7,3357,Gong_Yoo
112,7,2987,Gong_Yoo
113,7,2902,Gong_Yoo
114,7,2614,Gong_Yoo
115,7,2532,Gong_Yoo
116,7,2326,Gong_Yoo
117,7,2456,Gong_Yoo
118,7,2855,Gong_Yoo
119,7,2770,Gong_Yoo
120,7,2872,Gong_Yoo
121,7,2860,Gong_Yoo
122,7,2980,Gong_Yoo
123,7,2763,Gong_Yoo
124,7,2514,Gong_Yoo
125,7,2644,Gong_Yoo
126,7,2723,Gong_Yoo
127,7,2636,Gong_Yoo
128,7,2450,Gong_Yoo
129,7,2512,Gong_Yoo
130,7,3062,Gong_Yoo
131,7,3183,Gong_Yoo
132,7,3384,Gong_Yoo
133,7,2698,Gong_Yoo
134,7,2634,Gong_Yoo
135,7,2568,Gong_Yoo
136,7,2515,Gong_Yoo
137,7,2699,Gong_Yoo
138,7,2248,Gong_Yoo
139,7,2017,Gong_Yoo
140,7,2174,Gong_Yoo
141,7,2050,Gong_Yoo
142,7,2170,Gong_Yoo
143,7,2111,Gong_Yoo
144,7,1957,Gong_Yoo
145,7,2016,Gong_Yoo
146,7,1890,Gong_Yoo
147,7,1854,Gong_Yoo
148,7,1857,Gong_Yoo
149,7,1673,Gong_Yoo
150,7,1753,Gong_Yoo
151,7,1889,Gong_Yoo
152,7,2040,Gong_Yoo
153,7,1966,Gong_Yoo
154,7,1819,Gong_Yoo
155,7,2057,Gong_Yoo
156,7,1914,Gong_Yoo
157,7,1910,Gong_Yoo
158,7,1977,Gong_Yoo
159,7,2218,Gong_Yoo
160,7,2045,Gong_Yoo
161,7,2183,Gong_Yoo
162,7,2459,Gong_Yoo
163,7,2325,Gong_Yoo
164,7,2170,Gong_Yoo
165,7,2197,Gong_Yoo
166,7,1900,Gong_Yoo
167,7,1607,Gong_Yoo
