bin,binSize,median,article
0,7,34,Gore_(film)
1,7,23,Gore_(film)
2,7,155,Gore_(film)
3,7,129,Gore_(film)
4,7,128,Gore_(film)
5,7,146,Gore_(film)
6,7,138,Gore_(film)
7,7,276,Gore_(film)
8,7,324,Gore_(film)
9,7,6536,Gore_(film)
10,7,3922,Gore_(film)
11,7,1030,Gore_(film)
12,7,1644,Gore_(film)
13,7,1910,Gore_(film)
14,7,1670,Gore_(film)
15,7,1406,Gore_(film)
16,7,1426,Gore_(film)
17,7,1568,Gore_(film)
18,7,1640,Gore_(film)
19,7,1262,Gore_(film)
20,7,1125,Gore_(film)
21,7,1080,Gore_(film)
22,7,839,Gore_(film)
23,7,737,Gore_(film)
24,7,736,Gore_(film)
25,7,719,Gore_(film)
26,7,872,Gore_(film)
27,7,790,Gore_(film)
28,7,682,Gore_(film)
29,7,788,Gore_(film)
30,7,701,Gore_(film)
31,7,704,Gore_(film)
32,7,711,Gore_(film)
33,7,606,Gore_(film)
34,7,548,Gore_(film)
35,7,508,Gore_(film)
36,7,534,Gore_(film)
37,7,525,Gore_(film)
38,7,539,Gore_(film)
39,7,514,Gore_(film)
40,7,387,Gore_(film)
41,7,245,Gore_(film)
42,7,67,Gore_(film)
43,7,67,Gore_(film)
44,7,82,Gore_(film)
45,7,78,Gore_(film)
46,7,71,Gore_(film)
47,7,66,Gore_(film)
48,7,63,Gore_(film)
49,7,64,Gore_(film)
50,7,83,Gore_(film)
51,7,62,Gore_(film)
52,7,63,Gore_(film)
53,7,53,Gore_(film)
54,7,38,Gore_(film)
