bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,353.24169751287656,2435.1690173339884,20150701,Hattie_Morahan
1,7,464.3034280536938,8460.87449980175,20150708,Hattie_Morahan
2,7,932.7039682550478,7685.986047578,20150715,Hattie_Morahan
3,7,715.8358603336151,5564.603794957604,20150722,Hattie_Morahan
4,7,521.2768469608474,3845.029400621178,20150729,Hattie_Morahan
5,7,585.4236562933452,4123.983558145121,20150805,Hattie_Morahan
6,7,590.8064012528677,4303.206652134884,20150812,Hattie_Morahan
7,7,488.4175704447032,3531.689172397312,20150819,Hattie_Morahan
8,7,410.15932745329974,3000.0946686636885,20150826,Hattie_Morahan
9,7,497.99473096308253,4615.790168705382,20150902,Hattie_Morahan
10,7,545.4122667573082,4733.070607721958,20150909,Hattie_Morahan
11,7,726.3321427129281,5122.152260350827,20150916,Hattie_Morahan
12,7,511.03625040158823,3399.92253706014,20150923,Hattie_Morahan
13,7,482.2255998800212,3199.638934125657,20150930,Hattie_Morahan
14,7,398.7169024349272,2720.9500347076264,20151007,Hattie_Morahan
15,7,441.56432874280523,3528.2830067884856,20151014,Hattie_Morahan
16,7,502.0856353944496,3470.6381958118554,20151021,Hattie_Morahan
17,7,661.6985347776604,4607.233606955796,20151028,Hattie_Morahan
18,7,636.3559932519934,4432.599505258892,20151103,Hattie_Morahan
19,7,578.3454481267978,5143.6469852070895,20151110,Hattie_Morahan
20,7,509.70594960140176,3842.722333189845,20151117,Hattie_Morahan
21,7,453.1777287186437,3466.0220598123938,20151124,Hattie_Morahan
22,7,368.95251913022724,2859.8449440719173,20151201,Hattie_Morahan
23,7,354.0818047325037,2797.2504630726507,20151208,Hattie_Morahan
24,7,393.9082615831406,3190.7366215625934,20151215,Hattie_Morahan
25,7,423.92364707085443,3205.1932328806643,20151222,Hattie_Morahan
26,7,462.73045760087786,3424.1686289519916,20151229,Hattie_Morahan
27,7,366.9132316605248,2992.38682623568,20160105,Hattie_Morahan
28,7,464.8504213148159,3004.5447087990005,20160112,Hattie_Morahan
29,7,397.87354775038165,3129.5729622061094,20160119,Hattie_Morahan
30,7,432.35997598333415,3093.121212866863,20160126,Hattie_Morahan
31,7,358.41655456953254,2766.640555592444,20160202,Hattie_Morahan
32,7,359.5956069458738,2777.6899000464387,20160209,Hattie_Morahan
33,7,366.89752384776983,3021.391419352398,20160216,Hattie_Morahan
34,7,396.9274572905614,2897.6766612712177,20160223,Hattie_Morahan
35,7,332.34126117772206,2520.389241102104,20160301,Hattie_Morahan
36,7,349.47672858625083,2610.9911413086347,20160308,Hattie_Morahan
37,7,452.63016160859576,3135.5370504754646,20160316,Hattie_Morahan
38,7,485.163270389583,3325.6280799219026,20160323,Hattie_Morahan
39,7,410.95214807099416,3210.3232676936127,20160330,Hattie_Morahan
40,7,501.88109204779977,3720.2958786004556,20160406,Hattie_Morahan
41,7,517.9003687146908,3719.016200629814,20160413,Hattie_Morahan
42,7,456.30087416579295,3173.642955860325,20160420,Hattie_Morahan
43,7,473.04759094209714,3319.5086607120184,20160427,Hattie_Morahan
44,7,438.9086967111307,3374.581631106432,20160504,Hattie_Morahan
45,7,447.9329339309829,3685.522457602288,20160511,Hattie_Morahan
46,7,536.8938228660695,11089.316670713037,20160518,Hattie_Morahan
47,7,1021.1703270065057,8480.697217795756,20160525,Hattie_Morahan
48,7,660.7156435196487,4595.275189654205,20160601,Hattie_Morahan
49,7,467.9610844517942,3360.5731411900892,20160608,Hattie_Morahan
50,7,444.2133854603703,3144.247677215709,20160615,Hattie_Morahan
51,7,380.08680065495133,2812.205075285614,20160622,Hattie_Morahan
52,7,409.6384808855535,2938.197296996209,20160629,Hattie_Morahan
53,7,444.7476686137164,2985.4410953053766,20160706,Hattie_Morahan
54,7,380.85591857785397,3010.0009394380886,20160713,Hattie_Morahan
55,7,348.8084484536412,2631.282424306785,20160720,Hattie_Morahan
56,7,360.5803812007445,2594.021074300579,20160727,Hattie_Morahan
57,7,359.0336131172992,2587.6723774796515,20160803,Hattie_Morahan
58,7,329.5221295351343,2360.0973635178443,20160810,Hattie_Morahan
59,7,420.2027739835911,3098.4169335659635,20160817,Hattie_Morahan
60,7,653.9079959474977,26776.691433594788,20160824,Hattie_Morahan
61,7,656.6245119596673,4339.545483244695,20160831,Hattie_Morahan
62,7,369.732298301302,2720.3705230179826,20160907,Hattie_Morahan
63,7,271.9516052079078,1965.2373730524057,20160914,Hattie_Morahan
64,7,239.85550830847563,1701.5829917019253,20160921,Hattie_Morahan
