bin,binSize,median,timestamp,article
0,7,3398,20150701,Heinrich_Himmler
1,7,3647,20150708,Heinrich_Himmler
2,7,3937,20150715,Heinrich_Himmler
3,7,3710,20150722,Heinrich_Himmler
4,7,4186,20150729,Heinrich_Himmler
5,7,3860,20150805,Heinrich_Himmler
6,7,3564,20150812,Heinrich_Himmler
7,7,3718,20150819,Heinrich_Himmler
8,7,3983,20150826,Heinrich_Himmler
9,7,3969,20150902,Heinrich_Himmler
10,7,3972,20150909,Heinrich_Himmler
11,7,3710,20150916,Heinrich_Himmler
12,7,3854,20150923,Heinrich_Himmler
13,7,3793,20150930,Heinrich_Himmler
14,7,3650,20151007,Heinrich_Himmler
15,7,3752,20151014,Heinrich_Himmler
16,7,4317,20151021,Heinrich_Himmler
17,7,3520,20151028,Heinrich_Himmler
18,7,4572,20151103,Heinrich_Himmler
19,7,4631,20151110,Heinrich_Himmler
20,7,4801,20151117,Heinrich_Himmler
21,7,5693,20151124,Heinrich_Himmler
22,7,5610,20151201,Heinrich_Himmler
23,7,5585,20151208,Heinrich_Himmler
24,7,4980,20151215,Heinrich_Himmler
25,7,4109,20151222,Heinrich_Himmler
26,7,4592,20151229,Heinrich_Himmler
27,7,4504,20160105,Heinrich_Himmler
28,7,4228,20160112,Heinrich_Himmler
29,7,4715,20160119,Heinrich_Himmler
30,7,4907,20160126,Heinrich_Himmler
31,7,4412,20160202,Heinrich_Himmler
32,7,4361,20160209,Heinrich_Himmler
33,7,4444,20160216,Heinrich_Himmler
34,7,4414,20160223,Heinrich_Himmler
35,7,4218,20160301,Heinrich_Himmler
36,7,5113,20160308,Heinrich_Himmler
37,7,4461,20160316,Heinrich_Himmler
38,7,4143,20160323,Heinrich_Himmler
39,7,4320,20160330,Heinrich_Himmler
40,7,4363,20160406,Heinrich_Himmler
41,7,4523,20160413,Heinrich_Himmler
42,7,4589,20160420,Heinrich_Himmler
43,7,4367,20160427,Heinrich_Himmler
44,7,5056,20160504,Heinrich_Himmler
45,7,4503,20160511,Heinrich_Himmler
46,7,4697,20160518,Heinrich_Himmler
47,7,4257,20160525,Heinrich_Himmler
48,7,3943,20160601,Heinrich_Himmler
49,7,3611,20160608,Heinrich_Himmler
50,7,3771,20160615,Heinrich_Himmler
51,7,3291,20160622,Heinrich_Himmler
52,7,3481,20160629,Heinrich_Himmler
53,7,3316,20160706,Heinrich_Himmler
54,7,3385,20160713,Heinrich_Himmler
55,7,3204,20160720,Heinrich_Himmler
56,7,3256,20160727,Heinrich_Himmler
57,7,5751,20160803,Heinrich_Himmler
58,7,4203,20160810,Heinrich_Himmler
59,7,3968,20160817,Heinrich_Himmler
60,7,3708,20160824,Heinrich_Himmler
61,7,4699,20160831,Heinrich_Himmler
62,7,3870,20160907,Heinrich_Himmler
63,7,3819,20160914,Heinrich_Himmler
64,7,3796,20160921,Heinrich_Himmler
65,7,4051,20160928,Heinrich_Himmler
66,7,3713,20161005,Heinrich_Himmler
67,7,3830,20161012,Heinrich_Himmler
68,7,4462,20161019,Heinrich_Himmler
69,7,4321,20161026,Heinrich_Himmler
70,7,4659,20161102,Heinrich_Himmler
71,7,4798,20161108,Heinrich_Himmler
72,7,5405,20161115,Heinrich_Himmler
73,7,4861,20161122,Heinrich_Himmler
74,7,5021,20161129,Heinrich_Himmler
75,7,5417,20161206,Heinrich_Himmler
76,7,5627,20161213,Heinrich_Himmler
77,7,6779,20161220,Heinrich_Himmler
78,7,8010,20161227,Heinrich_Himmler
79,7,7743,20170103,Heinrich_Himmler
80,7,6840,20170110,Heinrich_Himmler
81,7,6372,20170117,Heinrich_Himmler
82,7,6758,20170124,Heinrich_Himmler
83,7,6183,20170131,Heinrich_Himmler
84,7,5960,20170207,Heinrich_Himmler
85,7,6230,20170214,Heinrich_Himmler
86,7,6201,20170221,Heinrich_Himmler
87,7,5810,20170228,Heinrich_Himmler
88,7,5769,20170307,Heinrich_Himmler
89,7,5802,20170315,Heinrich_Himmler
90,7,5547,20170322,Heinrich_Himmler
91,7,5436,20170329,Heinrich_Himmler
92,7,4677,20170405,Heinrich_Himmler
93,7,5076,20170412,Heinrich_Himmler
94,7,5698,20170419,Heinrich_Himmler
95,7,5479,20170426,Heinrich_Himmler
96,7,5292,20170503,Heinrich_Himmler
97,7,4822,20170510,Heinrich_Himmler
98,7,5261,20170517,Heinrich_Himmler
99,7,4804,20170524,Heinrich_Himmler
100,7,4734,20170531,Heinrich_Himmler
101,7,4348,20170607,Heinrich_Himmler
102,7,4087,20170614,Heinrich_Himmler
103,7,4284,20170621,Heinrich_Himmler
104,7,4231,20170628,Heinrich_Himmler
105,7,4401,20170705,Heinrich_Himmler
106,7,4119,20170712,Heinrich_Himmler
107,7,4765,20170719,Heinrich_Himmler
108,7,4298,20170726,Heinrich_Himmler
109,7,4620,20170802,Heinrich_Himmler
110,7,4779,20170809,Heinrich_Himmler
111,7,5539,20170816,Heinrich_Himmler
112,7,4677,20170823,Heinrich_Himmler
113,7,4673,20170830,Heinrich_Himmler
114,7,3970,20170906,Heinrich_Himmler
115,7,3979,20170913,Heinrich_Himmler
116,7,4140,20170920,Heinrich_Himmler
117,7,4146,20170927,Heinrich_Himmler
118,7,4624,20171004,Heinrich_Himmler
119,7,4699,20171011,Heinrich_Himmler
120,7,4608,20171018,Heinrich_Himmler
121,7,4315,20171025,Heinrich_Himmler
122,7,4953,20171101,Heinrich_Himmler
123,7,5230,20171107,Heinrich_Himmler
124,7,4972,20171114,Heinrich_Himmler
125,7,4767,20171121,Heinrich_Himmler
126,7,5286,20171128,Heinrich_Himmler
127,7,4787,20171205,Heinrich_Himmler
128,7,4394,20171212,Heinrich_Himmler
129,7,4062,20171219,Heinrich_Himmler
130,7,4965,20171226,Heinrich_Himmler
131,7,5425,20180102,Heinrich_Himmler
132,7,5603,20180109,Heinrich_Himmler
133,7,5211,20180116,Heinrich_Himmler
134,7,5975,20180123,Heinrich_Himmler
135,7,4961,20180130,Heinrich_Himmler
136,7,5043,20180206,Heinrich_Himmler
137,7,4803,20180213,Heinrich_Himmler
138,7,6039,20180220,Heinrich_Himmler
139,7,8938,20180227,Heinrich_Himmler
140,7,8375,20180306,Heinrich_Himmler
141,7,7455,20180314,Heinrich_Himmler
142,7,6919,20180321,Heinrich_Himmler
143,7,6409,20180328,Heinrich_Himmler
144,7,5755,20180404,Heinrich_Himmler
145,7,5861,20180411,Heinrich_Himmler
146,7,5325,20180418,Heinrich_Himmler
147,7,4960,20180425,Heinrich_Himmler
148,7,4763,20180502,Heinrich_Himmler
149,7,4640,20180509,Heinrich_Himmler
150,7,4815,20180516,Heinrich_Himmler
151,7,4661,20180523,Heinrich_Himmler
152,7,4310,20180530,Heinrich_Himmler
153,7,5165,20180606,Heinrich_Himmler
154,7,4501,20180613,Heinrich_Himmler
155,7,4382,20180620,Heinrich_Himmler
156,7,9805,20180627,Heinrich_Himmler
