bin,binSize,median,timestamp,article
0,7,1552.512051202968,20150701,Helena_Christensen
1,7,2010.5699080906438,20150708,Helena_Christensen
2,7,1697.33537944357,20150715,Helena_Christensen
3,7,1702.9866041708322,20150722,Helena_Christensen
4,7,2140.8323913792747,20150729,Helena_Christensen
5,7,1852.3557314188754,20150805,Helena_Christensen
6,7,1831.9986223013104,20150812,Helena_Christensen
7,7,2180.7959164152626,20150819,Helena_Christensen
8,7,1995.9240035699138,20150826,Helena_Christensen
9,7,1829.7092491097962,20150902,Helena_Christensen
10,7,1799.9950611381792,20150909,Helena_Christensen
11,7,1851.8743121766888,20150916,Helena_Christensen
12,7,1866.6568467549594,20150923,Helena_Christensen
13,7,2336.5073018762987,20150930,Helena_Christensen
14,7,3570.224115804348,20151007,Helena_Christensen
15,7,2708.5549709718366,20151014,Helena_Christensen
16,7,2602.23979394797,20151021,Helena_Christensen
17,7,2996.0780572871904,20151028,Helena_Christensen
18,7,2419.327154633321,20151103,Helena_Christensen
19,7,2505.024474094075,20151110,Helena_Christensen
20,7,2248.171077330194,20151117,Helena_Christensen
21,7,2342.6739760373016,20151124,Helena_Christensen
22,7,2185.052638902802,20151201,Helena_Christensen
23,7,2735.151947137026,20151208,Helena_Christensen
24,7,1842.781007586576,20151215,Helena_Christensen
25,7,2063.5360473256433,20151222,Helena_Christensen
26,7,2497.589966234204,20151229,Helena_Christensen
27,7,2225.626182077314,20160105,Helena_Christensen
28,7,1797.270787550628,20160112,Helena_Christensen
29,7,1703.9101477550116,20160119,Helena_Christensen
30,7,1357.1263533421413,20160126,Helena_Christensen
31,7,1390.8270299385354,20160202,Helena_Christensen
32,7,2001.2071405197312,20160209,Helena_Christensen
33,7,2296.5355080725326,20160216,Helena_Christensen
34,7,2610.0227003633586,20160223,Helena_Christensen
35,7,2164.993215775563,20160301,Helena_Christensen
36,7,2278.753247200009,20160308,Helena_Christensen
37,7,2195.883353295102,20160316,Helena_Christensen
38,7,2448.188070673707,20160323,Helena_Christensen
39,7,2629.0557574646705,20160330,Helena_Christensen
40,7,2870.439032924082,20160406,Helena_Christensen
41,7,2190.394108942439,20160413,Helena_Christensen
42,7,1679.0773430038678,20160420,Helena_Christensen
43,7,1577.9313472427414,20160427,Helena_Christensen
44,7,1490.6890448307288,20160504,Helena_Christensen
45,7,1626.3080622817943,20160511,Helena_Christensen
46,7,1548.4875685350792,20160518,Helena_Christensen
47,7,1557.928094862901,20160525,Helena_Christensen
48,7,1515.8544343690792,20160601,Helena_Christensen
49,7,1964.8770889014886,20160608,Helena_Christensen
50,7,2365.881875080988,20160615,Helena_Christensen
51,7,2080.296808455109,20160622,Helena_Christensen
52,7,1748.9600265699237,20160629,Helena_Christensen
53,7,1644.3609163811516,20160706,Helena_Christensen
54,7,1799.414815472676,20160713,Helena_Christensen
55,7,1850.0413624353719,20160720,Helena_Christensen
56,7,1494.6915325488005,20160727,Helena_Christensen
57,7,1345.6638903409632,20160803,Helena_Christensen
58,7,1306.0538098786972,20160810,Helena_Christensen
59,7,1738.067363059149,20160817,Helena_Christensen
60,7,1755.7862535716317,20160824,Helena_Christensen
61,7,1728.0994107384417,20160831,Helena_Christensen
62,7,1626.733751093846,20160907,Helena_Christensen
63,7,1856.239070422659,20160914,Helena_Christensen
64,7,1960.5067194143742,20160921,Helena_Christensen
65,7,2004.8319011822123,20160928,Helena_Christensen
66,7,2092.9384199044575,20161005,Helena_Christensen
67,7,3360.29060956414,20161012,Helena_Christensen
68,7,3566.3584307067,20161019,Helena_Christensen
69,7,5309.246206849812,20161026,Helena_Christensen
70,7,3513.2590027615693,20161102,Helena_Christensen
71,7,3322.0148902563114,20161108,Helena_Christensen
72,7,3180.767696392811,20161115,Helena_Christensen
73,7,2546.2323228330833,20161122,Helena_Christensen
74,7,3054.295771123049,20161129,Helena_Christensen
75,7,3151.0632534016586,20161206,Helena_Christensen
76,7,2974.110888488122,20161213,Helena_Christensen
77,7,3571.311149700986,20161220,Helena_Christensen
78,7,3014.1413024363155,20161227,Helena_Christensen
79,7,2283.007920940356,20170103,Helena_Christensen
80,7,1961.4582419959831,20170110,Helena_Christensen
81,7,1792.5298556068228,20170117,Helena_Christensen
82,7,1934.3783484269438,20170124,Helena_Christensen
83,7,1979.702330279214,20170131,Helena_Christensen
84,7,2145.174809327978,20170207,Helena_Christensen
85,7,2084.2645529668625,20170214,Helena_Christensen
86,7,2883.639481893013,20170221,Helena_Christensen
87,7,2223.403767396708,20170228,Helena_Christensen
88,7,1851.9177918872565,20170307,Helena_Christensen
89,7,1822.6275862222678,20170315,Helena_Christensen
90,7,2939.8386858330837,20170322,Helena_Christensen
91,7,2063.561264262149,20170329,Helena_Christensen
92,7,2492.7169231548037,20170405,Helena_Christensen
93,7,2101.089781862866,20170412,Helena_Christensen
94,7,1723.410288856865,20170419,Helena_Christensen
95,7,1519.2530984418634,20170426,Helena_Christensen
96,7,1490.5238711444242,20170503,Helena_Christensen
97,7,1469.848330649239,20170510,Helena_Christensen
98,7,1459.66323801983,20170517,Helena_Christensen
99,7,1422.2437584162915,20170524,Helena_Christensen
100,7,1211.8903872217686,20170531,Helena_Christensen
101,7,1332.1168000442817,20170607,Helena_Christensen
102,7,1294.5493853348476,20170614,Helena_Christensen
103,7,1181.0942681815031,20170621,Helena_Christensen
104,7,1216.8076027026134,20170628,Helena_Christensen
105,7,1192.154183717334,20170705,Helena_Christensen
106,7,1203.3749342031842,20170712,Helena_Christensen
107,7,1240.0663979865265,20170719,Helena_Christensen
108,7,1264.3116112274222,20170726,Helena_Christensen
109,7,1292.6456117441926,20170802,Helena_Christensen
110,7,1460.6690617273002,20170809,Helena_Christensen
111,7,1205.9991216865776,20170816,Helena_Christensen
112,7,1308.4020632920397,20170823,Helena_Christensen
113,7,1208.0175604065653,20170830,Helena_Christensen
114,7,2393.697449081556,20170906,Helena_Christensen
115,7,1622.3708123053848,20170913,Helena_Christensen
116,7,3939.763197233867,20170920,Helena_Christensen
117,7,1999.735096231411,20170927,Helena_Christensen
118,7,1662.6817253390038,20171004,Helena_Christensen
119,7,2030.755360990157,20171011,Helena_Christensen
120,7,2043.3976013660713,20171018,Helena_Christensen
121,7,2131.788662277477,20171025,Helena_Christensen
122,7,1994.4733305683098,20171101,Helena_Christensen
123,7,2401.6614507001154,20171107,Helena_Christensen
124,7,1905.61428600895,20171114,Helena_Christensen
125,7,1795.9806042134264,20171121,Helena_Christensen
126,7,1801.3113318469343,20171128,Helena_Christensen
127,7,2057.7542477430843,20171205,Helena_Christensen
128,7,1533.2816626578178,20171212,Helena_Christensen
129,7,1469.5897485254486,20171219,Helena_Christensen
130,7,1622.3944751438682,20171226,Helena_Christensen
131,7,1678.0310037809472,20180102,Helena_Christensen
132,7,1775.5975068138007,20180109,Helena_Christensen
133,7,1343.8048973408906,20180116,Helena_Christensen
134,7,1520.9401034494906,20180123,Helena_Christensen
135,7,1170.035854787888,20180130,Helena_Christensen
136,7,1112.1702699746818,20180206,Helena_Christensen
137,7,1196.4711858461285,20180213,Helena_Christensen
138,7,1146.5465171206172,20180220,Helena_Christensen
139,7,1187.670891471165,20180227,Helena_Christensen
140,7,1374.1889554488746,20180306,Helena_Christensen
141,7,1710.8171396357181,20180314,Helena_Christensen
142,7,1511.9883135120097,20180321,Helena_Christensen
143,7,1928.323681467756,20180328,Helena_Christensen
144,7,2028.9915748286653,20180404,Helena_Christensen
145,7,1519.0079911341454,20180411,Helena_Christensen
146,7,1339.1425706828863,20180418,Helena_Christensen
147,7,1232.0122502593256,20180425,Helena_Christensen
148,7,1234.2135874327557,20180502,Helena_Christensen
149,7,1306.0010241332245,20180509,Helena_Christensen
150,7,1314.441790137092,20180516,Helena_Christensen
151,7,1200.1538283659293,20180523,Helena_Christensen
152,7,2480.9465513337327,20180530,Helena_Christensen
153,7,2341.6886963127085,20180606,Helena_Christensen
154,7,1771.2436036177203,20180613,Helena_Christensen
155,7,1438.7329271088497,20180620,Helena_Christensen
156,7,1873.9502120931525,20180627,Helena_Christensen
157,7,1757.6515913314136,20180704,Helena_Christensen
158,7,1642.9200635935674,20180711,Helena_Christensen
159,7,1974.1689638946045,20180718,Helena_Christensen
160,7,2068.8514097269085,20180725,Helena_Christensen
161,7,1752.6637806597007,20180801,Helena_Christensen
162,7,1681.8856022288903,20180808,Helena_Christensen
163,7,1849.186251845043,20180815,Helena_Christensen
164,7,1818.1119033415496,20180822,Helena_Christensen
165,7,1394.6971129505691,20180829,Helena_Christensen
166,7,1247.5057183410738,20180905,Helena_Christensen
167,7,1214.5720940280469,20180912,Helena_Christensen
