bin,binSize,median,timestamp,article
0,7,939,20150701,Jack_Swagger
1,7,955,20150708,Jack_Swagger
2,7,1325,20150715,Jack_Swagger
3,7,1040,20150722,Jack_Swagger
4,7,1394,20150729,Jack_Swagger
5,7,1036,20150805,Jack_Swagger
6,7,1089,20150812,Jack_Swagger
7,7,1072,20150819,Jack_Swagger
8,7,1216,20150826,Jack_Swagger
9,7,1168,20150902,Jack_Swagger
10,7,1138,20150909,Jack_Swagger
11,7,1289,20150916,Jack_Swagger
12,7,1193,20150923,Jack_Swagger
13,7,1006,20150930,Jack_Swagger
14,7,1074,20151007,Jack_Swagger
15,7,930,20151014,Jack_Swagger
16,7,936,20151021,Jack_Swagger
17,7,1678,20151028,Jack_Swagger
18,7,1886,20151103,Jack_Swagger
19,7,1079,20151110,Jack_Swagger
20,7,976,20151117,Jack_Swagger
21,7,1855,20151124,Jack_Swagger
22,7,1028,20151201,Jack_Swagger
23,7,2220,20151208,Jack_Swagger
24,7,1119,20151215,Jack_Swagger
25,7,1059,20151222,Jack_Swagger
26,7,940,20151229,Jack_Swagger
27,7,864,20160105,Jack_Swagger
28,7,830,20160112,Jack_Swagger
29,7,1190,20160119,Jack_Swagger
30,7,1044,20160126,Jack_Swagger
31,7,850,20160202,Jack_Swagger
32,7,820,20160209,Jack_Swagger
33,7,811,20160216,Jack_Swagger
34,7,775,20160223,Jack_Swagger
35,7,746,20160301,Jack_Swagger
36,7,854,20160308,Jack_Swagger
37,7,910,20160316,Jack_Swagger
38,7,886,20160323,Jack_Swagger
39,7,1074,20160330,Jack_Swagger
40,7,967,20160406,Jack_Swagger
41,7,835,20160413,Jack_Swagger
42,7,1385,20160420,Jack_Swagger
43,7,1018,20160427,Jack_Swagger
44,7,975,20160504,Jack_Swagger
45,7,830,20160511,Jack_Swagger
46,7,830,20160518,Jack_Swagger
47,7,1008,20160525,Jack_Swagger
48,7,1323,20160601,Jack_Swagger
49,7,1200,20160608,Jack_Swagger
50,7,893,20160615,Jack_Swagger
51,7,733,20160622,Jack_Swagger
