bin,binSize,median,article
0,7,920,Jacqueline_Bisset
1,7,974,Jacqueline_Bisset
2,7,1018,Jacqueline_Bisset
3,7,993,Jacqueline_Bisset
4,7,1105,Jacqueline_Bisset
5,7,1195,Jacqueline_Bisset
6,7,1153,Jacqueline_Bisset
7,7,1197,Jacqueline_Bisset
8,7,1109,Jacqueline_Bisset
9,7,1254,Jacqueline_Bisset
10,7,1079,Jacqueline_Bisset
11,7,1113,Jacqueline_Bisset
12,7,1121,Jacqueline_Bisset
13,7,1157,Jacqueline_Bisset
14,7,1118,Jacqueline_Bisset
15,7,901,Jacqueline_Bisset
16,7,1156,Jacqueline_Bisset
17,7,1283,Jacqueline_Bisset
18,7,1433,Jacqueline_Bisset
19,7,1184,Jacqueline_Bisset
20,7,956,Jacqueline_Bisset
21,7,1137,Jacqueline_Bisset
22,7,1152,Jacqueline_Bisset
23,7,1748,Jacqueline_Bisset
24,7,1201,Jacqueline_Bisset
25,7,1301,Jacqueline_Bisset
26,7,1630,Jacqueline_Bisset
27,7,1366,Jacqueline_Bisset
28,7,1348,Jacqueline_Bisset
29,7,1130,Jacqueline_Bisset
30,7,1271,Jacqueline_Bisset
31,7,1184,Jacqueline_Bisset
32,7,1350,Jacqueline_Bisset
33,7,1077,Jacqueline_Bisset
34,7,1183,Jacqueline_Bisset
35,7,1213,Jacqueline_Bisset
36,7,1001,Jacqueline_Bisset
37,7,1247,Jacqueline_Bisset
38,7,1315,Jacqueline_Bisset
39,7,1167,Jacqueline_Bisset
40,7,1258,Jacqueline_Bisset
41,7,1077,Jacqueline_Bisset
42,7,1051,Jacqueline_Bisset
43,7,1122,Jacqueline_Bisset
44,7,1002,Jacqueline_Bisset
45,7,1152,Jacqueline_Bisset
46,7,1339,Jacqueline_Bisset
47,7,1152,Jacqueline_Bisset
48,7,1070,Jacqueline_Bisset
49,7,1074,Jacqueline_Bisset
50,7,1215,Jacqueline_Bisset
51,7,1468,Jacqueline_Bisset
52,7,1415,Jacqueline_Bisset
53,7,1270,Jacqueline_Bisset
54,7,1727,Jacqueline_Bisset
55,7,1505,Jacqueline_Bisset
56,7,1423,Jacqueline_Bisset
57,7,1246,Jacqueline_Bisset
58,7,1163,Jacqueline_Bisset
59,7,1142,Jacqueline_Bisset
60,7,1542,Jacqueline_Bisset
61,7,1262,Jacqueline_Bisset
62,7,1524,Jacqueline_Bisset
63,7,1524,Jacqueline_Bisset
64,7,2324,Jacqueline_Bisset
65,7,1848,Jacqueline_Bisset
66,7,1145,Jacqueline_Bisset
67,7,1181,Jacqueline_Bisset
68,7,1253,Jacqueline_Bisset
69,7,1433,Jacqueline_Bisset
70,7,1056,Jacqueline_Bisset
71,7,1123,Jacqueline_Bisset
72,7,1385,Jacqueline_Bisset
73,7,1280,Jacqueline_Bisset
74,7,1316,Jacqueline_Bisset
75,7,1353,Jacqueline_Bisset
76,7,1321,Jacqueline_Bisset
77,7,1280,Jacqueline_Bisset
78,7,1583,Jacqueline_Bisset
79,7,1516,Jacqueline_Bisset
80,7,1322,Jacqueline_Bisset
81,7,1275,Jacqueline_Bisset
82,7,1233,Jacqueline_Bisset
83,7,1996,Jacqueline_Bisset
84,7,1634,Jacqueline_Bisset
85,7,1196,Jacqueline_Bisset
86,7,1307,Jacqueline_Bisset
87,7,1410,Jacqueline_Bisset
88,7,1333,Jacqueline_Bisset
89,7,1361,Jacqueline_Bisset
90,7,1175,Jacqueline_Bisset
91,7,1281,Jacqueline_Bisset
92,7,1186,Jacqueline_Bisset
93,7,1358,Jacqueline_Bisset
94,7,1260,Jacqueline_Bisset
95,7,1154,Jacqueline_Bisset
96,7,1448,Jacqueline_Bisset
97,7,1268,Jacqueline_Bisset
98,7,1292,Jacqueline_Bisset
99,7,1590,Jacqueline_Bisset
100,7,1443,Jacqueline_Bisset
101,7,1310,Jacqueline_Bisset
102,7,1776,Jacqueline_Bisset
103,7,1311,Jacqueline_Bisset
104,7,1207,Jacqueline_Bisset
105,7,1329,Jacqueline_Bisset
106,7,1283,Jacqueline_Bisset
107,7,1434,Jacqueline_Bisset
108,7,1421,Jacqueline_Bisset
109,7,1443,Jacqueline_Bisset
110,7,1429,Jacqueline_Bisset
111,7,1240,Jacqueline_Bisset
112,7,1157,Jacqueline_Bisset
113,7,1226,Jacqueline_Bisset
114,7,1769,Jacqueline_Bisset
115,7,1912,Jacqueline_Bisset
116,7,1250,Jacqueline_Bisset
117,7,1395,Jacqueline_Bisset
118,7,1195,Jacqueline_Bisset
119,7,1344,Jacqueline_Bisset
120,7,1399,Jacqueline_Bisset
121,7,1387,Jacqueline_Bisset
122,7,1543,Jacqueline_Bisset
123,7,1755,Jacqueline_Bisset
124,7,2088,Jacqueline_Bisset
125,7,2112,Jacqueline_Bisset
126,7,1562,Jacqueline_Bisset
127,7,1574,Jacqueline_Bisset
128,7,1436,Jacqueline_Bisset
129,7,1397,Jacqueline_Bisset
130,7,1886,Jacqueline_Bisset
131,7,1632,Jacqueline_Bisset
132,7,1505,Jacqueline_Bisset
133,7,1762,Jacqueline_Bisset
134,7,1807,Jacqueline_Bisset
135,7,1464,Jacqueline_Bisset
136,7,1447,Jacqueline_Bisset
137,7,1791,Jacqueline_Bisset
138,7,1427,Jacqueline_Bisset
139,7,1244,Jacqueline_Bisset
140,7,1660,Jacqueline_Bisset
141,7,1442,Jacqueline_Bisset
142,7,1344,Jacqueline_Bisset
143,7,1431,Jacqueline_Bisset
144,7,1168,Jacqueline_Bisset
145,7,1317,Jacqueline_Bisset
146,7,1432,Jacqueline_Bisset
147,7,1057,Jacqueline_Bisset
148,7,1161,Jacqueline_Bisset
149,7,1448,Jacqueline_Bisset
150,7,1038,Jacqueline_Bisset
151,7,1162,Jacqueline_Bisset
152,7,1235,Jacqueline_Bisset
153,7,1170,Jacqueline_Bisset
154,7,1266,Jacqueline_Bisset
155,7,1229,Jacqueline_Bisset
156,7,1248,Jacqueline_Bisset
157,7,1642,Jacqueline_Bisset
158,7,1807,Jacqueline_Bisset
159,7,1528,Jacqueline_Bisset
160,7,1711,Jacqueline_Bisset
161,7,1350,Jacqueline_Bisset
162,7,1233,Jacqueline_Bisset
163,7,1283,Jacqueline_Bisset
164,7,1372,Jacqueline_Bisset
165,7,1358,Jacqueline_Bisset
166,7,1567,Jacqueline_Bisset
167,7,2339.5,Jacqueline_Bisset
