bin,binSize,median,article,timestamp
0,7,245,James_Mangold,20150701
1,7,228,James_Mangold,20150701
2,7,267,James_Mangold,20150701
3,7,238,James_Mangold,20150701
4,7,275,James_Mangold,20150701
5,7,270,James_Mangold,20150701
6,7,311,James_Mangold,20150701
7,7,306,James_Mangold,20150701
8,7,238,James_Mangold,20150701
9,7,227,James_Mangold,20150701
10,7,216,James_Mangold,20150701
11,7,220,James_Mangold,20150701
12,7,211,James_Mangold,20150701
13,7,198,James_Mangold,20150701
14,7,198,James_Mangold,20150701
15,7,187,James_Mangold,20150701
16,7,190,James_Mangold,20150701
17,7,203,James_Mangold,20150701
18,7,209,James_Mangold,20150701
19,7,193,James_Mangold,20150701
20,7,213,James_Mangold,20150701
21,7,260,James_Mangold,20150701
22,7,237,James_Mangold,20150701
23,7,303,James_Mangold,20150701
24,7,246,James_Mangold,20150701
25,7,242,James_Mangold,20150701
26,7,261,James_Mangold,20150701
27,7,287,James_Mangold,20150701
28,7,316,James_Mangold,20150701
29,7,277,James_Mangold,20150701
30,7,313,James_Mangold,20150701
31,7,256,James_Mangold,20150701
32,7,289,James_Mangold,20150701
33,7,392,James_Mangold,20150701
34,7,391,James_Mangold,20150701
35,7,312,James_Mangold,20150701
36,7,262,James_Mangold,20150701
37,7,267,James_Mangold,20150701
38,7,250,James_Mangold,20150701
39,7,220,James_Mangold,20150701
40,7,251,James_Mangold,20150701
41,7,221,James_Mangold,20150701
42,7,254,James_Mangold,20150701
43,7,304,James_Mangold,20150701
44,7,345,James_Mangold,20150701
45,7,526,James_Mangold,20150701
46,7,620,James_Mangold,20150701
47,7,742,James_Mangold,20150701
48,7,580,James_Mangold,20150701
49,7,518,James_Mangold,20150701
50,7,338,James_Mangold,20150701
51,7,317,James_Mangold,20150701
52,7,368,James_Mangold,20150701
53,7,315,James_Mangold,20150701
54,7,323,James_Mangold,20150701
55,7,320,James_Mangold,20150701
56,7,342,James_Mangold,20150701
57,7,290,James_Mangold,20150701
58,7,358,James_Mangold,20150701
59,7,341,James_Mangold,20150701
60,7,318,James_Mangold,20150701
61,7,321,James_Mangold,20150701
62,7,400,James_Mangold,20150701
63,7,372,James_Mangold,20150701
64,7,355,James_Mangold,20150701
65,7,300,James_Mangold,20150701
66,7,803,James_Mangold,20150701
67,7,559,James_Mangold,20150701
68,7,2709,James_Mangold,20150701
69,7,771,James_Mangold,20150701
70,7,579,James_Mangold,20150701
71,7,476,James_Mangold,20150701
72,7,483,James_Mangold,20150701
73,7,469,James_Mangold,20150701
74,7,412,James_Mangold,20150701
75,7,493,James_Mangold,20150701
76,7,502,James_Mangold,20150701
77,7,400,James_Mangold,20150701
78,7,792,James_Mangold,20150701
79,7,738,James_Mangold,20150701
80,7,698,James_Mangold,20150701
81,7,1648,James_Mangold,20150701
82,7,786,James_Mangold,20150701
83,7,784,James_Mangold,20150701
84,7,1069,James_Mangold,20150701
85,7,2996,James_Mangold,20150701
86,7,2801,James_Mangold,20150701
87,7,15209,James_Mangold,20150701
88,7,7232,James_Mangold,20150701
89,7,3494,James_Mangold,20150701
90,7,2162,James_Mangold,20150701
91,7,1231,James_Mangold,20150701
92,7,945,James_Mangold,20150701
93,7,1638,James_Mangold,20150701
94,7,1072,James_Mangold,20150701
95,7,867,James_Mangold,20150701
96,7,771,James_Mangold,20150701
97,7,781,James_Mangold,20150701
98,7,1380,James_Mangold,20150701
99,7,2150,James_Mangold,20150701
100,7,1348,James_Mangold,20150701
101,7,1003,James_Mangold,20150701
102,7,857,James_Mangold,20150701
103,7,837,James_Mangold,20150701
104,7,820,James_Mangold,20150701
105,7,784,James_Mangold,20150701
106,7,730,James_Mangold,20150701
107,7,646,James_Mangold,20150701
108,7,564,James_Mangold,20150701
109,7,558,James_Mangold,20150701
110,7,524,James_Mangold,20150701
111,7,500,James_Mangold,20150701
112,7,481,James_Mangold,20150701
113,7,475,James_Mangold,20150701
114,7,454,James_Mangold,20150701
115,7,496,James_Mangold,20150701
116,7,426,James_Mangold,20150701
117,7,390,James_Mangold,20150701
118,7,427,James_Mangold,20150701
119,7,455,James_Mangold,20150701
120,7,436,James_Mangold,20150701
121,7,467,James_Mangold,20150701
122,7,522,James_Mangold,20150701
123,7,523,James_Mangold,20150701
124,7,502,James_Mangold,20150701
125,7,626,James_Mangold,20150701
126,7,649,James_Mangold,20150701
127,7,656,James_Mangold,20150701
128,7,950,James_Mangold,20150701
129,7,881,James_Mangold,20150701
130,7,1113,James_Mangold,20150701
131,7,1141,James_Mangold,20150701
132,7,1006,James_Mangold,20150701
133,7,808,James_Mangold,20150701
134,7,985,James_Mangold,20150701
135,7,809,James_Mangold,20150701
136,7,779,James_Mangold,20150701
137,7,658,James_Mangold,20150701
138,7,634,James_Mangold,20150701
139,7,705,James_Mangold,20150701
140,7,625,James_Mangold,20150701
141,7,564,James_Mangold,20150701
142,7,639,James_Mangold,20150701
143,7,586,James_Mangold,20150701
144,7,502,James_Mangold,20150701
145,7,502,James_Mangold,20150701
146,7,514,James_Mangold,20150701
147,7,514,James_Mangold,20150701
148,7,515,James_Mangold,20150701
149,7,585,James_Mangold,20150701
150,7,721,James_Mangold,20150701
151,7,2332,James_Mangold,20150701
152,7,1282,James_Mangold,20150701
153,7,689,James_Mangold,20150701
154,7,653,James_Mangold,20150701
155,7,645,James_Mangold,20150701
156,7,538,James_Mangold,20150701
157,7,657,James_Mangold,20150701
158,7,626,James_Mangold,20150701
159,7,539,James_Mangold,20150701
160,7,594,James_Mangold,20150701
161,7,540,James_Mangold,20150701
162,7,628,James_Mangold,20150701
163,7,636,James_Mangold,20150701
164,7,644,James_Mangold,20150701
165,7,576,James_Mangold,20150701
166,7,508,James_Mangold,20150701
167,7,524.5,James_Mangold,20150701
