bin,binSize,median,article,timestamp
0,7,806,Jean_Stapleton,20150701
1,7,936,Jean_Stapleton,20150701
2,7,801,Jean_Stapleton,20150701
3,7,908,Jean_Stapleton,20150701
4,7,881,Jean_Stapleton,20150701
5,7,1032,Jean_Stapleton,20150701
6,7,1076,Jean_Stapleton,20150701
7,7,1050,Jean_Stapleton,20150701
8,7,1001,Jean_Stapleton,20150701
9,7,1103,Jean_Stapleton,20150701
10,7,1046,Jean_Stapleton,20150701
11,7,1062,Jean_Stapleton,20150701
12,7,968,Jean_Stapleton,20150701
13,7,1012,Jean_Stapleton,20150701
14,7,1024,Jean_Stapleton,20150701
15,7,1050,Jean_Stapleton,20150701
16,7,1156,Jean_Stapleton,20150701
17,7,958,Jean_Stapleton,20150701
18,7,1103,Jean_Stapleton,20150701
19,7,1101,Jean_Stapleton,20150701
20,7,1076,Jean_Stapleton,20150701
21,7,1175,Jean_Stapleton,20150701
22,7,1032,Jean_Stapleton,20150701
23,7,1092,Jean_Stapleton,20150701
24,7,1089,Jean_Stapleton,20150701
25,7,1301,Jean_Stapleton,20150701
26,7,1341,Jean_Stapleton,20150701
27,7,1131,Jean_Stapleton,20150701
28,7,1166,Jean_Stapleton,20150701
29,7,1536,Jean_Stapleton,20150701
30,7,6810,Jean_Stapleton,20150701
31,7,1425,Jean_Stapleton,20150701
32,7,1090,Jean_Stapleton,20150701
33,7,1001,Jean_Stapleton,20150701
34,7,1040,Jean_Stapleton,20150701
35,7,948,Jean_Stapleton,20150701
36,7,877,Jean_Stapleton,20150701
37,7,754,Jean_Stapleton,20150701
38,7,1046,Jean_Stapleton,20150701
39,7,1046,Jean_Stapleton,20150701
40,7,988,Jean_Stapleton,20150701
41,7,1167,Jean_Stapleton,20150701
42,7,908,Jean_Stapleton,20150701
43,7,1260,Jean_Stapleton,20150701
44,7,1114,Jean_Stapleton,20150701
45,7,997,Jean_Stapleton,20150701
46,7,943,Jean_Stapleton,20150701
47,7,1411,Jean_Stapleton,20150701
48,7,1452,Jean_Stapleton,20150701
49,7,1192,Jean_Stapleton,20150701
50,7,1225,Jean_Stapleton,20150701
51,7,1145,Jean_Stapleton,20150701
52,7,1500,Jean_Stapleton,20150701
53,7,1394,Jean_Stapleton,20150701
54,7,1285,Jean_Stapleton,20150701
55,7,1390,Jean_Stapleton,20150701
56,7,1347,Jean_Stapleton,20150701
57,7,1445,Jean_Stapleton,20150701
58,7,1125,Jean_Stapleton,20150701
59,7,1185,Jean_Stapleton,20150701
60,7,1061,Jean_Stapleton,20150701
61,7,1240,Jean_Stapleton,20150701
62,7,1054,Jean_Stapleton,20150701
63,7,1069,Jean_Stapleton,20150701
64,7,973,Jean_Stapleton,20150701
65,7,1094,Jean_Stapleton,20150701
66,7,1180,Jean_Stapleton,20150701
67,7,1360,Jean_Stapleton,20150701
68,7,1316,Jean_Stapleton,20150701
69,7,2638,Jean_Stapleton,20150701
70,7,1619,Jean_Stapleton,20150701
71,7,1097,Jean_Stapleton,20150701
72,7,1296,Jean_Stapleton,20150701
73,7,1597,Jean_Stapleton,20150701
74,7,1129,Jean_Stapleton,20150701
75,7,1114,Jean_Stapleton,20150701
76,7,1199,Jean_Stapleton,20150701
77,7,1256,Jean_Stapleton,20150701
78,7,1352,Jean_Stapleton,20150701
79,7,1226,Jean_Stapleton,20150701
80,7,1297,Jean_Stapleton,20150701
81,7,1100,Jean_Stapleton,20150701
82,7,1202,Jean_Stapleton,20150701
83,7,999,Jean_Stapleton,20150701
84,7,1080,Jean_Stapleton,20150701
85,7,1010,Jean_Stapleton,20150701
86,7,1127,Jean_Stapleton,20150701
87,7,1023,Jean_Stapleton,20150701
88,7,1006,Jean_Stapleton,20150701
89,7,1508,Jean_Stapleton,20150701
90,7,1234,Jean_Stapleton,20150701
91,7,1113,Jean_Stapleton,20150701
92,7,965,Jean_Stapleton,20150701
93,7,986,Jean_Stapleton,20150701
94,7,971,Jean_Stapleton,20150701
95,7,878,Jean_Stapleton,20150701
96,7,866,Jean_Stapleton,20150701
97,7,958,Jean_Stapleton,20150701
98,7,895,Jean_Stapleton,20150701
99,7,909,Jean_Stapleton,20150701
100,7,966,Jean_Stapleton,20150701
101,7,863,Jean_Stapleton,20150701
102,7,831,Jean_Stapleton,20150701
103,7,1021,Jean_Stapleton,20150701
104,7,883,Jean_Stapleton,20150701
105,7,992,Jean_Stapleton,20150701
106,7,893,Jean_Stapleton,20150701
107,7,952,Jean_Stapleton,20150701
108,7,946,Jean_Stapleton,20150701
109,7,1010,Jean_Stapleton,20150701
110,7,873,Jean_Stapleton,20150701
111,7,930,Jean_Stapleton,20150701
112,7,1061,Jean_Stapleton,20150701
113,7,1118,Jean_Stapleton,20150701
114,7,870,Jean_Stapleton,20150701
115,7,968,Jean_Stapleton,20150701
116,7,978,Jean_Stapleton,20150701
117,7,870,Jean_Stapleton,20150701
118,7,777,Jean_Stapleton,20150701
119,7,856,Jean_Stapleton,20150701
120,7,771,Jean_Stapleton,20150701
121,7,845,Jean_Stapleton,20150701
122,7,943,Jean_Stapleton,20150701
123,7,839,Jean_Stapleton,20150701
124,7,809,Jean_Stapleton,20150701
125,7,3482,Jean_Stapleton,20150701
126,7,1023,Jean_Stapleton,20150701
127,7,926,Jean_Stapleton,20150701
128,7,768,Jean_Stapleton,20150701
129,7,998,Jean_Stapleton,20150701
130,7,1147,Jean_Stapleton,20150701
131,7,1066,Jean_Stapleton,20150701
132,7,1089,Jean_Stapleton,20150701
133,7,1087,Jean_Stapleton,20150701
134,7,1008,Jean_Stapleton,20150701
135,7,1053,Jean_Stapleton,20150701
136,7,1047,Jean_Stapleton,20150701
137,7,802,Jean_Stapleton,20150701
138,7,949,Jean_Stapleton,20150701
139,7,1023,Jean_Stapleton,20150701
140,7,888,Jean_Stapleton,20150701
141,7,817,Jean_Stapleton,20150701
142,7,904,Jean_Stapleton,20150701
143,7,892,Jean_Stapleton,20150701
144,7,818,Jean_Stapleton,20150701
145,7,783,Jean_Stapleton,20150701
146,7,753,Jean_Stapleton,20150701
147,7,758,Jean_Stapleton,20150701
148,7,940,Jean_Stapleton,20150701
149,7,897,Jean_Stapleton,20150701
150,7,784,Jean_Stapleton,20150701
151,7,831,Jean_Stapleton,20150701
152,7,1017,Jean_Stapleton,20150701
153,7,850,Jean_Stapleton,20150701
154,7,973,Jean_Stapleton,20150701
155,7,961,Jean_Stapleton,20150701
156,7,890,Jean_Stapleton,20150701
157,7,940,Jean_Stapleton,20150701
158,7,1016,Jean_Stapleton,20150701
159,7,1012,Jean_Stapleton,20150701
160,7,1242,Jean_Stapleton,20150701
161,7,1204,Jean_Stapleton,20150701
162,7,1115,Jean_Stapleton,20150701
163,7,1047,Jean_Stapleton,20150701
164,7,1086,Jean_Stapleton,20150701
165,7,887,Jean_Stapleton,20150701
166,7,861,Jean_Stapleton,20150701
