bin,binSize,median,timestamp,article
0,7,0,20150702,Jess_Origliasso
1,7,0,20150709,Jess_Origliasso
2,7,0,20150716,Jess_Origliasso
3,7,0,20150723,Jess_Origliasso
4,7,0,20150730,Jess_Origliasso
5,7,0,20150806,Jess_Origliasso
6,7,0,20150813,Jess_Origliasso
7,7,0,20150820,Jess_Origliasso
8,7,0,20150827,Jess_Origliasso
9,7,0,20150903,Jess_Origliasso
10,7,0,20150910,Jess_Origliasso
11,7,0,20150917,Jess_Origliasso
12,7,0,20150924,Jess_Origliasso
13,7,0,20151001,Jess_Origliasso
14,7,0,20151008,Jess_Origliasso
15,7,0,20151015,Jess_Origliasso
16,7,0,20151022,Jess_Origliasso
17,7,0,20151029,Jess_Origliasso
18,7,0,20151104,Jess_Origliasso
19,7,0,20151111,Jess_Origliasso
20,7,0,20151118,Jess_Origliasso
21,7,0,20151125,Jess_Origliasso
22,7,0,20151202,Jess_Origliasso
23,7,0,20151209,Jess_Origliasso
24,7,0,20151216,Jess_Origliasso
25,7,1,20151223,Jess_Origliasso
26,7,0,20151230,Jess_Origliasso
27,7,0,20160106,Jess_Origliasso
28,7,0,20160113,Jess_Origliasso
29,7,0,20160120,Jess_Origliasso
30,7,0,20160127,Jess_Origliasso
31,7,0,20160203,Jess_Origliasso
32,7,0,20160210,Jess_Origliasso
33,7,0,20160217,Jess_Origliasso
34,7,0,20160224,Jess_Origliasso
35,7,0,20160302,Jess_Origliasso
36,7,0,20160309,Jess_Origliasso
37,7,0,20160317,Jess_Origliasso
38,7,0,20160324,Jess_Origliasso
39,7,0,20160331,Jess_Origliasso
40,7,0,20160407,Jess_Origliasso
41,7,0,20160414,Jess_Origliasso
42,7,0,20160421,Jess_Origliasso
43,7,0,20160428,Jess_Origliasso
44,7,0,20160505,Jess_Origliasso
45,7,0,20160512,Jess_Origliasso
46,7,0,20160519,Jess_Origliasso
47,7,0,20160526,Jess_Origliasso
48,7,0,20160602,Jess_Origliasso
49,7,0,20160609,Jess_Origliasso
50,7,0,20160616,Jess_Origliasso
51,7,1,20160623,Jess_Origliasso
52,7,0,20160630,Jess_Origliasso
53,7,0,20160707,Jess_Origliasso
54,7,1,20160714,Jess_Origliasso
55,7,0,20160721,Jess_Origliasso
56,7,0,20160728,Jess_Origliasso
57,7,0,20160804,Jess_Origliasso
58,7,0,20160811,Jess_Origliasso
59,7,0,20160818,Jess_Origliasso
60,7,0,20160825,Jess_Origliasso
61,7,0,20160901,Jess_Origliasso
62,7,0,20160908,Jess_Origliasso
63,7,0,20160915,Jess_Origliasso
64,7,0,20160922,Jess_Origliasso
65,7,0,20160929,Jess_Origliasso
66,7,0,20161006,Jess_Origliasso
67,7,0,20161013,Jess_Origliasso
68,7,0,20161020,Jess_Origliasso
69,7,0,20161027,Jess_Origliasso
70,7,0,20161103,Jess_Origliasso
71,7,2,20161109,Jess_Origliasso
72,7,3,20161116,Jess_Origliasso
73,7,2,20161123,Jess_Origliasso
74,7,0,20161130,Jess_Origliasso
75,7,1,20161207,Jess_Origliasso
76,7,1,20161214,Jess_Origliasso
77,7,0,20161221,Jess_Origliasso
78,7,0,20161228,Jess_Origliasso
79,7,0,20170104,Jess_Origliasso
80,7,0,20170111,Jess_Origliasso
81,7,1,20170118,Jess_Origliasso
82,7,0,20170125,Jess_Origliasso
83,7,1,20170201,Jess_Origliasso
84,7,1,20170208,Jess_Origliasso
85,7,0,20170215,Jess_Origliasso
86,7,0,20170222,Jess_Origliasso
87,7,1,20170301,Jess_Origliasso
88,7,0,20170308,Jess_Origliasso
89,7,0,20170316,Jess_Origliasso
90,7,0,20170323,Jess_Origliasso
91,7,0,20170330,Jess_Origliasso
92,7,0,20170406,Jess_Origliasso
93,7,0,20170413,Jess_Origliasso
94,7,0,20170420,Jess_Origliasso
95,7,0,20170427,Jess_Origliasso
96,7,0,20170504,Jess_Origliasso
97,7,0,20170511,Jess_Origliasso
98,7,0,20170518,Jess_Origliasso
99,7,0,20170525,Jess_Origliasso
100,7,0,20170601,Jess_Origliasso
101,7,0,20170608,Jess_Origliasso
102,7,0,20170615,Jess_Origliasso
103,7,0,20170622,Jess_Origliasso
104,7,0,20170629,Jess_Origliasso
105,7,0,20170706,Jess_Origliasso
106,7,0,20170713,Jess_Origliasso
107,7,0,20170720,Jess_Origliasso
108,7,0,20170727,Jess_Origliasso
109,7,0,20170803,Jess_Origliasso
110,7,0,20170810,Jess_Origliasso
111,7,0,20170817,Jess_Origliasso
112,7,1,20170824,Jess_Origliasso
113,7,0,20170831,Jess_Origliasso
114,7,0,20170907,Jess_Origliasso
115,7,0,20170914,Jess_Origliasso
116,7,0,20170921,Jess_Origliasso
117,7,0,20170928,Jess_Origliasso
118,7,0,20171005,Jess_Origliasso
119,7,0,20171012,Jess_Origliasso
120,7,0,20171019,Jess_Origliasso
121,7,0,20171026,Jess_Origliasso
