bin,binSize,median,timestamp,article
0,7,604,20150701,Jimmy_Bennett
1,7,563,20150708,Jimmy_Bennett
2,7,512,20150715,Jimmy_Bennett
3,7,514,20150722,Jimmy_Bennett
4,7,475,20150729,Jimmy_Bennett
5,7,455,20150805,Jimmy_Bennett
6,7,485,20150812,Jimmy_Bennett
7,7,510,20150819,Jimmy_Bennett
8,7,457,20150826,Jimmy_Bennett
9,7,353,20150902,Jimmy_Bennett
10,7,434,20150909,Jimmy_Bennett
11,7,408,20150916,Jimmy_Bennett
12,7,450,20150923,Jimmy_Bennett
13,7,452,20150930,Jimmy_Bennett
14,7,423,20151007,Jimmy_Bennett
15,7,498,20151014,Jimmy_Bennett
16,7,423,20151021,Jimmy_Bennett
17,7,436,20151028,Jimmy_Bennett
18,7,389,20151103,Jimmy_Bennett
19,7,448,20151110,Jimmy_Bennett
20,7,410,20151117,Jimmy_Bennett
21,7,455,20151124,Jimmy_Bennett
22,7,711,20151201,Jimmy_Bennett
23,7,710,20151208,Jimmy_Bennett
24,7,864,20151215,Jimmy_Bennett
25,7,787,20151222,Jimmy_Bennett
26,7,731,20151229,Jimmy_Bennett
27,7,597,20160105,Jimmy_Bennett
28,7,539,20160112,Jimmy_Bennett
29,7,472,20160119,Jimmy_Bennett
30,7,501,20160126,Jimmy_Bennett
31,7,466,20160202,Jimmy_Bennett
32,7,513,20160209,Jimmy_Bennett
33,7,511,20160216,Jimmy_Bennett
34,7,379,20160223,Jimmy_Bennett
35,7,394,20160301,Jimmy_Bennett
36,7,404,20160308,Jimmy_Bennett
37,7,496,20160316,Jimmy_Bennett
38,7,427,20160323,Jimmy_Bennett
39,7,408,20160330,Jimmy_Bennett
40,7,416,20160406,Jimmy_Bennett
41,7,377,20160413,Jimmy_Bennett
42,7,419,20160420,Jimmy_Bennett
43,7,532,20160427,Jimmy_Bennett
44,7,446,20160504,Jimmy_Bennett
45,7,474,20160511,Jimmy_Bennett
46,7,682,20160518,Jimmy_Bennett
47,7,925,20160525,Jimmy_Bennett
48,7,983,20160601,Jimmy_Bennett
49,7,814,20160608,Jimmy_Bennett
50,7,723,20160615,Jimmy_Bennett
