bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,1896.4053761790478,14311.92878444392,20150701,Jimmy_Smits
1,7,2127.4594454222884,15559.475078091116,20150708,Jimmy_Smits
2,7,2087.6200489285757,14474.185871471582,20150715,Jimmy_Smits
3,7,2115.1249147692524,15005.4187507861,20150722,Jimmy_Smits
4,7,2009.3646257137643,14037.686126033661,20150729,Jimmy_Smits
5,7,2060.3742894926527,14396.108147601919,20150805,Jimmy_Smits
6,7,2314.8536673260423,16046.642100603165,20150812,Jimmy_Smits
7,7,2083.6742437592648,15435.622823696882,20150819,Jimmy_Smits
8,7,2074.321985225167,15125.252385008094,20150826,Jimmy_Smits
9,7,1928.48486410369,13632.708657406527,20150902,Jimmy_Smits
10,7,1793.1478384867341,12865.94670998829,20150909,Jimmy_Smits
11,7,1946.9625388304883,13949.473403091086,20150916,Jimmy_Smits
12,7,2056.7007740914783,13998.387990327377,20150923,Jimmy_Smits
13,7,1975.9798626731742,13609.703621814535,20150930,Jimmy_Smits
14,7,1855.853705849903,13149.643313448561,20151007,Jimmy_Smits
15,7,1913.056702143908,13596.258295102974,20151014,Jimmy_Smits
16,7,2016.5818834179192,13629.259384972665,20151021,Jimmy_Smits
17,7,1697.4962088882396,11919.81984400071,20151028,Jimmy_Smits
18,7,1692.3774165396942,12922.06606339986,20151103,Jimmy_Smits
19,7,1771.9318031806197,12841.428633525007,20151110,Jimmy_Smits
20,7,1712.6604266019106,12784.51698119577,20151117,Jimmy_Smits
21,7,1725.7276218955615,12569.090029350744,20151124,Jimmy_Smits
22,7,1933.1093079229115,13281.847419232867,20151201,Jimmy_Smits
23,7,2066.1828950508807,14519.82816917008,20151208,Jimmy_Smits
24,7,2706.5190907784636,18855.92424742371,20151215,Jimmy_Smits
25,7,3067.0693663435745,21319.644673877705,20151222,Jimmy_Smits
26,7,2928.7723434209406,20665.268151386572,20151229,Jimmy_Smits
27,7,2836.7277117755925,19203.366341477515,20160105,Jimmy_Smits
28,7,2118.2049176829296,14766.534666788317,20160112,Jimmy_Smits
29,7,2099.0178397944997,15363.299705560476,20160119,Jimmy_Smits
30,7,1932.6305364233585,13932.772914122894,20160126,Jimmy_Smits
31,7,1983.5007182624988,14552.32488307269,20160202,Jimmy_Smits
32,7,2035.6757538822799,14507.885923966116,20160209,Jimmy_Smits
33,7,1883.6957895692512,13933.196088901605,20160216,Jimmy_Smits
34,7,2498.27320619954,18613.903052785034,20160223,Jimmy_Smits
35,7,1818.517324588108,13276.29216173803,20160301,Jimmy_Smits
36,7,2023.7225472088212,14204.53998372294,20160308,Jimmy_Smits
37,7,1967.797289288845,15063.076369145881,20160316,Jimmy_Smits
38,7,1769.9012729367819,12374.485716111689,20160323,Jimmy_Smits
39,7,1724.2995664934879,12600.71149014594,20160330,Jimmy_Smits
40,7,1660.8049878070321,11887.790820615934,20160406,Jimmy_Smits
41,7,1486.8482320513135,10746.78078771104,20160413,Jimmy_Smits
42,7,1334.1964333493174,9854.015627919673,20160420,Jimmy_Smits
43,7,1568.96016459891,11044.342904957182,20160427,Jimmy_Smits
44,7,1516.5123600986,10841.104627074701,20160504,Jimmy_Smits
45,7,1959.3603076308539,12454.365415977725,20160511,Jimmy_Smits
46,7,1626.5044804702013,11857.350764403338,20160518,Jimmy_Smits
47,7,1591.6666457108684,11588.75005528231,20160525,Jimmy_Smits
48,7,1529.4807433242113,10749.898634964924,20160601,Jimmy_Smits
49,7,1496.3309213092857,11054.288158535133,20160608,Jimmy_Smits
50,7,1580.9563781209804,11700.212414989952,20160615,Jimmy_Smits
51,7,1601.6048546815678,11213.446823353377,20160622,Jimmy_Smits
52,7,1797.1518068657654,12170.373931283459,20160629,Jimmy_Smits
53,7,1696.095949845661,13015.54320845349,20160706,Jimmy_Smits
54,7,1876.377561169852,13262.823230858747,20160713,Jimmy_Smits
55,7,1607.298506169089,11496.120101327131,20160720,Jimmy_Smits
56,7,1609.2744838871338,11427.806279680872,20160727,Jimmy_Smits
57,7,2251.5428682139736,19829.553875961097,20160803,Jimmy_Smits
58,7,5605.2909391909125,35398.44183760536,20160810,Jimmy_Smits
59,7,4868.429487819068,33142.32270833127,20160817,Jimmy_Smits
60,7,3830.7371455146776,27681.3855901174,20160824,Jimmy_Smits
61,7,3264.7411582193727,23625.071344253887,20160831,Jimmy_Smits
62,7,2703.2823096881257,18873.98232700774,20160907,Jimmy_Smits
63,7,2833.7163702802636,25246.240756654497,20160914,Jimmy_Smits
64,7,2281.0163280172565,18198.05349990715,20160921,Jimmy_Smits
65,7,1957.5418170340783,14148.954478491456,20160928,Jimmy_Smits
66,7,1864.3417655099897,13147.709038674282,20161005,Jimmy_Smits
67,7,2063.2873889217412,15377.204600346806,20161012,Jimmy_Smits
68,7,1734.5800542489044,12831.730052544926,20161019,Jimmy_Smits
69,7,1902.899657903929,13870.851725157676,20161026,Jimmy_Smits
70,7,1704.1731550991817,12175.177705533053,20161102,Jimmy_Smits
71,7,1681.2404627883948,11677.176238775382,20161108,Jimmy_Smits
72,7,1854.7771095366916,15227.27897441103,20161115,Jimmy_Smits
73,7,4354.456013906214,28639.42500416205,20161122,Jimmy_Smits
74,7,2669.207098932053,18817.4297810546,20161129,Jimmy_Smits
75,7,2348.4089590730177,18898.52596158781,20161206,Jimmy_Smits
76,7,9461.423756242573,54586.69286892058,20161213,Jimmy_Smits
77,7,6339.921379203855,45553.22468640093,20161220,Jimmy_Smits
78,7,6223.535391414154,44406.31510871026,20161227,Jimmy_Smits
79,7,4183.128670477458,30077.731924901633,20170103,Jimmy_Smits
80,7,2984.075514865755,22412.32406393791,20170110,Jimmy_Smits
81,7,2581.8979695446124,30879.947621166157,20170117,Jimmy_Smits
82,7,2843.6741464034903,22523.183512612442,20170124,Jimmy_Smits
83,7,3563.9097510577512,43974.649214746416,20170131,Jimmy_Smits
84,7,3992.426373476336,36089.42663821512,20170207,Jimmy_Smits
85,7,3260.3867174671386,24692.04043344209,20170214,Jimmy_Smits
86,7,3248.135045554054,25341.73129750816,20170221,Jimmy_Smits
87,7,2751.4496373462644,21781.089298741143,20170228,Jimmy_Smits
88,7,2771.2706527455043,19458.480283588546,20170307,Jimmy_Smits
89,7,2544.3186698586014,18052.612558657707,20170315,Jimmy_Smits
90,7,2620.117055677083,19628.2895485225,20170322,Jimmy_Smits
