bin,binSize,median,timestamp,article
0,7,3272.0775963090114,20150701,Joan_Jett
1,7,7662.096477036308,20150708,Joan_Jett
2,7,3217.9578853374383,20150715,Joan_Jett
3,7,3044.5367078531995,20150722,Joan_Jett
4,7,2760.7603302041484,20150729,Joan_Jett
5,7,2709.596064914389,20150805,Joan_Jett
6,7,2915.410386394451,20150812,Joan_Jett
7,7,3597.283549623515,20150819,Joan_Jett
8,7,2713.597744971582,20150826,Joan_Jett
9,7,2835.1089992473558,20150902,Joan_Jett
10,7,2127.213737163715,20150909,Joan_Jett
11,7,2449.474769454461,20150916,Joan_Jett
12,7,2266.1935940063813,20150923,Joan_Jett
13,7,1998.017252419098,20150930,Joan_Jett
14,7,2112.519999983764,20151007,Joan_Jett
15,7,2029.8558311768202,20151014,Joan_Jett
16,7,2038.8373971008853,20151021,Joan_Jett
17,7,2373.554795487127,20151028,Joan_Jett
18,7,1904.3471062490316,20151103,Joan_Jett
19,7,2053.998744919725,20151110,Joan_Jett
20,7,1920.2220607425352,20151117,Joan_Jett
21,7,1930.2122728936563,20151124,Joan_Jett
22,7,1968.7185553950278,20151201,Joan_Jett
23,7,1925.1541054735712,20151208,Joan_Jett
24,7,2070.903136723226,20151215,Joan_Jett
25,7,2355.8353007277015,20151222,Joan_Jett
26,7,2939.902853984136,20151229,Joan_Jett
27,7,2492.1444201455533,20160105,Joan_Jett
28,7,2427.819012967599,20160112,Joan_Jett
29,7,2411.33744392033,20160119,Joan_Jett
30,7,2566.3255226821934,20160126,Joan_Jett
31,7,2466.6973331893814,20160202,Joan_Jett
32,7,2991.9618360247932,20160209,Joan_Jett
33,7,2390.668164007886,20160216,Joan_Jett
34,7,3058.911015108807,20160223,Joan_Jett
35,7,2406.6091326662636,20160301,Joan_Jett
36,7,2541.467858975271,20160308,Joan_Jett
37,7,2660.8082097950396,20160316,Joan_Jett
38,7,2593.9507498456164,20160323,Joan_Jett
39,7,2225.7858054743824,20160330,Joan_Jett
40,7,2540.0440955472372,20160406,Joan_Jett
41,7,2264.4296723267976,20160413,Joan_Jett
42,7,2445.045834578652,20160420,Joan_Jett
43,7,2439.4069486183676,20160427,Joan_Jett
44,7,2218.2957854740966,20160504,Joan_Jett
45,7,2263.6727375937826,20160511,Joan_Jett
46,7,2502.247345482637,20160518,Joan_Jett
47,7,2334.5532684992977,20160525,Joan_Jett
48,7,2385.022322948976,20160601,Joan_Jett
49,7,2371.3318745739866,20160608,Joan_Jett
50,7,2282.3299064501957,20160615,Joan_Jett
51,7,2480.787908057167,20160622,Joan_Jett
52,7,2832.3262719940954,20160629,Joan_Jett
53,7,2363.5736986430757,20160706,Joan_Jett
54,7,2964.6950207337595,20160713,Joan_Jett
