bin,binSize,median,article
0,7,182,Jos_Buttler
1,7,1037,Jos_Buttler
2,7,481,Jos_Buttler
3,7,127,Jos_Buttler
4,7,427,Jos_Buttler
5,7,669,Jos_Buttler
6,7,213,Jos_Buttler
7,7,293,Jos_Buttler
8,7,344,Jos_Buttler
9,7,263,Jos_Buttler
10,7,109,Jos_Buttler
11,7,77,Jos_Buttler
12,7,56,Jos_Buttler
13,7,55,Jos_Buttler
14,7,58,Jos_Buttler
15,7,78,Jos_Buttler
16,7,185,Jos_Buttler
17,7,141,Jos_Buttler
18,7,80,Jos_Buttler
19,7,79,Jos_Buttler
20,7,512,Jos_Buttler
21,7,321,Jos_Buttler
22,7,97,Jos_Buttler
23,7,97,Jos_Buttler
24,7,90,Jos_Buttler
25,7,131,Jos_Buttler
26,7,271,Jos_Buttler
27,7,188,Jos_Buttler
28,7,155,Jos_Buttler
29,7,127,Jos_Buttler
30,7,148,Jos_Buttler
31,7,1340,Jos_Buttler
32,7,390,Jos_Buttler
33,7,227,Jos_Buttler
34,7,130,Jos_Buttler
35,7,125,Jos_Buttler
36,7,182,Jos_Buttler
37,7,288,Jos_Buttler
38,7,541,Jos_Buttler
39,7,1193,Jos_Buttler
40,7,747,Jos_Buttler
41,7,604,Jos_Buttler
42,7,450,Jos_Buttler
43,7,348,Jos_Buttler
44,7,255,Jos_Buttler
45,7,712,Jos_Buttler
46,7,458,Jos_Buttler
47,7,322,Jos_Buttler
48,7,273,Jos_Buttler
49,7,271,Jos_Buttler
50,7,175,Jos_Buttler
51,7,311,Jos_Buttler
52,7,489,Jos_Buttler
53,7,291,Jos_Buttler
54,7,231,Jos_Buttler
55,7,322,Jos_Buttler
56,7,135,Jos_Buttler
57,7,156,Jos_Buttler
58,7,156,Jos_Buttler
59,7,103,Jos_Buttler
60,7,533,Jos_Buttler
61,7,499,Jos_Buttler
62,7,459,Jos_Buttler
63,7,149,Jos_Buttler
64,7,99,Jos_Buttler
65,7,133,Jos_Buttler
66,7,725,Jos_Buttler
67,7,221,Jos_Buttler
68,7,162,Jos_Buttler
69,7,191,Jos_Buttler
70,7,159,Jos_Buttler
71,7,267,Jos_Buttler
72,7,262,Jos_Buttler
73,7,466,Jos_Buttler
74,7,162,Jos_Buttler
75,7,481,Jos_Buttler
76,7,306,Jos_Buttler
77,7,178,Jos_Buttler
78,7,157,Jos_Buttler
79,7,161,Jos_Buttler
80,7,164,Jos_Buttler
81,7,213,Jos_Buttler
82,7,175,Jos_Buttler
83,7,185,Jos_Buttler
84,7,150,Jos_Buttler
85,7,125,Jos_Buttler
86,7,124,Jos_Buttler
87,7,136,Jos_Buttler
88,7,112,Jos_Buttler
89,7,108,Jos_Buttler
90,7,112,Jos_Buttler
91,7,128,Jos_Buttler
92,7,282,Jos_Buttler
93,7,244,Jos_Buttler
94,7,689,Jos_Buttler
95,7,261,Jos_Buttler
96,7,306,Jos_Buttler
97,7,284,Jos_Buttler
98,7,226,Jos_Buttler
99,7,369,Jos_Buttler
100,7,313,Jos_Buttler
101,7,454,Jos_Buttler
102,7,193,Jos_Buttler
103,7,371,Jos_Buttler
104,7,184,Jos_Buttler
105,7,283,Jos_Buttler
106,7,276,Jos_Buttler
107,7,143,Jos_Buttler
108,7,260,Jos_Buttler
109,7,318,Jos_Buttler
110,7,184,Jos_Buttler
111,7,241,Jos_Buttler
112,7,223,Jos_Buttler
113,7,123,Jos_Buttler
114,7,228,Jos_Buttler
115,7,171,Jos_Buttler
116,7,228,Jos_Buttler
117,7,336,Jos_Buttler
118,7,96,Jos_Buttler
119,7,134,Jos_Buttler
120,7,149,Jos_Buttler
121,7,110,Jos_Buttler
122,7,142,Jos_Buttler
123,7,188,Jos_Buttler
124,7,148,Jos_Buttler
125,7,228,Jos_Buttler
126,7,201,Jos_Buttler
127,7,236,Jos_Buttler
128,7,327,Jos_Buttler
129,7,192,Jos_Buttler
130,7,391,Jos_Buttler
131,7,344,Jos_Buttler
132,7,359,Jos_Buttler
133,7,277,Jos_Buttler
134,7,524,Jos_Buttler
135,7,243,Jos_Buttler
136,7,195,Jos_Buttler
137,7,166,Jos_Buttler
138,7,145,Jos_Buttler
139,7,193,Jos_Buttler
140,7,200,Jos_Buttler
141,7,143,Jos_Buttler
142,7,183,Jos_Buttler
143,7,284,Jos_Buttler
144,7,480,Jos_Buttler
145,7,349,Jos_Buttler
146,7,326,Jos_Buttler
147,7,174,Jos_Buttler
148,7,693,Jos_Buttler
149,7,4624,Jos_Buttler
150,7,1576,Jos_Buttler
151,7,1821,Jos_Buttler
152,7,1274,Jos_Buttler
153,7,370,Jos_Buttler
154,7,801,Jos_Buttler
155,7,1467,Jos_Buttler
156,7,832,Jos_Buttler
157,7,509,Jos_Buttler
158,7,713,Jos_Buttler
159,7,467,Jos_Buttler
160,7,421,Jos_Buttler
161,7,1024,Jos_Buttler
162,7,411,Jos_Buttler
163,7,733,Jos_Buttler
164,7,447,Jos_Buttler
165,7,929,Jos_Buttler
166,7,1588,Jos_Buttler
167,7,640,Jos_Buttler
