bin,binSize,median,timestamp,article
0,7,211,20150701,Kathryn_Grayson
1,7,188,20150708,Kathryn_Grayson
2,7,182,20150715,Kathryn_Grayson
3,7,190,20150722,Kathryn_Grayson
4,7,176,20150729,Kathryn_Grayson
5,7,189,20150805,Kathryn_Grayson
6,7,185,20150812,Kathryn_Grayson
7,7,194,20150819,Kathryn_Grayson
8,7,222,20150826,Kathryn_Grayson
9,7,182,20150902,Kathryn_Grayson
10,7,184,20150909,Kathryn_Grayson
11,7,191,20150916,Kathryn_Grayson
12,7,200,20150923,Kathryn_Grayson
13,7,245,20150930,Kathryn_Grayson
14,7,508,20151007,Kathryn_Grayson
15,7,565,20151014,Kathryn_Grayson
16,7,315,20151021,Kathryn_Grayson
17,7,261,20151028,Kathryn_Grayson
18,7,265,20151103,Kathryn_Grayson
19,7,224,20151110,Kathryn_Grayson
20,7,261,20151117,Kathryn_Grayson
21,7,246,20151124,Kathryn_Grayson
22,7,373,20151201,Kathryn_Grayson
23,7,249,20151208,Kathryn_Grayson
24,7,406,20151215,Kathryn_Grayson
25,7,352,20151222,Kathryn_Grayson
26,7,422,20151229,Kathryn_Grayson
27,7,268,20160105,Kathryn_Grayson
28,7,235,20160112,Kathryn_Grayson
29,7,217,20160119,Kathryn_Grayson
30,7,248,20160126,Kathryn_Grayson
31,7,221,20160202,Kathryn_Grayson
32,7,263,20160209,Kathryn_Grayson
33,7,261,20160216,Kathryn_Grayson
34,7,194,20160223,Kathryn_Grayson
35,7,192,20160301,Kathryn_Grayson
36,7,180,20160308,Kathryn_Grayson
37,7,326,20160316,Kathryn_Grayson
38,7,262,20160323,Kathryn_Grayson
39,7,202,20160330,Kathryn_Grayson
40,7,197,20160406,Kathryn_Grayson
41,7,227,20160413,Kathryn_Grayson
42,7,253,20160420,Kathryn_Grayson
43,7,255,20160427,Kathryn_Grayson
44,7,257,20160504,Kathryn_Grayson
45,7,239,20160511,Kathryn_Grayson
46,7,848,20160518,Kathryn_Grayson
47,7,202,20160525,Kathryn_Grayson
48,7,210,20160601,Kathryn_Grayson
49,7,286,20160608,Kathryn_Grayson
50,7,212,20160615,Kathryn_Grayson
51,7,162,20160622,Kathryn_Grayson
52,7,190,20160629,Kathryn_Grayson
53,7,320,20160706,Kathryn_Grayson
54,7,423,20160713,Kathryn_Grayson
55,7,312,20160720,Kathryn_Grayson
56,7,222,20160727,Kathryn_Grayson
57,7,185,20160803,Kathryn_Grayson
58,7,166,20160810,Kathryn_Grayson
59,7,174,20160817,Kathryn_Grayson
60,7,219,20160824,Kathryn_Grayson
61,7,433,20160831,Kathryn_Grayson
62,7,324,20160907,Kathryn_Grayson
63,7,168,20160914,Kathryn_Grayson
64,7,155,20160921,Kathryn_Grayson
65,7,139,20160928,Kathryn_Grayson
66,7,166,20161005,Kathryn_Grayson
67,7,164,20161012,Kathryn_Grayson
68,7,151,20161019,Kathryn_Grayson
69,7,168,20161026,Kathryn_Grayson
70,7,212,20161102,Kathryn_Grayson
71,7,174,20161108,Kathryn_Grayson
72,7,144,20161115,Kathryn_Grayson
73,7,173,20161122,Kathryn_Grayson
74,7,186,20161129,Kathryn_Grayson
75,7,177,20161206,Kathryn_Grayson
76,7,163,20161213,Kathryn_Grayson
