bin,binSize,median,article,timestamp
0,7,139,Kedar_Jadhav,20150701
1,7,192,Kedar_Jadhav,20150701
2,7,389,Kedar_Jadhav,20150701
3,7,117,Kedar_Jadhav,20150701
4,7,72,Kedar_Jadhav,20150701
5,7,76,Kedar_Jadhav,20150701
6,7,54,Kedar_Jadhav,20150701
7,7,53,Kedar_Jadhav,20150701
8,7,68,Kedar_Jadhav,20150701
9,7,61,Kedar_Jadhav,20150701
10,7,53,Kedar_Jadhav,20150701
11,7,53,Kedar_Jadhav,20150701
12,7,38,Kedar_Jadhav,20150701
13,7,43,Kedar_Jadhav,20150701
14,7,48,Kedar_Jadhav,20150701
15,7,60,Kedar_Jadhav,20150701
16,7,64,Kedar_Jadhav,20150701
17,7,57,Kedar_Jadhav,20150701
18,7,43,Kedar_Jadhav,20150701
19,7,48,Kedar_Jadhav,20150701
20,7,47,Kedar_Jadhav,20150701
21,7,41,Kedar_Jadhav,20150701
22,7,46,Kedar_Jadhav,20150701
23,7,53,Kedar_Jadhav,20150701
24,7,46,Kedar_Jadhav,20150701
25,7,43,Kedar_Jadhav,20150701
26,7,72,Kedar_Jadhav,20150701
27,7,84,Kedar_Jadhav,20150701
28,7,82,Kedar_Jadhav,20150701
29,7,89,Kedar_Jadhav,20150701
30,7,121,Kedar_Jadhav,20150701
31,7,127,Kedar_Jadhav,20150701
32,7,83,Kedar_Jadhav,20150701
33,7,84,Kedar_Jadhav,20150701
34,7,59,Kedar_Jadhav,20150701
35,7,63,Kedar_Jadhav,20150701
36,7,60,Kedar_Jadhav,20150701
37,7,52,Kedar_Jadhav,20150701
38,7,100,Kedar_Jadhav,20150701
39,7,131,Kedar_Jadhav,20150701
40,7,226,Kedar_Jadhav,20150701
41,7,184,Kedar_Jadhav,20150701
42,7,128,Kedar_Jadhav,20150701
43,7,109,Kedar_Jadhav,20150701
44,7,82,Kedar_Jadhav,20150701
45,7,71,Kedar_Jadhav,20150701
46,7,91,Kedar_Jadhav,20150701
47,7,145,Kedar_Jadhav,20150701
48,7,110,Kedar_Jadhav,20150701
49,7,227,Kedar_Jadhav,20150701
50,7,135,Kedar_Jadhav,20150701
51,7,118,Kedar_Jadhav,20150701
52,7,52,Kedar_Jadhav,20150701
53,7,41,Kedar_Jadhav,20150701
54,7,36,Kedar_Jadhav,20150701
55,7,34,Kedar_Jadhav,20150701
56,7,44,Kedar_Jadhav,20150701
57,7,33,Kedar_Jadhav,20150701
58,7,35,Kedar_Jadhav,20150701
59,7,35,Kedar_Jadhav,20150701
60,7,49,Kedar_Jadhav,20150701
61,7,39,Kedar_Jadhav,20150701
62,7,41,Kedar_Jadhav,20150701
63,7,36,Kedar_Jadhav,20150701
64,7,41,Kedar_Jadhav,20150701
65,7,56,Kedar_Jadhav,20150701
66,7,166,Kedar_Jadhav,20150701
67,7,480,Kedar_Jadhav,20150701
68,7,1327,Kedar_Jadhav,20150701
69,7,822,Kedar_Jadhav,20150701
70,7,248,Kedar_Jadhav,20150701
71,7,115,Kedar_Jadhav,20150701
72,7,177,Kedar_Jadhav,20150701
73,7,176,Kedar_Jadhav,20150701
74,7,115,Kedar_Jadhav,20150701
75,7,125,Kedar_Jadhav,20150701
76,7,118,Kedar_Jadhav,20150701
77,7,125,Kedar_Jadhav,20150701
78,7,92,Kedar_Jadhav,20150701
79,7,198,Kedar_Jadhav,20150701
80,7,268,Kedar_Jadhav,20150701
81,7,12484,Kedar_Jadhav,20150701
82,7,2079,Kedar_Jadhav,20150701
83,7,649,Kedar_Jadhav,20150701
84,7,478,Kedar_Jadhav,20150701
85,7,391,Kedar_Jadhav,20150701
86,7,456,Kedar_Jadhav,20150701
87,7,411,Kedar_Jadhav,20150701
88,7,240,Kedar_Jadhav,20150701
89,7,292,Kedar_Jadhav,20150701
90,7,424,Kedar_Jadhav,20150701
91,7,339,Kedar_Jadhav,20150701
92,7,1848,Kedar_Jadhav,20150701
93,7,664,Kedar_Jadhav,20150701
94,7,528,Kedar_Jadhav,20150701
95,7,514,Kedar_Jadhav,20150701
96,7,641,Kedar_Jadhav,20150701
97,7,431,Kedar_Jadhav,20150701
98,7,353,Kedar_Jadhav,20150701
99,7,478,Kedar_Jadhav,20150701
100,7,544,Kedar_Jadhav,20150701
101,7,834,Kedar_Jadhav,20150701
102,7,2568,Kedar_Jadhav,20150701
103,7,907,Kedar_Jadhav,20150701
104,7,565,Kedar_Jadhav,20150701
105,7,605,Kedar_Jadhav,20150701
106,7,303,Kedar_Jadhav,20150701
107,7,246,Kedar_Jadhav,20150701
108,7,239,Kedar_Jadhav,20150701
109,7,181,Kedar_Jadhav,20150701
110,7,324,Kedar_Jadhav,20150701
111,7,333,Kedar_Jadhav,20150701
112,7,455,Kedar_Jadhav,20150701
113,7,475,Kedar_Jadhav,20150701
114,7,431,Kedar_Jadhav,20150701
115,7,307,Kedar_Jadhav,20150701
116,7,799,Kedar_Jadhav,20150701
117,7,1221,Kedar_Jadhav,20150701
118,7,512,Kedar_Jadhav,20150701
119,7,356,Kedar_Jadhav,20150701
120,7,392,Kedar_Jadhav,20150701
121,7,702,Kedar_Jadhav,20150701
122,7,349,Kedar_Jadhav,20150701
123,7,313,Kedar_Jadhav,20150701
124,7,267,Kedar_Jadhav,20150701
125,7,282,Kedar_Jadhav,20150701
126,7,269,Kedar_Jadhav,20150701
127,7,282,Kedar_Jadhav,20150701
128,7,351,Kedar_Jadhav,20150701
129,7,475,Kedar_Jadhav,20150701
130,7,356,Kedar_Jadhav,20150701
131,7,267,Kedar_Jadhav,20150701
132,7,227,Kedar_Jadhav,20150701
133,7,193,Kedar_Jadhav,20150701
134,7,232,Kedar_Jadhav,20150701
135,7,718,Kedar_Jadhav,20150701
136,7,434,Kedar_Jadhav,20150701
137,7,341,Kedar_Jadhav,20150701
138,7,282,Kedar_Jadhav,20150701
139,7,229,Kedar_Jadhav,20150701
140,7,330,Kedar_Jadhav,20150701
141,7,300,Kedar_Jadhav,20150701
142,7,324,Kedar_Jadhav,20150701
143,7,319,Kedar_Jadhav,20150701
144,7,1527,Kedar_Jadhav,20150701
145,7,497,Kedar_Jadhav,20150701
146,7,402,Kedar_Jadhav,20150701
147,7,509,Kedar_Jadhav,20150701
148,7,432,Kedar_Jadhav,20150701
149,7,366,Kedar_Jadhav,20150701
150,7,411,Kedar_Jadhav,20150701
151,7,432,Kedar_Jadhav,20150701
152,7,245,Kedar_Jadhav,20150701
153,7,182,Kedar_Jadhav,20150701
154,7,190,Kedar_Jadhav,20150701
155,7,159,Kedar_Jadhav,20150701
156,7,146,Kedar_Jadhav,20150701
157,7,168,Kedar_Jadhav,20150701
158,7,264,Kedar_Jadhav,20150701
159,7,246,Kedar_Jadhav,20150701
160,7,160,Kedar_Jadhav,20150701
161,7,157,Kedar_Jadhav,20150701
162,7,155,Kedar_Jadhav,20150701
163,7,176,Kedar_Jadhav,20150701
164,7,190,Kedar_Jadhav,20150701
165,7,253,Kedar_Jadhav,20150701
166,7,256,Kedar_Jadhav,20150701
167,7,284.5,Kedar_Jadhav,20150701
