bin,binSize,median,article
0,7,546,Kim_Jong-nam
1,7,593,Kim_Jong-nam
2,7,465,Kim_Jong-nam
3,7,496,Kim_Jong-nam
4,7,434,Kim_Jong-nam
5,7,502,Kim_Jong-nam
6,7,614,Kim_Jong-nam
7,7,1491,Kim_Jong-nam
8,7,530,Kim_Jong-nam
9,7,469,Kim_Jong-nam
10,7,446,Kim_Jong-nam
11,7,418,Kim_Jong-nam
12,7,391,Kim_Jong-nam
13,7,471,Kim_Jong-nam
14,7,650,Kim_Jong-nam
15,7,519,Kim_Jong-nam
16,7,438,Kim_Jong-nam
17,7,442,Kim_Jong-nam
18,7,449,Kim_Jong-nam
19,7,573,Kim_Jong-nam
20,7,554,Kim_Jong-nam
21,7,559,Kim_Jong-nam
22,7,519,Kim_Jong-nam
23,7,622,Kim_Jong-nam
24,7,456,Kim_Jong-nam
25,7,441,Kim_Jong-nam
26,7,639,Kim_Jong-nam
27,7,1606,Kim_Jong-nam
28,7,781,Kim_Jong-nam
29,7,667,Kim_Jong-nam
30,7,536,Kim_Jong-nam
31,7,753,Kim_Jong-nam
32,7,1145,Kim_Jong-nam
33,7,817,Kim_Jong-nam
34,7,638,Kim_Jong-nam
35,7,837,Kim_Jong-nam
36,7,946,Kim_Jong-nam
37,7,905,Kim_Jong-nam
38,7,743,Kim_Jong-nam
39,7,953,Kim_Jong-nam
40,7,745,Kim_Jong-nam
41,7,692,Kim_Jong-nam
42,7,661,Kim_Jong-nam
43,7,799,Kim_Jong-nam
44,7,1298,Kim_Jong-nam
45,7,771,Kim_Jong-nam
46,7,816,Kim_Jong-nam
47,7,1292,Kim_Jong-nam
48,7,555,Kim_Jong-nam
49,7,595,Kim_Jong-nam
50,7,530,Kim_Jong-nam
51,7,451,Kim_Jong-nam
52,7,476,Kim_Jong-nam
53,7,560,Kim_Jong-nam
54,7,398,Kim_Jong-nam
55,7,383,Kim_Jong-nam
56,7,533,Kim_Jong-nam
57,7,547,Kim_Jong-nam
58,7,549,Kim_Jong-nam
59,7,963,Kim_Jong-nam
60,7,738,Kim_Jong-nam
61,7,857,Kim_Jong-nam
62,7,1501,Kim_Jong-nam
63,7,836,Kim_Jong-nam
64,7,873,Kim_Jong-nam
65,7,592,Kim_Jong-nam
