bin,binSize,median,timestamp,article
0,7,1010,20150701,Latrell_Sprewell
1,7,1097,20150708,Latrell_Sprewell
2,7,865,20150715,Latrell_Sprewell
3,7,1971,20150722,Latrell_Sprewell
4,7,1361,20150729,Latrell_Sprewell
5,7,781,20150805,Latrell_Sprewell
6,7,953,20150812,Latrell_Sprewell
7,7,687,20150819,Latrell_Sprewell
8,7,674,20150826,Latrell_Sprewell
9,7,524,20150902,Latrell_Sprewell
10,7,620,20150909,Latrell_Sprewell
11,7,669,20150916,Latrell_Sprewell
12,7,635,20150923,Latrell_Sprewell
13,7,511,20150930,Latrell_Sprewell
14,7,544,20151007,Latrell_Sprewell
15,7,593,20151014,Latrell_Sprewell
16,7,560,20151021,Latrell_Sprewell
17,7,715,20151028,Latrell_Sprewell
18,7,693,20151103,Latrell_Sprewell
19,7,673,20151110,Latrell_Sprewell
20,7,744,20151117,Latrell_Sprewell
21,7,805,20151124,Latrell_Sprewell
22,7,925,20151201,Latrell_Sprewell
23,7,778,20151208,Latrell_Sprewell
24,7,665,20151215,Latrell_Sprewell
25,7,724,20151222,Latrell_Sprewell
26,7,683,20151229,Latrell_Sprewell
27,7,726,20160105,Latrell_Sprewell
28,7,692,20160112,Latrell_Sprewell
29,7,755,20160119,Latrell_Sprewell
30,7,930,20160126,Latrell_Sprewell
31,7,823,20160202,Latrell_Sprewell
32,7,1483,20160209,Latrell_Sprewell
33,7,1240,20160216,Latrell_Sprewell
34,7,1805,20160223,Latrell_Sprewell
35,7,2182,20160301,Latrell_Sprewell
36,7,1888,20160308,Latrell_Sprewell
37,7,1825,20160316,Latrell_Sprewell
38,7,1803,20160323,Latrell_Sprewell
39,7,1023,20160330,Latrell_Sprewell
40,7,2026,20160406,Latrell_Sprewell
41,7,2487,20160413,Latrell_Sprewell
42,7,4749,20160420,Latrell_Sprewell
43,7,3544,20160427,Latrell_Sprewell
44,7,3888,20160504,Latrell_Sprewell
45,7,1478,20160511,Latrell_Sprewell
46,7,1395,20160518,Latrell_Sprewell
47,7,1071,20160525,Latrell_Sprewell
48,7,1083,20160601,Latrell_Sprewell
49,7,1113,20160608,Latrell_Sprewell
50,7,1017,20160615,Latrell_Sprewell
51,7,919,20160622,Latrell_Sprewell
52,7,803,20160629,Latrell_Sprewell
53,7,936,20160706,Latrell_Sprewell
54,7,731,20160713,Latrell_Sprewell
55,7,721,20160720,Latrell_Sprewell
56,7,930,20160727,Latrell_Sprewell
57,7,944,20160803,Latrell_Sprewell
58,7,580,20160810,Latrell_Sprewell
59,7,488,20160817,Latrell_Sprewell
60,7,667,20160824,Latrell_Sprewell
61,7,435,20160831,Latrell_Sprewell
62,7,571,20160907,Latrell_Sprewell
63,7,589,20160914,Latrell_Sprewell
64,7,545,20160921,Latrell_Sprewell
65,7,475,20160928,Latrell_Sprewell
66,7,499,20161005,Latrell_Sprewell
67,7,435,20161012,Latrell_Sprewell
68,7,438,20161019,Latrell_Sprewell
69,7,530,20161026,Latrell_Sprewell
70,7,522,20161102,Latrell_Sprewell
71,7,498,20161108,Latrell_Sprewell
72,7,559,20161115,Latrell_Sprewell
73,7,1039,20161122,Latrell_Sprewell
74,7,793,20161129,Latrell_Sprewell
75,7,613,20161206,Latrell_Sprewell
76,7,620,20161213,Latrell_Sprewell
77,7,831,20161220,Latrell_Sprewell
78,7,713,20161227,Latrell_Sprewell
79,7,767,20170103,Latrell_Sprewell
80,7,709,20170110,Latrell_Sprewell
81,7,1167,20170117,Latrell_Sprewell
82,7,763,20170124,Latrell_Sprewell
83,7,656,20170131,Latrell_Sprewell
84,7,1049,20170207,Latrell_Sprewell
85,7,1311,20170214,Latrell_Sprewell
86,7,1013,20170221,Latrell_Sprewell
87,7,916,20170228,Latrell_Sprewell
88,7,733,20170307,Latrell_Sprewell
89,7,750,20170315,Latrell_Sprewell
90,7,691,20170322,Latrell_Sprewell
91,7,720,20170329,Latrell_Sprewell
92,7,561,20170405,Latrell_Sprewell
93,7,633,20170412,Latrell_Sprewell
94,7,752,20170419,Latrell_Sprewell
95,7,704,20170426,Latrell_Sprewell
96,7,774,20170503,Latrell_Sprewell
97,7,1088,20170510,Latrell_Sprewell
98,7,676,20170517,Latrell_Sprewell
99,7,788,20170524,Latrell_Sprewell
100,7,1019,20170531,Latrell_Sprewell
101,7,3260,20170607,Latrell_Sprewell
102,7,878,20170614,Latrell_Sprewell
103,7,1112,20170621,Latrell_Sprewell
104,7,908,20170628,Latrell_Sprewell
105,7,753,20170705,Latrell_Sprewell
106,7,561,20170712,Latrell_Sprewell
107,7,508,20170719,Latrell_Sprewell
108,7,535,20170726,Latrell_Sprewell
109,7,461,20170802,Latrell_Sprewell
110,7,427,20170809,Latrell_Sprewell
111,7,398,20170816,Latrell_Sprewell
112,7,400,20170823,Latrell_Sprewell
113,7,339,20170830,Latrell_Sprewell
114,7,508,20170906,Latrell_Sprewell
115,7,445,20170913,Latrell_Sprewell
116,7,482,20170920,Latrell_Sprewell
117,7,581,20170927,Latrell_Sprewell
118,7,367,20171004,Latrell_Sprewell
119,7,395,20171011,Latrell_Sprewell
120,7,572,20171018,Latrell_Sprewell
121,7,439,20171025,Latrell_Sprewell
122,7,462,20171101,Latrell_Sprewell
123,7,651,20171107,Latrell_Sprewell
124,7,926,20171114,Latrell_Sprewell
125,7,650,20171121,Latrell_Sprewell
126,7,650,20171128,Latrell_Sprewell
127,7,568,20171205,Latrell_Sprewell
128,7,524,20171212,Latrell_Sprewell
129,7,555,20171219,Latrell_Sprewell
130,7,650,20171226,Latrell_Sprewell
131,7,871,20180102,Latrell_Sprewell
132,7,619,20180109,Latrell_Sprewell
133,7,630,20180116,Latrell_Sprewell
134,7,582,20180123,Latrell_Sprewell
135,7,672,20180130,Latrell_Sprewell
136,7,581,20180206,Latrell_Sprewell
137,7,739,20180213,Latrell_Sprewell
138,7,622,20180220,Latrell_Sprewell
139,7,646,20180227,Latrell_Sprewell
140,7,638,20180306,Latrell_Sprewell
141,7,627,20180314,Latrell_Sprewell
142,7,636,20180321,Latrell_Sprewell
143,7,711,20180328,Latrell_Sprewell
144,7,659,20180404,Latrell_Sprewell
145,7,790,20180411,Latrell_Sprewell
146,7,683,20180418,Latrell_Sprewell
147,7,562,20180425,Latrell_Sprewell
148,7,691,20180502,Latrell_Sprewell
149,7,1010,20180509,Latrell_Sprewell
150,7,1018,20180516,Latrell_Sprewell
151,7,977,20180523,Latrell_Sprewell
152,7,895,20180530,Latrell_Sprewell
153,7,1412,20180606,Latrell_Sprewell
154,7,1151,20180613,Latrell_Sprewell
155,7,1829,20180620,Latrell_Sprewell
156,7,1499,20180627,Latrell_Sprewell
157,7,1210,20180704,Latrell_Sprewell
158,7,1051,20180711,Latrell_Sprewell
159,7,750,20180718,Latrell_Sprewell
160,7,780,20180725,Latrell_Sprewell
161,7,620,20180801,Latrell_Sprewell
162,7,592,20180808,Latrell_Sprewell
163,7,441,20180815,Latrell_Sprewell
164,7,665,20180822,Latrell_Sprewell
165,7,427,20180829,Latrell_Sprewell
166,7,474,20180905,Latrell_Sprewell
167,7,453,20180912,Latrell_Sprewell
