bin,binSize,median,article
0,7,367,Matt_Cain
1,7,235,Matt_Cain
2,7,243,Matt_Cain
3,7,425,Matt_Cain
4,7,392,Matt_Cain
5,7,302,Matt_Cain
6,7,323,Matt_Cain
7,7,320,Matt_Cain
8,7,366,Matt_Cain
9,7,227,Matt_Cain
10,7,152,Matt_Cain
11,7,142,Matt_Cain
12,7,156,Matt_Cain
13,7,235,Matt_Cain
14,7,191,Matt_Cain
15,7,207,Matt_Cain
16,7,140,Matt_Cain
17,7,180,Matt_Cain
18,7,118,Matt_Cain
19,7,87,Matt_Cain
20,7,82,Matt_Cain
21,7,88,Matt_Cain
22,7,174,Matt_Cain
23,7,131,Matt_Cain
24,7,158,Matt_Cain
25,7,93,Matt_Cain
26,7,94,Matt_Cain
27,7,98,Matt_Cain
28,7,79,Matt_Cain
29,7,91,Matt_Cain
30,7,91,Matt_Cain
31,7,96,Matt_Cain
32,7,110,Matt_Cain
33,7,153,Matt_Cain
34,7,166,Matt_Cain
35,7,108,Matt_Cain
36,7,126,Matt_Cain
37,7,106,Matt_Cain
38,7,153,Matt_Cain
39,7,221,Matt_Cain
40,7,406,Matt_Cain
41,7,295,Matt_Cain
42,7,413,Matt_Cain
43,7,254,Matt_Cain
44,7,314,Matt_Cain
45,7,285,Matt_Cain
46,7,337,Matt_Cain
47,7,261,Matt_Cain
48,7,226,Matt_Cain
49,7,193,Matt_Cain
50,7,220,Matt_Cain
51,7,158,Matt_Cain
52,7,206,Matt_Cain
53,7,226,Matt_Cain
54,7,257,Matt_Cain
55,7,248,Matt_Cain
56,7,360,Matt_Cain
57,7,225,Matt_Cain
58,7,205,Matt_Cain
59,7,184,Matt_Cain
60,7,156,Matt_Cain
61,7,156,Matt_Cain
62,7,125,Matt_Cain
63,7,140,Matt_Cain
64,7,143,Matt_Cain
65,7,263,Matt_Cain
66,7,808,Matt_Cain
67,7,295,Matt_Cain
68,7,155,Matt_Cain
69,7,142,Matt_Cain
70,7,101,Matt_Cain
71,7,84,Matt_Cain
72,7,76,Matt_Cain
73,7,73,Matt_Cain
74,7,71,Matt_Cain
75,7,107,Matt_Cain
76,7,66,Matt_Cain
77,7,61,Matt_Cain
78,7,76,Matt_Cain
79,7,76,Matt_Cain
80,7,76,Matt_Cain
81,7,87,Matt_Cain
82,7,92,Matt_Cain
83,7,93,Matt_Cain
84,7,161,Matt_Cain
85,7,129,Matt_Cain
86,7,147,Matt_Cain
87,7,133,Matt_Cain
88,7,115,Matt_Cain
89,7,139,Matt_Cain
90,7,180,Matt_Cain
91,7,277,Matt_Cain
92,7,355,Matt_Cain
93,7,342,Matt_Cain
94,7,362,Matt_Cain
95,7,304,Matt_Cain
96,7,262,Matt_Cain
97,7,238,Matt_Cain
98,7,271,Matt_Cain
99,7,257,Matt_Cain
100,7,284,Matt_Cain
101,7,242,Matt_Cain
102,7,177,Matt_Cain
103,7,242,Matt_Cain
104,7,186,Matt_Cain
105,7,206,Matt_Cain
106,7,222,Matt_Cain
107,7,228,Matt_Cain
108,7,232,Matt_Cain
109,7,264,Matt_Cain
110,7,212,Matt_Cain
111,7,206,Matt_Cain
112,7,256,Matt_Cain
113,7,190,Matt_Cain
114,7,144,Matt_Cain
115,7,154,Matt_Cain
116,7,200,Matt_Cain
117,7,7294,Matt_Cain
118,7,577,Matt_Cain
119,7,285,Matt_Cain
120,7,254,Matt_Cain
121,7,295,Matt_Cain
122,7,180,Matt_Cain
123,7,178,Matt_Cain
124,7,119,Matt_Cain
125,7,99,Matt_Cain
126,7,92,Matt_Cain
127,7,103,Matt_Cain
128,7,103,Matt_Cain
129,7,116,Matt_Cain
130,7,101,Matt_Cain
131,7,112,Matt_Cain
132,7,96,Matt_Cain
133,7,161,Matt_Cain
134,7,188,Matt_Cain
135,7,99,Matt_Cain
136,7,124,Matt_Cain
137,7,169,Matt_Cain
138,7,163,Matt_Cain
139,7,212,Matt_Cain
140,7,165,Matt_Cain
141,7,133,Matt_Cain
142,7,262,Matt_Cain
143,7,487,Matt_Cain
144,7,402,Matt_Cain
145,7,359,Matt_Cain
146,7,316,Matt_Cain
147,7,310,Matt_Cain
148,7,337,Matt_Cain
149,7,277,Matt_Cain
150,7,330,Matt_Cain
151,7,226,Matt_Cain
152,7,286,Matt_Cain
153,7,253,Matt_Cain
154,7,232,Matt_Cain
155,7,210,Matt_Cain
156,7,213,Matt_Cain
157,7,285,Matt_Cain
158,7,221,Matt_Cain
159,7,304,Matt_Cain
160,7,470,Matt_Cain
161,7,292,Matt_Cain
162,7,259,Matt_Cain
163,7,206,Matt_Cain
164,7,201,Matt_Cain
165,7,173,Matt_Cain
166,7,137,Matt_Cain
167,7,182.5,Matt_Cain
