bin,binSize,median,timestamp,article
0,7,683,20150701,Merle_Oberon
1,7,615,20150708,Merle_Oberon
2,7,748,20150715,Merle_Oberon
3,7,678,20150722,Merle_Oberon
4,7,650,20150729,Merle_Oberon
5,7,596,20150805,Merle_Oberon
6,7,781,20150812,Merle_Oberon
7,7,685,20150819,Merle_Oberon
8,7,605,20150826,Merle_Oberon
9,7,763,20150902,Merle_Oberon
10,7,589,20150909,Merle_Oberon
11,7,621,20150916,Merle_Oberon
12,7,596,20150923,Merle_Oberon
13,7,570,20150930,Merle_Oberon
14,7,715,20151007,Merle_Oberon
15,7,595,20151014,Merle_Oberon
16,7,738,20151021,Merle_Oberon
17,7,672,20151028,Merle_Oberon
18,7,629,20151103,Merle_Oberon
19,7,670,20151110,Merle_Oberon
20,7,729,20151117,Merle_Oberon
21,7,781,20151124,Merle_Oberon
22,7,601,20151201,Merle_Oberon
23,7,684,20151208,Merle_Oberon
24,7,551,20151215,Merle_Oberon
25,7,779,20151222,Merle_Oberon
26,7,889,20151229,Merle_Oberon
27,7,689,20160105,Merle_Oberon
28,7,838,20160112,Merle_Oberon
29,7,1124,20160119,Merle_Oberon
30,7,865,20160126,Merle_Oberon
31,7,773,20160202,Merle_Oberon
32,7,777,20160209,Merle_Oberon
33,7,1015,20160216,Merle_Oberon
34,7,1099,20160223,Merle_Oberon
35,7,1802,20160301,Merle_Oberon
36,7,1364,20160308,Merle_Oberon
37,7,1544,20160316,Merle_Oberon
38,7,1295,20160323,Merle_Oberon
39,7,931,20160330,Merle_Oberon
40,7,777,20160406,Merle_Oberon
41,7,736,20160413,Merle_Oberon
42,7,644,20160420,Merle_Oberon
43,7,717,20160427,Merle_Oberon
44,7,860,20160504,Merle_Oberon
45,7,707,20160511,Merle_Oberon
46,7,1127,20160518,Merle_Oberon
47,7,814,20160525,Merle_Oberon
48,7,1020,20160601,Merle_Oberon
49,7,791,20160608,Merle_Oberon
50,7,933,20160615,Merle_Oberon
51,7,737,20160622,Merle_Oberon
52,7,860,20160629,Merle_Oberon
53,7,802,20160706,Merle_Oberon
