bin,binSize,median,timestamp,article
0,7,97,20150701,Mike_Leach_(American_football_coach)
1,7,106,20150708,Mike_Leach_(American_football_coach)
2,7,113,20150715,Mike_Leach_(American_football_coach)
3,7,133,20150722,Mike_Leach_(American_football_coach)
4,7,377,20150729,Mike_Leach_(American_football_coach)
5,7,162,20150805,Mike_Leach_(American_football_coach)
6,7,240,20150812,Mike_Leach_(American_football_coach)
7,7,369,20150819,Mike_Leach_(American_football_coach)
8,7,270,20150826,Mike_Leach_(American_football_coach)
9,7,696,20150902,Mike_Leach_(American_football_coach)
10,7,400,20150909,Mike_Leach_(American_football_coach)
11,7,372,20150916,Mike_Leach_(American_football_coach)
12,7,345,20150923,Mike_Leach_(American_football_coach)
13,7,317,20150930,Mike_Leach_(American_football_coach)
14,7,755,20151007,Mike_Leach_(American_football_coach)
15,7,508,20151014,Mike_Leach_(American_football_coach)
16,7,642,20151021,Mike_Leach_(American_football_coach)
17,7,733,20151028,Mike_Leach_(American_football_coach)
18,7,441,20151103,Mike_Leach_(American_football_coach)
19,7,498,20151110,Mike_Leach_(American_football_coach)
20,7,668,20151117,Mike_Leach_(American_football_coach)
21,7,747,20151124,Mike_Leach_(American_football_coach)
22,7,852,20151201,Mike_Leach_(American_football_coach)
23,7,410,20151208,Mike_Leach_(American_football_coach)
24,7,308,20151215,Mike_Leach_(American_football_coach)
25,7,523,20151222,Mike_Leach_(American_football_coach)
26,7,879,20151229,Mike_Leach_(American_football_coach)
27,7,228,20160105,Mike_Leach_(American_football_coach)
28,7,202,20160112,Mike_Leach_(American_football_coach)
29,7,150,20160119,Mike_Leach_(American_football_coach)
30,7,199,20160126,Mike_Leach_(American_football_coach)
31,7,151,20160202,Mike_Leach_(American_football_coach)
32,7,133,20160209,Mike_Leach_(American_football_coach)
33,7,124,20160216,Mike_Leach_(American_football_coach)
34,7,100,20160223,Mike_Leach_(American_football_coach)
35,7,106,20160301,Mike_Leach_(American_football_coach)
36,7,118,20160308,Mike_Leach_(American_football_coach)
37,7,111,20160316,Mike_Leach_(American_football_coach)
38,7,95,20160323,Mike_Leach_(American_football_coach)
39,7,96,20160330,Mike_Leach_(American_football_coach)
40,7,119,20160406,Mike_Leach_(American_football_coach)
41,7,142,20160413,Mike_Leach_(American_football_coach)
42,7,113,20160420,Mike_Leach_(American_football_coach)
43,7,113,20160427,Mike_Leach_(American_football_coach)
44,7,388,20160504,Mike_Leach_(American_football_coach)
45,7,137,20160511,Mike_Leach_(American_football_coach)
46,7,126,20160518,Mike_Leach_(American_football_coach)
47,7,187,20160525,Mike_Leach_(American_football_coach)
48,7,132,20160601,Mike_Leach_(American_football_coach)
49,7,128,20160608,Mike_Leach_(American_football_coach)
50,7,106,20160615,Mike_Leach_(American_football_coach)
51,7,113,20160622,Mike_Leach_(American_football_coach)
52,7,120,20160629,Mike_Leach_(American_football_coach)
53,7,99,20160706,Mike_Leach_(American_football_coach)
54,7,188,20160713,Mike_Leach_(American_football_coach)
55,7,141,20160720,Mike_Leach_(American_football_coach)
56,7,152,20160727,Mike_Leach_(American_football_coach)
57,7,150,20160803,Mike_Leach_(American_football_coach)
58,7,188,20160810,Mike_Leach_(American_football_coach)
59,7,192,20160817,Mike_Leach_(American_football_coach)
60,7,272,20160824,Mike_Leach_(American_football_coach)
61,7,657,20160831,Mike_Leach_(American_football_coach)
62,7,568,20160907,Mike_Leach_(American_football_coach)
63,7,802,20160914,Mike_Leach_(American_football_coach)
64,7,392,20160921,Mike_Leach_(American_football_coach)
65,7,533,20160928,Mike_Leach_(American_football_coach)
66,7,785,20161005,Mike_Leach_(American_football_coach)
67,7,677,20161012,Mike_Leach_(American_football_coach)
68,7,1462,20161019,Mike_Leach_(American_football_coach)
69,7,1114,20161026,Mike_Leach_(American_football_coach)
70,7,1153,20161102,Mike_Leach_(American_football_coach)
71,7,901,20161108,Mike_Leach_(American_football_coach)
72,7,789,20161115,Mike_Leach_(American_football_coach)
73,7,1573,20161122,Mike_Leach_(American_football_coach)
74,7,821,20161129,Mike_Leach_(American_football_coach)
75,7,474,20161206,Mike_Leach_(American_football_coach)
76,7,368,20161213,Mike_Leach_(American_football_coach)
77,7,311,20161220,Mike_Leach_(American_football_coach)
78,7,976,20161227,Mike_Leach_(American_football_coach)
79,7,431,20170103,Mike_Leach_(American_football_coach)
80,7,276,20170110,Mike_Leach_(American_football_coach)
81,7,295,20170117,Mike_Leach_(American_football_coach)
82,7,179,20170124,Mike_Leach_(American_football_coach)
83,7,178,20170131,Mike_Leach_(American_football_coach)
84,7,149,20170207,Mike_Leach_(American_football_coach)
85,7,137,20170214,Mike_Leach_(American_football_coach)
86,7,147,20170221,Mike_Leach_(American_football_coach)
87,7,130,20170228,Mike_Leach_(American_football_coach)
88,7,133,20170307,Mike_Leach_(American_football_coach)
89,7,134,20170315,Mike_Leach_(American_football_coach)
90,7,151,20170322,Mike_Leach_(American_football_coach)
91,7,135,20170329,Mike_Leach_(American_football_coach)
92,7,139,20170405,Mike_Leach_(American_football_coach)
93,7,175,20170412,Mike_Leach_(American_football_coach)
94,7,138,20170419,Mike_Leach_(American_football_coach)
95,7,183,20170426,Mike_Leach_(American_football_coach)
96,7,145,20170503,Mike_Leach_(American_football_coach)
97,7,145,20170510,Mike_Leach_(American_football_coach)
98,7,136,20170517,Mike_Leach_(American_football_coach)
99,7,148,20170524,Mike_Leach_(American_football_coach)
100,7,134,20170531,Mike_Leach_(American_football_coach)
101,7,284,20170607,Mike_Leach_(American_football_coach)
102,7,174,20170614,Mike_Leach_(American_football_coach)
103,7,160,20170621,Mike_Leach_(American_football_coach)
104,7,209,20170628,Mike_Leach_(American_football_coach)
105,7,186,20170705,Mike_Leach_(American_football_coach)
