bin,binSize,median,article
0,7,41,Mike_Willesee
1,7,54,Mike_Willesee
2,7,42,Mike_Willesee
3,7,64,Mike_Willesee
4,7,48,Mike_Willesee
5,7,51,Mike_Willesee
6,7,240,Mike_Willesee
7,7,273,Mike_Willesee
8,7,91,Mike_Willesee
9,7,90,Mike_Willesee
10,7,73,Mike_Willesee
11,7,63,Mike_Willesee
12,7,71,Mike_Willesee
13,7,54,Mike_Willesee
14,7,38,Mike_Willesee
15,7,49,Mike_Willesee
16,7,61,Mike_Willesee
17,7,36,Mike_Willesee
18,7,39,Mike_Willesee
19,7,50,Mike_Willesee
20,7,36,Mike_Willesee
21,7,37,Mike_Willesee
22,7,34,Mike_Willesee
23,7,34,Mike_Willesee
24,7,28,Mike_Willesee
25,7,34,Mike_Willesee
26,7,37,Mike_Willesee
27,7,43,Mike_Willesee
28,7,41,Mike_Willesee
29,7,35,Mike_Willesee
30,7,38,Mike_Willesee
31,7,39,Mike_Willesee
32,7,33,Mike_Willesee
33,7,29,Mike_Willesee
34,7,37,Mike_Willesee
35,7,61,Mike_Willesee
36,7,40,Mike_Willesee
37,7,41,Mike_Willesee
38,7,36,Mike_Willesee
39,7,40,Mike_Willesee
40,7,184,Mike_Willesee
41,7,54,Mike_Willesee
42,7,53,Mike_Willesee
43,7,42,Mike_Willesee
44,7,44,Mike_Willesee
45,7,65,Mike_Willesee
46,7,114,Mike_Willesee
47,7,57,Mike_Willesee
48,7,44,Mike_Willesee
49,7,52,Mike_Willesee
50,7,83,Mike_Willesee
51,7,43,Mike_Willesee
52,7,60,Mike_Willesee
53,7,47,Mike_Willesee
54,7,35,Mike_Willesee
55,7,38,Mike_Willesee
56,7,43,Mike_Willesee
57,7,40,Mike_Willesee
58,7,32,Mike_Willesee
59,7,61,Mike_Willesee
60,7,37,Mike_Willesee
61,7,38,Mike_Willesee
62,7,52,Mike_Willesee
63,7,38,Mike_Willesee
64,7,78,Mike_Willesee
65,7,39,Mike_Willesee
66,7,31,Mike_Willesee
67,7,44,Mike_Willesee
68,7,49,Mike_Willesee
69,7,32,Mike_Willesee
70,7,33,Mike_Willesee
71,7,52,Mike_Willesee
72,7,31,Mike_Willesee
73,7,36,Mike_Willesee
74,7,30,Mike_Willesee
75,7,29,Mike_Willesee
76,7,31,Mike_Willesee
77,7,35,Mike_Willesee
78,7,46,Mike_Willesee
79,7,43,Mike_Willesee
80,7,57,Mike_Willesee
81,7,32,Mike_Willesee
82,7,42,Mike_Willesee
83,7,51,Mike_Willesee
84,7,61,Mike_Willesee
85,7,72,Mike_Willesee
86,7,69,Mike_Willesee
87,7,85,Mike_Willesee
88,7,50,Mike_Willesee
89,7,47,Mike_Willesee
90,7,70,Mike_Willesee
91,7,74,Mike_Willesee
92,7,119,Mike_Willesee
93,7,65,Mike_Willesee
94,7,67,Mike_Willesee
95,7,41,Mike_Willesee
96,7,39,Mike_Willesee
97,7,49,Mike_Willesee
98,7,44,Mike_Willesee
99,7,39,Mike_Willesee
100,7,37,Mike_Willesee
101,7,42,Mike_Willesee
102,7,41,Mike_Willesee
103,7,33,Mike_Willesee
104,7,57,Mike_Willesee
105,7,39,Mike_Willesee
106,7,24,Mike_Willesee
107,7,30,Mike_Willesee
108,7,42,Mike_Willesee
109,7,40,Mike_Willesee
110,7,36,Mike_Willesee
111,7,31,Mike_Willesee
112,7,40,Mike_Willesee
113,7,40,Mike_Willesee
114,7,34,Mike_Willesee
115,7,38,Mike_Willesee
116,7,39,Mike_Willesee
117,7,36,Mike_Willesee
118,7,32,Mike_Willesee
119,7,31,Mike_Willesee
120,7,46,Mike_Willesee
121,7,36,Mike_Willesee
122,7,1778,Mike_Willesee
123,7,2030,Mike_Willesee
124,7,1434,Mike_Willesee
125,7,182,Mike_Willesee
126,7,99,Mike_Willesee
127,7,81,Mike_Willesee
128,7,62,Mike_Willesee
129,7,58,Mike_Willesee
130,7,88,Mike_Willesee
131,7,81,Mike_Willesee
132,7,67,Mike_Willesee
133,7,73,Mike_Willesee
134,7,50,Mike_Willesee
135,7,47,Mike_Willesee
136,7,68,Mike_Willesee
137,7,46,Mike_Willesee
138,7,56,Mike_Willesee
139,7,63,Mike_Willesee
140,7,60,Mike_Willesee
141,7,57,Mike_Willesee
142,7,62,Mike_Willesee
143,7,51,Mike_Willesee
144,7,57,Mike_Willesee
145,7,50,Mike_Willesee
146,7,49,Mike_Willesee
147,7,53,Mike_Willesee
148,7,51,Mike_Willesee
149,7,46,Mike_Willesee
150,7,57,Mike_Willesee
151,7,60,Mike_Willesee
152,7,62,Mike_Willesee
153,7,51,Mike_Willesee
154,7,47,Mike_Willesee
155,7,47,Mike_Willesee
156,7,83,Mike_Willesee
157,7,55,Mike_Willesee
158,7,43,Mike_Willesee
159,7,62,Mike_Willesee
160,7,44,Mike_Willesee
161,7,52,Mike_Willesee
162,7,61,Mike_Willesee
163,7,64,Mike_Willesee
164,7,61,Mike_Willesee
165,7,57,Mike_Willesee
166,7,48,Mike_Willesee
167,7,43,Mike_Willesee
