bin,binSize,median,article,timestamp
0,7,1034,Molly_Parker,20150701
1,7,1045,Molly_Parker,20150701
2,7,1116,Molly_Parker,20150701
3,7,1035,Molly_Parker,20150701
4,7,1132,Molly_Parker,20150701
5,7,1073,Molly_Parker,20150701
6,7,1222,Molly_Parker,20150701
7,7,1095,Molly_Parker,20150701
8,7,1081,Molly_Parker,20150701
9,7,963,Molly_Parker,20150701
10,7,958,Molly_Parker,20150701
11,7,921,Molly_Parker,20150701
12,7,904,Molly_Parker,20150701
13,7,886,Molly_Parker,20150701
14,7,805,Molly_Parker,20150701
15,7,797,Molly_Parker,20150701
16,7,828,Molly_Parker,20150701
17,7,781,Molly_Parker,20150701
18,7,792,Molly_Parker,20150701
19,7,759,Molly_Parker,20150701
20,7,708,Molly_Parker,20150701
21,7,780,Molly_Parker,20150701
22,7,764,Molly_Parker,20150701
23,7,736,Molly_Parker,20150701
24,7,897,Molly_Parker,20150701
25,7,925,Molly_Parker,20150701
26,7,1283,Molly_Parker,20150701
27,7,1399,Molly_Parker,20150701
28,7,1091,Molly_Parker,20150701
29,7,1156,Molly_Parker,20150701
30,7,1088,Molly_Parker,20150701
31,7,1129,Molly_Parker,20150701
32,7,1327,Molly_Parker,20150701
33,7,1277,Molly_Parker,20150701
34,7,1590,Molly_Parker,20150701
35,7,5092,Molly_Parker,20150701
36,7,4835,Molly_Parker,20150701
37,7,3075,Molly_Parker,20150701
38,7,2461,Molly_Parker,20150701
39,7,2047,Molly_Parker,20150701
40,7,1673,Molly_Parker,20150701
41,7,1705,Molly_Parker,20150701
42,7,1412,Molly_Parker,20150701
43,7,1290,Molly_Parker,20150701
44,7,1173,Molly_Parker,20150701
45,7,1091,Molly_Parker,20150701
46,7,1164,Molly_Parker,20150701
47,7,1060,Molly_Parker,20150701
48,7,1232,Molly_Parker,20150701
49,7,1133,Molly_Parker,20150701
50,7,1060,Molly_Parker,20150701
51,7,1070,Molly_Parker,20150701
52,7,1101,Molly_Parker,20150701
53,7,1231,Molly_Parker,20150701
54,7,1288,Molly_Parker,20150701
55,7,1082,Molly_Parker,20150701
56,7,1096,Molly_Parker,20150701
57,7,1080,Molly_Parker,20150701
58,7,963,Molly_Parker,20150701
59,7,905,Molly_Parker,20150701
60,7,1222,Molly_Parker,20150701
61,7,1261,Molly_Parker,20150701
62,7,1094,Molly_Parker,20150701
63,7,1039,Molly_Parker,20150701
64,7,934,Molly_Parker,20150701
65,7,1130,Molly_Parker,20150701
66,7,974,Molly_Parker,20150701
67,7,2966,Molly_Parker,20150701
68,7,2661,Molly_Parker,20150701
69,7,2232,Molly_Parker,20150701
70,7,1978,Molly_Parker,20150701
71,7,1729,Molly_Parker,20150701
72,7,1792,Molly_Parker,20150701
73,7,2042,Molly_Parker,20150701
74,7,1775,Molly_Parker,20150701
75,7,1572,Molly_Parker,20150701
76,7,1539,Molly_Parker,20150701
77,7,1443,Molly_Parker,20150701
78,7,1865,Molly_Parker,20150701
79,7,2020,Molly_Parker,20150701
80,7,2162,Molly_Parker,20150701
81,7,1863,Molly_Parker,20150701
82,7,1853,Molly_Parker,20150701
83,7,1736,Molly_Parker,20150701
84,7,1581,Molly_Parker,20150701
85,7,1451,Molly_Parker,20150701
86,7,1553,Molly_Parker,20150701
87,7,1379,Molly_Parker,20150701
88,7,1350,Molly_Parker,20150701
89,7,1233,Molly_Parker,20150701
90,7,1123,Molly_Parker,20150701
91,7,1170,Molly_Parker,20150701
92,7,1069,Molly_Parker,20150701
93,7,1062,Molly_Parker,20150701
94,7,1118,Molly_Parker,20150701
95,7,2290,Molly_Parker,20150701
96,7,1700,Molly_Parker,20150701
97,7,1344,Molly_Parker,20150701
98,7,1189,Molly_Parker,20150701
99,7,1311,Molly_Parker,20150701
100,7,2613,Molly_Parker,20150701
101,7,1834,Molly_Parker,20150701
102,7,1587,Molly_Parker,20150701
103,7,1434,Molly_Parker,20150701
104,7,1501,Molly_Parker,20150701
105,7,1435,Molly_Parker,20150701
106,7,1386,Molly_Parker,20150701
107,7,1344,Molly_Parker,20150701
108,7,1367,Molly_Parker,20150701
109,7,1255,Molly_Parker,20150701
110,7,1112,Molly_Parker,20150701
111,7,1068,Molly_Parker,20150701
112,7,1067,Molly_Parker,20150701
113,7,1077,Molly_Parker,20150701
114,7,1007,Molly_Parker,20150701
115,7,969,Molly_Parker,20150701
116,7,1098,Molly_Parker,20150701
117,7,979,Molly_Parker,20150701
118,7,884,Molly_Parker,20150701
119,7,937,Molly_Parker,20150701
120,7,4062,Molly_Parker,20150701
121,7,2580,Molly_Parker,20150701
122,7,2116,Molly_Parker,20150701
123,7,1673,Molly_Parker,20150701
124,7,1479,Molly_Parker,20150701
125,7,1370,Molly_Parker,20150701
126,7,1254,Molly_Parker,20150701
127,7,1202,Molly_Parker,20150701
128,7,1312,Molly_Parker,20150701
129,7,1616,Molly_Parker,20150701
130,7,1819,Molly_Parker,20150701
131,7,1714,Molly_Parker,20150701
132,7,1414,Molly_Parker,20150701
133,7,1335,Molly_Parker,20150701
134,7,1319,Molly_Parker,20150701
135,7,1254,Molly_Parker,20150701
136,7,1297,Molly_Parker,20150701
137,7,1142,Molly_Parker,20150701
138,7,2021,Molly_Parker,20150701
139,7,1266,Molly_Parker,20150701
140,7,1655,Molly_Parker,20150701
141,7,1160,Molly_Parker,20150701
142,7,1501,Molly_Parker,20150701
143,7,1643,Molly_Parker,20150701
144,7,2478,Molly_Parker,20150701
145,7,24380,Molly_Parker,20150701
146,7,16934,Molly_Parker,20150701
147,7,9166,Molly_Parker,20150701
148,7,6482,Molly_Parker,20150701
149,7,4548,Molly_Parker,20150701
150,7,3768,Molly_Parker,20150701
151,7,3654,Molly_Parker,20150701
152,7,3085,Molly_Parker,20150701
153,7,2781,Molly_Parker,20150701
154,7,3126,Molly_Parker,20150701
155,7,3073,Molly_Parker,20150701
156,7,2593,Molly_Parker,20150701
157,7,2699,Molly_Parker,20150701
158,7,2129,Molly_Parker,20150701
159,7,2133,Molly_Parker,20150701
160,7,2350,Molly_Parker,20150701
161,7,1972,Molly_Parker,20150701
162,7,1873,Molly_Parker,20150701
163,7,1900,Molly_Parker,20150701
164,7,1617,Molly_Parker,20150701
165,7,1558,Molly_Parker,20150701
166,7,1350,Molly_Parker,20150701
167,7,1079,Molly_Parker,20150701
