bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,1752.7747224509499,12906.99529507581,20150701,N._T._Rama_Rao
1,7,1852.7425078795766,13096.955153996425,20150708,N._T._Rama_Rao
2,7,1938.573462217866,14106.551193125375,20150715,N._T._Rama_Rao
3,7,2103.6534232084177,16242.1392620499,20150722,N._T._Rama_Rao
4,7,1752.0016376013211,12908.543217624449,20150729,N._T._Rama_Rao
5,7,1812.1116965579295,13051.553626301597,20150805,N._T._Rama_Rao
6,7,2109.113047160164,14957.326696021832,20150812,N._T._Rama_Rao
7,7,2024.1849203992797,14646.617779252008,20150819,N._T._Rama_Rao
8,7,1998.6317352711915,14264.597072490624,20150826,N._T._Rama_Rao
9,7,1990.1916988071503,12976.705901054691,20150902,N._T._Rama_Rao
10,7,1896.3152483722722,13088.703813787437,20150909,N._T._Rama_Rao
11,7,2020.5075479374796,14873.502642680009,20150916,N._T._Rama_Rao
12,7,1910.7534850624568,13543.60256117332,20150923,N._T._Rama_Rao
13,7,1832.3876388510005,12966.909412754952,20150930,N._T._Rama_Rao
14,7,2040.1822906295774,15012.403130941468,20151007,N._T._Rama_Rao
15,7,2026.088117337049,14003.016424575042,20151014,N._T._Rama_Rao
16,7,2285.57568082647,16253.661019881185,20151021,N._T._Rama_Rao
17,7,2251.4430724921713,15896.736493477825,20151028,N._T._Rama_Rao
18,7,1943.0336904287988,13811.614124286316,20151103,N._T._Rama_Rao
19,7,2059.3322066073592,14778.16776495728,20151110,N._T._Rama_Rao
20,7,2195.3161849730527,15302.782819405676,20151117,N._T._Rama_Rao
21,7,2103.2263208258223,15029.09443664193,20151124,N._T._Rama_Rao
22,7,1980.4662543829643,15042.44838669318,20151201,N._T._Rama_Rao
23,7,2079.159779813691,14622.352841185782,20151208,N._T._Rama_Rao
24,7,2232.9125657866075,15170.365498752488,20151215,N._T._Rama_Rao
25,7,2831.705073926025,19909.78606375248,20151222,N._T._Rama_Rao
26,7,2622.0938064074603,18557.848423168063,20151229,N._T._Rama_Rao
27,7,2276.505017596777,16221.506049274874,20160105,N._T._Rama_Rao
28,7,2800.3541596489854,28310.460293892294,20160112,N._T._Rama_Rao
29,7,2534.0942697069277,19166.86392803731,20160119,N._T._Rama_Rao
30,7,2046.0491381136578,14984.912087694685,20160126,N._T._Rama_Rao
31,7,1907.9293872233754,12893.903363960746,20160202,N._T._Rama_Rao
32,7,1691.8831810854485,12122.91648967962,20160209,N._T._Rama_Rao
33,7,1625.1167496518067,11560.928706824223,20160216,N._T._Rama_Rao
34,7,1768.8116894569832,11932.94583248006,20160223,N._T._Rama_Rao
35,7,1783.7464469768825,12168.253660030905,20160301,N._T._Rama_Rao
36,7,1898.749540920368,14092.132134433712,20160308,N._T._Rama_Rao
37,7,1451.6773450695428,10217.95580912812,20160316,N._T._Rama_Rao
38,7,1902.66585272996,16885.02502625515,20160323,N._T._Rama_Rao
39,7,1663.3343490570653,13184.978102145587,20160330,N._T._Rama_Rao
40,7,1846.4955176219187,13401.664182696008,20160406,N._T._Rama_Rao
41,7,1567.460556603449,11365.416134394423,20160413,N._T._Rama_Rao
42,7,1806.190592562259,13928.968048009589,20160420,N._T._Rama_Rao
43,7,1698.8659681633046,11559.610308963966,20160427,N._T._Rama_Rao
44,7,1484.69618481225,10948.94166265006,20160504,N._T._Rama_Rao
45,7,1694.8568393110088,11853.047987272297,20160511,N._T._Rama_Rao
46,7,2022.1370034368322,15506.306956834464,20160518,N._T._Rama_Rao
47,7,2268.8192600859215,22627.95716355723,20160525,N._T._Rama_Rao
