bin,binSize,median,article
0,7,129,Pam_Ayres
1,7,123,Pam_Ayres
2,7,98,Pam_Ayres
3,7,128,Pam_Ayres
4,7,154,Pam_Ayres
5,7,122,Pam_Ayres
6,7,154,Pam_Ayres
7,7,240,Pam_Ayres
8,7,149,Pam_Ayres
9,7,130,Pam_Ayres
10,7,111,Pam_Ayres
11,7,105,Pam_Ayres
12,7,108,Pam_Ayres
13,7,141,Pam_Ayres
14,7,160,Pam_Ayres
15,7,180,Pam_Ayres
16,7,235,Pam_Ayres
17,7,225,Pam_Ayres
18,7,191,Pam_Ayres
19,7,248,Pam_Ayres
20,7,234,Pam_Ayres
21,7,259,Pam_Ayres
22,7,236,Pam_Ayres
23,7,226,Pam_Ayres
24,7,176,Pam_Ayres
25,7,286,Pam_Ayres
26,7,351,Pam_Ayres
27,7,210,Pam_Ayres
28,7,220,Pam_Ayres
29,7,152,Pam_Ayres
30,7,163,Pam_Ayres
31,7,156,Pam_Ayres
32,7,173,Pam_Ayres
33,7,139,Pam_Ayres
34,7,196,Pam_Ayres
35,7,170,Pam_Ayres
36,7,175,Pam_Ayres
37,7,169,Pam_Ayres
38,7,122,Pam_Ayres
39,7,123,Pam_Ayres
40,7,114,Pam_Ayres
41,7,148,Pam_Ayres
42,7,220,Pam_Ayres
43,7,142,Pam_Ayres
44,7,127,Pam_Ayres
45,7,144,Pam_Ayres
46,7,144,Pam_Ayres
47,7,156,Pam_Ayres
48,7,137,Pam_Ayres
49,7,139,Pam_Ayres
50,7,137,Pam_Ayres
51,7,164,Pam_Ayres
52,7,130,Pam_Ayres
53,7,136,Pam_Ayres
54,7,121,Pam_Ayres
55,7,126,Pam_Ayres
56,7,136,Pam_Ayres
57,7,110,Pam_Ayres
58,7,122,Pam_Ayres
59,7,115,Pam_Ayres
60,7,149,Pam_Ayres
61,7,118,Pam_Ayres
62,7,117,Pam_Ayres
63,7,115,Pam_Ayres
64,7,141,Pam_Ayres
65,7,531,Pam_Ayres
66,7,347,Pam_Ayres
67,7,392,Pam_Ayres
68,7,246,Pam_Ayres
69,7,197,Pam_Ayres
70,7,287,Pam_Ayres
71,7,262,Pam_Ayres
72,7,272,Pam_Ayres
73,7,276,Pam_Ayres
74,7,282,Pam_Ayres
75,7,224,Pam_Ayres
76,7,217,Pam_Ayres
77,7,266,Pam_Ayres
78,7,340,Pam_Ayres
79,7,337,Pam_Ayres
80,7,255,Pam_Ayres
81,7,240,Pam_Ayres
82,7,233,Pam_Ayres
83,7,176,Pam_Ayres
84,7,220,Pam_Ayres
85,7,222,Pam_Ayres
86,7,207,Pam_Ayres
87,7,223,Pam_Ayres
88,7,160,Pam_Ayres
89,7,173,Pam_Ayres
90,7,213,Pam_Ayres
91,7,160,Pam_Ayres
92,7,171,Pam_Ayres
93,7,178,Pam_Ayres
94,7,195,Pam_Ayres
95,7,155,Pam_Ayres
96,7,154,Pam_Ayres
97,7,139,Pam_Ayres
98,7,187,Pam_Ayres
99,7,157,Pam_Ayres
100,7,151,Pam_Ayres
101,7,132,Pam_Ayres
102,7,256,Pam_Ayres
103,7,166,Pam_Ayres
104,7,166,Pam_Ayres
105,7,190,Pam_Ayres
106,7,179,Pam_Ayres
107,7,158,Pam_Ayres
108,7,148,Pam_Ayres
109,7,137,Pam_Ayres
110,7,124,Pam_Ayres
111,7,123,Pam_Ayres
112,7,161,Pam_Ayres
113,7,123,Pam_Ayres
114,7,148,Pam_Ayres
115,7,164,Pam_Ayres
116,7,222,Pam_Ayres
117,7,160,Pam_Ayres
118,7,220,Pam_Ayres
119,7,198,Pam_Ayres
120,7,227,Pam_Ayres
121,7,232,Pam_Ayres
122,7,267,Pam_Ayres
123,7,750,Pam_Ayres
124,7,332,Pam_Ayres
125,7,264,Pam_Ayres
126,7,381,Pam_Ayres
127,7,260,Pam_Ayres
128,7,187,Pam_Ayres
129,7,186,Pam_Ayres
130,7,415,Pam_Ayres
131,7,220,Pam_Ayres
132,7,219,Pam_Ayres
133,7,240,Pam_Ayres
134,7,229,Pam_Ayres
135,7,219,Pam_Ayres
136,7,237,Pam_Ayres
137,7,201,Pam_Ayres
138,7,247,Pam_Ayres
139,7,311,Pam_Ayres
140,7,280,Pam_Ayres
141,7,486,Pam_Ayres
142,7,291,Pam_Ayres
143,7,247,Pam_Ayres
144,7,201,Pam_Ayres
145,7,245,Pam_Ayres
146,7,171,Pam_Ayres
147,7,145,Pam_Ayres
148,7,223,Pam_Ayres
149,7,223,Pam_Ayres
150,7,128,Pam_Ayres
151,7,143,Pam_Ayres
152,7,530,Pam_Ayres
153,7,255,Pam_Ayres
154,7,233,Pam_Ayres
155,7,145,Pam_Ayres
156,7,140,Pam_Ayres
157,7,167,Pam_Ayres
158,7,232,Pam_Ayres
159,7,203,Pam_Ayres
160,7,188,Pam_Ayres
161,7,309,Pam_Ayres
162,7,685,Pam_Ayres
163,7,602,Pam_Ayres
164,7,395,Pam_Ayres
165,7,279,Pam_Ayres
166,7,288,Pam_Ayres
167,7,254.5,Pam_Ayres
