bin,binSize,median,timestamp,article
0,7,57,20150701,Papa_Wemba
1,7,57,20150708,Papa_Wemba
2,7,71,20150715,Papa_Wemba
3,7,62,20150722,Papa_Wemba
4,7,73,20150729,Papa_Wemba
5,7,68,20150805,Papa_Wemba
6,7,62,20150812,Papa_Wemba
7,7,74,20150819,Papa_Wemba
8,7,85,20150826,Papa_Wemba
9,7,72,20150902,Papa_Wemba
10,7,68,20150909,Papa_Wemba
11,7,72,20150916,Papa_Wemba
12,7,75,20150923,Papa_Wemba
13,7,62,20150930,Papa_Wemba
14,7,72,20151007,Papa_Wemba
15,7,69,20151014,Papa_Wemba
16,7,75,20151021,Papa_Wemba
17,7,78,20151028,Papa_Wemba
18,7,76,20151103,Papa_Wemba
19,7,90,20151110,Papa_Wemba
20,7,86,20151117,Papa_Wemba
21,7,83,20151124,Papa_Wemba
22,7,71,20151201,Papa_Wemba
23,7,75,20151208,Papa_Wemba
24,7,66,20151215,Papa_Wemba
25,7,63,20151222,Papa_Wemba
26,7,74,20151229,Papa_Wemba
27,7,71,20160105,Papa_Wemba
28,7,80,20160112,Papa_Wemba
29,7,80,20160119,Papa_Wemba
30,7,79,20160126,Papa_Wemba
31,7,74,20160202,Papa_Wemba
32,7,86,20160209,Papa_Wemba
33,7,80,20160216,Papa_Wemba
34,7,80,20160223,Papa_Wemba
35,7,67,20160301,Papa_Wemba
36,7,87,20160308,Papa_Wemba
37,7,79,20160316,Papa_Wemba
38,7,83,20160323,Papa_Wemba
39,7,87,20160330,Papa_Wemba
40,7,117,20160406,Papa_Wemba
41,7,89,20160413,Papa_Wemba
42,7,110,20160420,Papa_Wemba
43,7,8440,20160427,Papa_Wemba
44,7,1592,20160504,Papa_Wemba
45,7,727,20160511,Papa_Wemba
46,7,438,20160518,Papa_Wemba
47,7,286,20160525,Papa_Wemba
48,7,280,20160601,Papa_Wemba
49,7,232,20160608,Papa_Wemba
50,7,202,20160615,Papa_Wemba
51,7,213,20160622,Papa_Wemba
52,7,187,20160629,Papa_Wemba
53,7,145,20160706,Papa_Wemba
54,7,169,20160713,Papa_Wemba
55,7,256,20160720,Papa_Wemba
56,7,191,20160727,Papa_Wemba
57,7,147,20160803,Papa_Wemba
58,7,131,20160810,Papa_Wemba
59,7,129,20160817,Papa_Wemba
60,7,131,20160824,Papa_Wemba
61,7,138,20160831,Papa_Wemba
62,7,134,20160907,Papa_Wemba
63,7,135,20160914,Papa_Wemba
64,7,132,20160921,Papa_Wemba
65,7,135,20160928,Papa_Wemba
66,7,132,20161005,Papa_Wemba
67,7,144,20161012,Papa_Wemba
