bin,binSize,median,article
0,7,152,Paul_Stastny
1,7,104,Paul_Stastny
2,7,88,Paul_Stastny
3,7,103,Paul_Stastny
4,7,86,Paul_Stastny
5,7,92,Paul_Stastny
6,7,90,Paul_Stastny
7,7,88,Paul_Stastny
8,7,98,Paul_Stastny
9,7,85,Paul_Stastny
10,7,87,Paul_Stastny
11,7,98,Paul_Stastny
12,7,99,Paul_Stastny
13,7,136,Paul_Stastny
14,7,190,Paul_Stastny
15,7,200,Paul_Stastny
16,7,143,Paul_Stastny
17,7,126,Paul_Stastny
18,7,134,Paul_Stastny
19,7,156,Paul_Stastny
20,7,143,Paul_Stastny
21,7,172,Paul_Stastny
22,7,159,Paul_Stastny
23,7,177,Paul_Stastny
24,7,119,Paul_Stastny
25,7,160,Paul_Stastny
26,7,150,Paul_Stastny
27,7,164,Paul_Stastny
28,7,160,Paul_Stastny
29,7,201,Paul_Stastny
30,7,126,Paul_Stastny
31,7,114,Paul_Stastny
32,7,170,Paul_Stastny
33,7,181,Paul_Stastny
34,7,207,Paul_Stastny
35,7,131,Paul_Stastny
36,7,143,Paul_Stastny
37,7,100,Paul_Stastny
38,7,119,Paul_Stastny
39,7,125,Paul_Stastny
40,7,126,Paul_Stastny
41,7,191,Paul_Stastny
42,7,614,Paul_Stastny
43,7,209,Paul_Stastny
44,7,581,Paul_Stastny
45,7,475,Paul_Stastny
46,7,381,Paul_Stastny
47,7,133,Paul_Stastny
48,7,98,Paul_Stastny
49,7,76,Paul_Stastny
50,7,79,Paul_Stastny
51,7,109,Paul_Stastny
52,7,100,Paul_Stastny
53,7,80,Paul_Stastny
54,7,68,Paul_Stastny
55,7,61,Paul_Stastny
56,7,74,Paul_Stastny
57,7,62,Paul_Stastny
58,7,63,Paul_Stastny
59,7,61,Paul_Stastny
60,7,86,Paul_Stastny
61,7,63,Paul_Stastny
62,7,86,Paul_Stastny
63,7,115,Paul_Stastny
64,7,131,Paul_Stastny
65,7,103,Paul_Stastny
66,7,150,Paul_Stastny
67,7,289,Paul_Stastny
68,7,201,Paul_Stastny
69,7,122,Paul_Stastny
70,7,160,Paul_Stastny
71,7,127,Paul_Stastny
72,7,113,Paul_Stastny
73,7,111,Paul_Stastny
74,7,120,Paul_Stastny
75,7,153,Paul_Stastny
76,7,110,Paul_Stastny
77,7,191,Paul_Stastny
78,7,548,Paul_Stastny
79,7,212,Paul_Stastny
80,7,164,Paul_Stastny
81,7,140,Paul_Stastny
82,7,182,Paul_Stastny
83,7,153,Paul_Stastny
84,7,187,Paul_Stastny
85,7,200,Paul_Stastny
86,7,206,Paul_Stastny
87,7,157,Paul_Stastny
88,7,150,Paul_Stastny
89,7,106,Paul_Stastny
90,7,162,Paul_Stastny
91,7,150,Paul_Stastny
92,7,139,Paul_Stastny
93,7,254,Paul_Stastny
94,7,268,Paul_Stastny
95,7,216,Paul_Stastny
96,7,389,Paul_Stastny
97,7,202,Paul_Stastny
98,7,112,Paul_Stastny
99,7,105,Paul_Stastny
100,7,93,Paul_Stastny
101,7,83,Paul_Stastny
102,7,80,Paul_Stastny
103,7,117,Paul_Stastny
104,7,99,Paul_Stastny
105,7,98,Paul_Stastny
106,7,75,Paul_Stastny
107,7,64,Paul_Stastny
108,7,75,Paul_Stastny
109,7,72,Paul_Stastny
110,7,77,Paul_Stastny
111,7,60,Paul_Stastny
112,7,54,Paul_Stastny
113,7,54,Paul_Stastny
114,7,61,Paul_Stastny
115,7,76,Paul_Stastny
116,7,74,Paul_Stastny
117,7,89,Paul_Stastny
118,7,162,Paul_Stastny
119,7,164,Paul_Stastny
120,7,149,Paul_Stastny
121,7,137,Paul_Stastny
122,7,171,Paul_Stastny
123,7,129,Paul_Stastny
124,7,137,Paul_Stastny
125,7,124,Paul_Stastny
126,7,131,Paul_Stastny
127,7,147,Paul_Stastny
128,7,120,Paul_Stastny
129,7,101,Paul_Stastny
130,7,173,Paul_Stastny
131,7,247,Paul_Stastny
132,7,134,Paul_Stastny
133,7,143,Paul_Stastny
134,7,138,Paul_Stastny
135,7,118,Paul_Stastny
136,7,144,Paul_Stastny
137,7,154,Paul_Stastny
138,7,189,Paul_Stastny
139,7,920,Paul_Stastny
140,7,369,Paul_Stastny
141,7,270,Paul_Stastny
142,7,268,Paul_Stastny
143,7,357,Paul_Stastny
144,7,286,Paul_Stastny
145,7,592,Paul_Stastny
146,7,295,Paul_Stastny
147,7,406,Paul_Stastny
148,7,1184,Paul_Stastny
149,7,1380,Paul_Stastny
150,7,442,Paul_Stastny
151,7,171,Paul_Stastny
152,7,162,Paul_Stastny
153,7,134,Paul_Stastny
154,7,196,Paul_Stastny
155,7,318,Paul_Stastny
156,7,621,Paul_Stastny
157,7,333,Paul_Stastny
158,7,222,Paul_Stastny
159,7,169,Paul_Stastny
160,7,143,Paul_Stastny
161,7,141,Paul_Stastny
162,7,123,Paul_Stastny
163,7,129,Paul_Stastny
164,7,126,Paul_Stastny
165,7,120,Paul_Stastny
166,7,110,Paul_Stastny
167,7,448.5,Paul_Stastny
