bin,binSize,median,timestamp,article
0,7,3045,20150701,Penn_Badgley
1,7,3688,20150708,Penn_Badgley
2,7,3385,20150715,Penn_Badgley
3,7,3619,20150722,Penn_Badgley
4,7,3327,20150729,Penn_Badgley
5,7,3470,20150805,Penn_Badgley
6,7,3319,20150812,Penn_Badgley
7,7,2999,20150819,Penn_Badgley
8,7,2848,20150826,Penn_Badgley
9,7,2978,20150902,Penn_Badgley
10,7,3039,20150909,Penn_Badgley
11,7,2930,20150916,Penn_Badgley
12,7,2838,20150923,Penn_Badgley
13,7,2708,20150930,Penn_Badgley
14,7,2407,20151007,Penn_Badgley
15,7,2268,20151014,Penn_Badgley
16,7,2393,20151021,Penn_Badgley
17,7,2411,20151028,Penn_Badgley
18,7,2519,20151103,Penn_Badgley
19,7,2343,20151110,Penn_Badgley
20,7,2230,20151117,Penn_Badgley
21,7,2495,20151124,Penn_Badgley
22,7,2777,20151201,Penn_Badgley
23,7,2603,20151208,Penn_Badgley
24,7,2589,20151215,Penn_Badgley
25,7,2766,20151222,Penn_Badgley
26,7,3703,20151229,Penn_Badgley
27,7,3212,20160105,Penn_Badgley
28,7,3081,20160112,Penn_Badgley
29,7,2997,20160119,Penn_Badgley
30,7,2861,20160126,Penn_Badgley
31,7,2531,20160202,Penn_Badgley
32,7,4587,20160209,Penn_Badgley
33,7,4298,20160216,Penn_Badgley
34,7,3216,20160223,Penn_Badgley
35,7,3120,20160301,Penn_Badgley
36,7,3841,20160308,Penn_Badgley
37,7,3311,20160316,Penn_Badgley
38,7,3047,20160323,Penn_Badgley
39,7,2841,20160330,Penn_Badgley
40,7,3713,20160406,Penn_Badgley
41,7,3378,20160413,Penn_Badgley
42,7,2936,20160420,Penn_Badgley
43,7,3095,20160427,Penn_Badgley
44,7,3283,20160504,Penn_Badgley
45,7,4159,20160511,Penn_Badgley
46,7,4715,20160518,Penn_Badgley
47,7,3082,20160525,Penn_Badgley
48,7,3097,20160601,Penn_Badgley
49,7,3094,20160608,Penn_Badgley
50,7,3079,20160615,Penn_Badgley
51,7,4712,20160622,Penn_Badgley
52,7,3732,20160629,Penn_Badgley
53,7,3715,20160706,Penn_Badgley
54,7,4000,20160713,Penn_Badgley
55,7,2993,20160720,Penn_Badgley
56,7,2899,20160727,Penn_Badgley
57,7,2566,20160803,Penn_Badgley
58,7,2489,20160810,Penn_Badgley
59,7,2550,20160817,Penn_Badgley
60,7,3170,20160824,Penn_Badgley
61,7,2518,20160831,Penn_Badgley
62,7,2260,20160907,Penn_Badgley
63,7,2215,20160914,Penn_Badgley
64,7,2105,20160921,Penn_Badgley
65,7,2790,20160928,Penn_Badgley
66,7,1826,20161005,Penn_Badgley
67,7,1655,20161012,Penn_Badgley
68,7,1497,20161019,Penn_Badgley
69,7,1738,20161026,Penn_Badgley
70,7,1663,20161102,Penn_Badgley
71,7,1576,20161108,Penn_Badgley
72,7,1484,20161115,Penn_Badgley
73,7,1374,20161122,Penn_Badgley
74,7,2984,20161129,Penn_Badgley
75,7,1638,20161206,Penn_Badgley
76,7,1808,20161213,Penn_Badgley
77,7,1838,20161220,Penn_Badgley
78,7,2017,20161227,Penn_Badgley
79,7,2816,20170103,Penn_Badgley
80,7,2217,20170110,Penn_Badgley
81,7,2787,20170117,Penn_Badgley
82,7,2647,20170124,Penn_Badgley
83,7,2212,20170131,Penn_Badgley
84,7,1840,20170207,Penn_Badgley
85,7,1729,20170214,Penn_Badgley
86,7,2262,20170221,Penn_Badgley
87,7,3086,20170228,Penn_Badgley
88,7,2309,20170307,Penn_Badgley
89,7,2308,20170315,Penn_Badgley
90,7,1906,20170322,Penn_Badgley
91,7,2541,20170329,Penn_Badgley
