bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,2199.484550024505,18574.783169461123,20150701,Peter_Falk
1,7,2339.409334044808,18604.15831776349,20150708,Peter_Falk
2,7,2289.002702476674,18119.040684302217,20150715,Peter_Falk
3,7,2474.795503175433,20066.593899838907,20150722,Peter_Falk
4,7,2163.349898094398,19197.193608551792,20150729,Peter_Falk
5,7,1973.2046080141174,17602.446391154823,20150805,Peter_Falk
6,7,2896.621490241533,20698.005491374108,20150812,Peter_Falk
7,7,2521.635626309211,21395.76335097033,20150819,Peter_Falk
8,7,2334.974595925312,20220.11178025762,20150826,Peter_Falk
9,7,2294.4671108038383,24901.86326672272,20150902,Peter_Falk
10,7,2110.181252764482,18024.152140522143,20150909,Peter_Falk
11,7,2513.7522028704657,18507.058903707737,20150916,Peter_Falk
12,7,2320.8766876900618,16895.38096498085,20150923,Peter_Falk
13,7,1942.8643879353192,15680.443750649149,20150930,Peter_Falk
14,7,2479.010000985734,24832.592571714347,20151007,Peter_Falk
15,7,2060.6634787261346,19700.194580132862,20151014,Peter_Falk
16,7,2815.0141033955388,19858.59240760504,20151021,Peter_Falk
17,7,2763.733131371794,18842.688277976547,20151028,Peter_Falk
18,7,1877.3014164857516,18919.471419892743,20151103,Peter_Falk
19,7,2198.2134218991173,21365.46874939454,20151110,Peter_Falk
20,7,2381.17779449453,19549.596299970905,20151117,Peter_Falk
21,7,2660.7227256504166,18450.016850482112,20151124,Peter_Falk
22,7,2224.4188418190865,16885.33060369287,20151201,Peter_Falk
23,7,2200.557265897386,17729.71719632265,20151208,Peter_Falk
24,7,2867.2118454811166,23733.868647459953,20151215,Peter_Falk
25,7,3096.417986703145,22199.09113520623,20151222,Peter_Falk
26,7,2813.8673479023155,20265.662814651478,20151229,Peter_Falk
27,7,2304.022299103233,19138.141415844515,20160105,Peter_Falk
28,7,2250.1490740810955,19344.948182533823,20160112,Peter_Falk
29,7,2748.169133572908,18955.445558970747,20160119,Peter_Falk
30,7,3800.704237956278,26137.354281767934,20160126,Peter_Falk
31,7,2652.2825038145406,34608.70711274222,20160202,Peter_Falk
32,7,1876.511862766982,19806.5248682038,20160209,Peter_Falk
33,7,1793.0011230059147,16205.318098539266,20160216,Peter_Falk
34,7,1934.5666111791843,16178.312162722403,20160223,Peter_Falk
