bin,binSize,median,article
0,7,220,Pierre_Boulez
1,7,222,Pierre_Boulez
2,7,225,Pierre_Boulez
3,7,265,Pierre_Boulez
4,7,490,Pierre_Boulez
5,7,391,Pierre_Boulez
6,7,414,Pierre_Boulez
7,7,393,Pierre_Boulez
8,7,400,Pierre_Boulez
9,7,384,Pierre_Boulez
10,7,409,Pierre_Boulez
11,7,382,Pierre_Boulez
12,7,380,Pierre_Boulez
13,7,357,Pierre_Boulez
14,7,408,Pierre_Boulez
15,7,385,Pierre_Boulez
16,7,428,Pierre_Boulez
17,7,429,Pierre_Boulez
18,7,452,Pierre_Boulez
19,7,421,Pierre_Boulez
20,7,444,Pierre_Boulez
21,7,404,Pierre_Boulez
22,7,452,Pierre_Boulez
23,7,479,Pierre_Boulez
24,7,428,Pierre_Boulez
25,7,358,Pierre_Boulez
26,7,344,Pierre_Boulez
27,7,9101,Pierre_Boulez
28,7,1652,Pierre_Boulez
29,7,804,Pierre_Boulez
30,7,734,Pierre_Boulez
31,7,588,Pierre_Boulez
32,7,446,Pierre_Boulez
33,7,609,Pierre_Boulez
34,7,431,Pierre_Boulez
35,7,388,Pierre_Boulez
36,7,330,Pierre_Boulez
37,7,349,Pierre_Boulez
38,7,509,Pierre_Boulez
39,7,432,Pierre_Boulez
40,7,429,Pierre_Boulez
41,7,447,Pierre_Boulez
42,7,533,Pierre_Boulez
43,7,430,Pierre_Boulez
44,7,419,Pierre_Boulez
45,7,363,Pierre_Boulez
46,7,406,Pierre_Boulez
47,7,289,Pierre_Boulez
48,7,293,Pierre_Boulez
49,7,272,Pierre_Boulez
50,7,268,Pierre_Boulez
51,7,277,Pierre_Boulez
52,7,205,Pierre_Boulez
53,7,227,Pierre_Boulez
54,7,254,Pierre_Boulez
55,7,246,Pierre_Boulez
56,7,303,Pierre_Boulez
57,7,241,Pierre_Boulez
58,7,234,Pierre_Boulez
59,7,248,Pierre_Boulez
60,7,272,Pierre_Boulez
61,7,284,Pierre_Boulez
62,7,307,Pierre_Boulez
63,7,341,Pierre_Boulez
64,7,274,Pierre_Boulez
65,7,277,Pierre_Boulez
66,7,297,Pierre_Boulez
67,7,277,Pierre_Boulez
68,7,260,Pierre_Boulez
69,7,297,Pierre_Boulez
70,7,292,Pierre_Boulez
71,7,361,Pierre_Boulez
72,7,334,Pierre_Boulez
73,7,360,Pierre_Boulez
74,7,347,Pierre_Boulez
75,7,381,Pierre_Boulez
76,7,314,Pierre_Boulez
77,7,310,Pierre_Boulez
78,7,596,Pierre_Boulez
79,7,433,Pierre_Boulez
80,7,321,Pierre_Boulez
81,7,304,Pierre_Boulez
82,7,325,Pierre_Boulez
83,7,362,Pierre_Boulez
84,7,339,Pierre_Boulez
85,7,376,Pierre_Boulez
86,7,378,Pierre_Boulez
87,7,340,Pierre_Boulez
88,7,371,Pierre_Boulez
89,7,319,Pierre_Boulez
90,7,334,Pierre_Boulez
91,7,353,Pierre_Boulez
92,7,305,Pierre_Boulez
93,7,295,Pierre_Boulez
94,7,318,Pierre_Boulez
95,7,358,Pierre_Boulez
96,7,341,Pierre_Boulez
97,7,281,Pierre_Boulez
98,7,260,Pierre_Boulez
99,7,266,Pierre_Boulez
100,7,243,Pierre_Boulez
101,7,254,Pierre_Boulez
102,7,217,Pierre_Boulez
103,7,233,Pierre_Boulez
104,7,224,Pierre_Boulez
105,7,250,Pierre_Boulez
106,7,253,Pierre_Boulez
107,7,204,Pierre_Boulez
108,7,220,Pierre_Boulez
109,7,202,Pierre_Boulez
110,7,218,Pierre_Boulez
111,7,209,Pierre_Boulez
112,7,220,Pierre_Boulez
113,7,225,Pierre_Boulez
114,7,218,Pierre_Boulez
115,7,244,Pierre_Boulez
116,7,244,Pierre_Boulez
117,7,262,Pierre_Boulez
118,7,287,Pierre_Boulez
119,7,278,Pierre_Boulez
120,7,271,Pierre_Boulez
121,7,251,Pierre_Boulez
122,7,257,Pierre_Boulez
123,7,244,Pierre_Boulez
124,7,305,Pierre_Boulez
125,7,244,Pierre_Boulez
126,7,299,Pierre_Boulez
127,7,304,Pierre_Boulez
128,7,257,Pierre_Boulez
129,7,226,Pierre_Boulez
130,7,223,Pierre_Boulez
131,7,265,Pierre_Boulez
132,7,251,Pierre_Boulez
133,7,255,Pierre_Boulez
134,7,295,Pierre_Boulez
135,7,331,Pierre_Boulez
136,7,322,Pierre_Boulez
137,7,261,Pierre_Boulez
138,7,320,Pierre_Boulez
139,7,272,Pierre_Boulez
140,7,341,Pierre_Boulez
141,7,374,Pierre_Boulez
142,7,346,Pierre_Boulez
143,7,397,Pierre_Boulez
144,7,333,Pierre_Boulez
145,7,316,Pierre_Boulez
146,7,324,Pierre_Boulez
147,7,314,Pierre_Boulez
148,7,404,Pierre_Boulez
149,7,408,Pierre_Boulez
150,7,283,Pierre_Boulez
151,7,310,Pierre_Boulez
152,7,325,Pierre_Boulez
153,7,327,Pierre_Boulez
154,7,308,Pierre_Boulez
155,7,329,Pierre_Boulez
156,7,290,Pierre_Boulez
157,7,228,Pierre_Boulez
158,7,246,Pierre_Boulez
159,7,284,Pierre_Boulez
160,7,245,Pierre_Boulez
161,7,234,Pierre_Boulez
162,7,241,Pierre_Boulez
163,7,268,Pierre_Boulez
164,7,267,Pierre_Boulez
165,7,250,Pierre_Boulez
166,7,261,Pierre_Boulez
167,7,272,Pierre_Boulez
