bin,binSize,median,article,timestamp
0,7,45,Rag'n'Bone_Man,20160718
1,7,77,Rag'n'Bone_Man,20160718
2,7,167,Rag'n'Bone_Man,20160718
3,7,302,Rag'n'Bone_Man,20160718
4,7,528,Rag'n'Bone_Man,20160718
5,7,617,Rag'n'Bone_Man,20160718
6,7,806,Rag'n'Bone_Man,20160718
7,7,1321,Rag'n'Bone_Man,20160718
8,7,1014,Rag'n'Bone_Man,20160718
9,7,2776,Rag'n'Bone_Man,20160718
10,7,1709,Rag'n'Bone_Man,20160718
11,7,1612,Rag'n'Bone_Man,20160718
12,7,1844,Rag'n'Bone_Man,20160718
13,7,2551,Rag'n'Bone_Man,20160718
14,7,2797,Rag'n'Bone_Man,20160718
15,7,3607,Rag'n'Bone_Man,20160718
16,7,3883,Rag'n'Bone_Man,20160718
17,7,4668,Rag'n'Bone_Man,20160718
18,7,5080,Rag'n'Bone_Man,20160718
19,7,7728,Rag'n'Bone_Man,20160718
20,7,7723,Rag'n'Bone_Man,20160718
21,7,8035,Rag'n'Bone_Man,20160718
22,7,7871,Rag'n'Bone_Man,20160718
23,7,6266,Rag'n'Bone_Man,20160718
24,7,10657,Rag'n'Bone_Man,20160718
25,7,7808,Rag'n'Bone_Man,20160718
26,7,7482,Rag'n'Bone_Man,20160718
27,7,6954,Rag'n'Bone_Man,20160718
28,7,8050,Rag'n'Bone_Man,20160718
29,7,10233,Rag'n'Bone_Man,20160718
30,7,23037,Rag'n'Bone_Man,20160718
31,7,25769,Rag'n'Bone_Man,20160718
32,7,12314,Rag'n'Bone_Man,20160718
33,7,8865,Rag'n'Bone_Man,20160718
34,7,8782,Rag'n'Bone_Man,20160718
35,7,9843,Rag'n'Bone_Man,20160718
36,7,9230,Rag'n'Bone_Man,20160718
37,7,7287,Rag'n'Bone_Man,20160718
38,7,7188,Rag'n'Bone_Man,20160718
39,7,6483,Rag'n'Bone_Man,20160718
40,7,6498,Rag'n'Bone_Man,20160718
41,7,7090,Rag'n'Bone_Man,20160718
42,7,6500,Rag'n'Bone_Man,20160718
43,7,5543,Rag'n'Bone_Man,20160718
44,7,5096,Rag'n'Bone_Man,20160718
45,7,4588,Rag'n'Bone_Man,20160718
46,7,4403,Rag'n'Bone_Man,20160718
47,7,3961,Rag'n'Bone_Man,20160718
48,7,4405,Rag'n'Bone_Man,20160718
49,7,4871,Rag'n'Bone_Man,20160718
50,7,3711,Rag'n'Bone_Man,20160718
51,7,3617,Rag'n'Bone_Man,20160718
52,7,2868,Rag'n'Bone_Man,20160718
53,7,3039,Rag'n'Bone_Man,20160718
54,7,2740,Rag'n'Bone_Man,20160718
55,7,3301,Rag'n'Bone_Man,20160718
56,7,2670,Rag'n'Bone_Man,20160718
57,7,2183,Rag'n'Bone_Man,20160718
58,7,2151,Rag'n'Bone_Man,20160718
59,7,2269,Rag'n'Bone_Man,20160718
60,7,2631,Rag'n'Bone_Man,20160718
61,7,2707,Rag'n'Bone_Man,20160718
62,7,2191,Rag'n'Bone_Man,20160718
63,7,2234,Rag'n'Bone_Man,20160718
64,7,2204,Rag'n'Bone_Man,20160718
65,7,2271,Rag'n'Bone_Man,20160718
66,7,2746,Rag'n'Bone_Man,20160718
67,7,2139,Rag'n'Bone_Man,20160718
68,7,2153,Rag'n'Bone_Man,20160718
69,7,2376,Rag'n'Bone_Man,20160718
70,7,3072,Rag'n'Bone_Man,20160718
71,7,2719,Rag'n'Bone_Man,20160718
72,7,2573,Rag'n'Bone_Man,20160718
73,7,2996,Rag'n'Bone_Man,20160718
74,7,3440,Rag'n'Bone_Man,20160718
75,7,3256,Rag'n'Bone_Man,20160718
76,7,2905,Rag'n'Bone_Man,20160718
77,7,2452,Rag'n'Bone_Man,20160718
78,7,2313,Rag'n'Bone_Man,20160718
79,7,2128,Rag'n'Bone_Man,20160718
80,7,2166,Rag'n'Bone_Man,20160718
81,7,1675,Rag'n'Bone_Man,20160718
82,7,1965,Rag'n'Bone_Man,20160718
83,7,7088,Rag'n'Bone_Man,20160718
84,7,2449,Rag'n'Bone_Man,20160718
85,7,2250,Rag'n'Bone_Man,20160718
86,7,1662,Rag'n'Bone_Man,20160718
87,7,1561,Rag'n'Bone_Man,20160718
88,7,1733,Rag'n'Bone_Man,20160718
89,7,1830,Rag'n'Bone_Man,20160718
90,7,1317,Rag'n'Bone_Man,20160718
91,7,1312,Rag'n'Bone_Man,20160718
92,7,1472,Rag'n'Bone_Man,20160718
93,7,1567,Rag'n'Bone_Man,20160718
94,7,1409,Rag'n'Bone_Man,20160718
95,7,1264,Rag'n'Bone_Man,20160718
96,7,1260,Rag'n'Bone_Man,20160718
97,7,1318,Rag'n'Bone_Man,20160718
98,7,1224,Rag'n'Bone_Man,20160718
99,7,1309,Rag'n'Bone_Man,20160718
100,7,1207,Rag'n'Bone_Man,20160718
101,7,1086,Rag'n'Bone_Man,20160718
102,7,1348,Rag'n'Bone_Man,20160718
103,7,1371,Rag'n'Bone_Man,20160718
104,7,1204,Rag'n'Bone_Man,20160718
105,7,1188,Rag'n'Bone_Man,20160718
106,7,1037,Rag'n'Bone_Man,20160718
107,7,1104,Rag'n'Bone_Man,20160718
108,7,1299,Rag'n'Bone_Man,20160718
109,7,1302,Rag'n'Bone_Man,20160718
110,7,1323,Rag'n'Bone_Man,20160718
111,7,1794,Rag'n'Bone_Man,20160718
112,7,1503.5,Rag'n'Bone_Man,20160718
