bin,binSize,median,timestamp,article
5,7,4.001174615704841,20150808,Richarlison
6,7,2.8897110290721595,20150812,Richarlison
7,7,2.0739599594254914,20150819,Richarlison
8,7,4.947754099082583,20150826,Richarlison
9,7,2.6882373239178072,20150902,Richarlison
10,7,3.6922975613090854,20150909,Richarlison
11,7,1.0994678967599643,20150916,Richarlison
12,7,1.1211152232762518,20150923,Richarlison
13,7,3.831528094437456,20150930,Richarlison
14,7,3.9647130658571332,20151007,Richarlison
15,7,3.7500700249793164,20151014,Richarlison
16,7,4.049651340230481,20151021,Richarlison
17,7,4.148580155345833,20151028,Richarlison
18,7,4.9800888320982315,20151103,Richarlison
19,7,5.302010183065888,20151110,Richarlison
20,7,5.763237905190473,20151117,Richarlison
21,7,2.119731001964534,20151124,Richarlison
22,7,3.3238210901049254,20151201,Richarlison
23,7,5.64530845642317,20151208,Richarlison
24,7,4.467801862845526,20151215,Richarlison
25,7,13.581189987771344,20151222,Richarlison
26,7,7.7863298153993865,20151229,Richarlison
27,7,20.325614367503263,20160105,Richarlison
28,7,38.820484863549936,20160112,Richarlison
29,7,28.75406346238724,20160119,Richarlison
30,7,31.87550819268228,20160126,Richarlison
31,7,18.81686911490046,20160202,Richarlison
32,7,18.899899572338295,20160209,Richarlison
33,7,19.83208884169438,20160216,Richarlison
34,7,17.844703600900974,20160223,Richarlison
35,7,15.756776003057,20160301,Richarlison
36,7,17.8532866126362,20160308,Richarlison
37,7,13.591554706222205,20160316,Richarlison
38,7,16.592824433782333,20160323,Richarlison
39,7,15.180290430063108,20160330,Richarlison
40,7,11.493460123232056,20160406,Richarlison
41,7,14.83250820305487,20160413,Richarlison
42,7,17.316948644579526,20160420,Richarlison
43,7,12.958374929978293,20160427,Richarlison
44,7,15.958962485425156,20160504,Richarlison
45,7,66.89225648564069,20160511,Richarlison
46,7,55.303127447681405,20160518,Richarlison
47,7,36.61727277983899,20160525,Richarlison
48,7,34.09414965695869,20160601,Richarlison
49,7,41.08380041635696,20160608,Richarlison
50,7,42.775307255015704,20160615,Richarlison
51,7,33.55317432992111,20160622,Richarlison
52,7,39.34519739824895,20160629,Richarlison
53,7,42.59887134900145,20160706,Richarlison
54,7,29.823945853953177,20160713,Richarlison
55,7,31.788666464036897,20160720,Richarlison
56,7,19.746068494326487,20160727,Richarlison
57,7,14.516183818758726,20160803,Richarlison
58,7,11.377831754474236,20160810,Richarlison
59,7,14.55667808257244,20160817,Richarlison
60,7,15.729826767785427,20160824,Richarlison
61,7,22.315591314234144,20160831,Richarlison
62,7,14.671916599258015,20160907,Richarlison
63,7,17.386083159415147,20160914,Richarlison
64,7,13.89022979342168,20160921,Richarlison
65,7,13.226633898878907,20160928,Richarlison
66,7,9.614965268230993,20161005,Richarlison
67,7,19.280461008160522,20161012,Richarlison
68,7,14.286151282556558,20161019,Richarlison
69,7,20.647731188473468,20161026,Richarlison
70,7,11.168139997424056,20161102,Richarlison
71,7,17.24379492990791,20161108,Richarlison
72,7,16.499848698128602,20161115,Richarlison
73,7,12.94567010041157,20161122,Richarlison
74,7,16.43651763375724,20161129,Richarlison
75,7,18.509772959259024,20161206,Richarlison
76,7,32.15255014581753,20161213,Richarlison
77,7,36.504578072907016,20161220,Richarlison
78,7,34.823225289117936,20161227,Richarlison
79,7,42.40433856963437,20170103,Richarlison
80,7,43.477065075364294,20170110,Richarlison
81,7,104.96142689496874,20170117,Richarlison
82,7,58.122686946013985,20170124,Richarlison
83,7,59.88126842359226,20170131,Richarlison
84,7,52.34229914328003,20170207,Richarlison
85,7,35.24335053832884,20170214,Richarlison
86,7,28.214160692427907,20170221,Richarlison
87,7,22.439268766456497,20170228,Richarlison
88,7,23.72995643973722,20170307,Richarlison
89,7,24.03253673816282,20170315,Richarlison
90,7,37.738386493748585,20170322,Richarlison
91,7,31.690499837401784,20170329,Richarlison
92,7,42.835151787210364,20170405,Richarlison
93,7,32.38582015708639,20170412,Richarlison
94,7,30.553534206880705,20170419,Richarlison
95,7,33.457496335941464,20170426,Richarlison
96,7,32.80468940921508,20170503,Richarlison
97,7,37.88491869270319,20170510,Richarlison
98,7,29.124661651136662,20170517,Richarlison
99,7,31.422491918516336,20170524,Richarlison
100,7,24.544873354518582,20170531,Richarlison
101,7,87.43982130445228,20170607,Richarlison
102,7,43.221925731863806,20170614,Richarlison
103,7,49.607465185440866,20170621,Richarlison
104,7,30.92676702825676,20170628,Richarlison
105,7,24.889581572530567,20170705,Richarlison
106,7,31.855832670439668,20170712,Richarlison
107,7,1723.047626214063,20170719,Richarlison
108,7,241.0946698502288,20170726,Richarlison
109,7,377.68665423818345,20170802,Richarlison
110,7,2509.2686404443757,20170809,Richarlison
111,7,2913.9257595100403,20170816,Richarlison
112,7,1963.9972324927405,20170823,Richarlison
113,7,996.9477932505863,20170830,Richarlison
114,7,1183.4798033158324,20170906,Richarlison
115,7,592.9980686853419,20170913,Richarlison
116,7,762.2005162433873,20170920,Richarlison
117,7,1341.6376059234572,20170927,Richarlison
118,7,599.310643089307,20171004,Richarlison
119,7,1746.2401047085405,20171011,Richarlison
120,7,1822.9457276489497,20171018,Richarlison
121,7,968.7534779568995,20171025,Richarlison
122,7,603.9371312361608,20171101,Richarlison
123,7,660.5129041605378,20171107,Richarlison
124,7,944.6157694008698,20171114,Richarlison
125,7,1794.6510519227295,20171121,Richarlison
126,7,2066.9599924669474,20171128,Richarlison
127,7,565.1361090600067,20171205,Richarlison
128,7,701.7458398677818,20171212,Richarlison
129,7,510.79434478675597,20171219,Richarlison
130,7,659.5861931702432,20171226,Richarlison
131,7,450.0068649538711,20180102,Richarlison
132,7,547.3015563051298,20180109,Richarlison
133,7,733.0703321472336,20180116,Richarlison
134,7,381.8870851728079,20180123,Richarlison
135,7,434.28008528995343,20180130,Richarlison
136,7,671.2264384475869,20180206,Richarlison
137,7,392.94892123088346,20180213,Richarlison
138,7,299.57383171525015,20180220,Richarlison
139,7,216.80418726539142,20180227,Richarlison
140,7,289.83631361237326,20180306,Richarlison
141,7,249.21428518124443,20180314,Richarlison
142,7,177.0475311987025,20180321,Richarlison
143,7,231.5757505287169,20180328,Richarlison
144,7,337.09262557139675,20180404,Richarlison
145,7,419.99235359876224,20180411,Richarlison
146,7,447.19676068810355,20180418,Richarlison
147,7,229.23879551311953,20180425,Richarlison
148,7,247.62847769611378,20180502,Richarlison
149,7,390.0183090932888,20180509,Richarlison
150,7,272.8534489399372,20180516,Richarlison
151,7,204.82309921535145,20180523,Richarlison
152,7,276.052242670707,20180530,Richarlison
153,7,203.09214848526497,20180606,Richarlison
154,7,237.3520915887955,20180613,Richarlison
155,7,160.93896682563255,20180620,Richarlison
156,7,138.3232142494067,20180627,Richarlison
157,7,281.66673950489246,20180704,Richarlison
158,7,269.3494734393435,20180711,Richarlison
159,7,13353.630958344364,20180718,Richarlison
160,7,4823.671312914303,20180725,Richarlison
161,7,2336.1339283249877,20180801,Richarlison
162,7,9281.03859195405,20180808,Richarlison
163,7,4452.704130989208,20180815,Richarlison
164,7,4179.825259000742,20180822,Richarlison
165,7,1618.924375645441,20180829,Richarlison
166,7,1691.7946468846383,20180905,Richarlison
167,7,22159.14362515574,20180912,Richarlison
